bf1d83bdb9bf6477ec03ca7644bd276e23eea692b294bbed00f573887fb1a340,413e29ee5516eb61556402cc1f4d6e5670e16343168c1ca4871868b8fb2cf4e0,5bc2b653f748a4cc03c06196b5bf522ab3b681257b5eb458ea9fe9eb3837b8a9,cba3fa50ad6a4cde3107c52daa53ee0904df61e4a37a7eccd45d97ffd897d2ae,a41006e0fa85192a01c6b38b019156f3a9073dc9d731c2eb82c0ec2e879d1cf3,5fabda0f349da1db30ab398c5965bcd67f8b9d77187085eb5e224064fcf831f9
"1","10","0","150","150","1"
"1","10","0","400","250","2"
"1","10","0","800","400","3"
"2","20","0","150","150","1"
"2","20","0","400","250","2"
"2","20","0","800","400","3"
"2","20","1","1300","500","4"
"3","30","0","800","800","1"
"3","30","0","1800","1000","2"
"3","30","0","3000","1200","3"
"3","30","1","4400","1400","4"
"3","30","2","6000","1600","5"
"4","40","0","800","800","1"
"4","40","0","1800","1000","2"
"4","40","0","3000","1200","3"
"4","40","1","4400","1400","4"
"4","40","2","6000","1600","5"
"5","0","0","0","0","0"
