10409f01f350b31c8dedf7f778adf641fe8ccd4f2d0a806ea7d50122565f0646,4d2757b67e93cb3e852df70804363533e2e39f3f76eab44368b440c467d3bb00,b08501834ba2876178bc5055ad97f3a9df3e5c6f358047a7a7acc4a178a5aeea,4e9419d8b6b86d0acb02408b3401ddc409f5c1d7580f9b9af73dba91771ce946,9e16799bba8904135a5f930ecabca83f2cbd1b3dfb75cb3a92590c20dd8fcf99,99d2e53e5b22c15306d659ffef1491700f79ec072289b7d4ecf1cdf4e90fce4d,6b724acfc586b1060748e55bb6c780dad24f391dcace009b0fb427a6f6aa77f9,4c180c21328757e878e0108a650ace6674227c95f76fe22033996fee5b536cf8,839147a730728b7ef3478e8572e8863a0175ff7056e6150aa474a068d29abc9c,18890436bcbae6f4ed01a193fc41b18f1981f49acb101da6f79d8f8b808cdfcc,b339dba1f64b4d8c2fd948b2f2b799dd0bcd4cc5600bed4faa45cfbdffbe4678,a66d85fba0f1c5305e35aeb0e5dfeb378b3b6c61f2155a3939664df749fd1288,95fa3f16c24f09bd95cd21d25ac637805113b8877b17a74502c5e6151bc7e9cd,274bae94c04e204572ab9a0554b3ded51afc28baf17bcace380eba83a4a0851d,91f186e712b63d671fd46e7fe935cdc3472597965cf4eb1aaa279c523d39eb6c,3a03fe32b37d3423759bdda5dbe186adda1787c2dda16a5a425fb98ab6c30d6c,0e95614df67032b9e2d797b95820c6b738fd9ca72c9d2c5d9777252d5455b7b4,3fbba688a201c7d332733c8795abbf1c4452a94ad217d63386d8c1a30446a4a8,714d1e6ecee3feae83a608043df753aa8b9a3d6ee15637462611c7995eb84dba,bcaec3b33190aadcf7f7413b87b22e30ce4a9a1ea90e1a4c5d37af40bb893ccc,7a8bc09d9a81f968d8d9511e2ebb93af354eab260664b06f8853ec2c54ea41ea,7220b8c90b738f305c8b8df8c72e932c69bf6cb22fae9c0e593a884736a2e648,204d4974525fc004aa00e48a71443d38b2b8568454473c9ca9d27caf530317a5,5a438fd5a1ad146653d79bc31b0906e5e6fc7617e465ddb012eab68c8829db2c,b2eb241290a0dfb8f767f265b8803d3d86c51729ce1a4e980608157f7998a65b,b7265ea9264c626b0b8e6440c5b1ab06f18cd2a16953590c698dbaea2d05fafb,d25e0abe32bcb22aad9be07ae198b4ef4e472d16bf9eeaeb3ddfb67cdc67f459,64852516faf41bbef56c0ea077ff20294a0acc97d82035ef9ab416a10f173ba6,4572dc16a1e469b9d8de0de0f3b1607ddf3dbc1a6c53a00a850c4f0d73ed01fc,69621bf3cc588a811d660ce32159c9291763705de218315c9f2446387330dcc6,3941d4a7ce6e362f028d30085d5524982cc49816b14f2a600e0bc892e58c0a31,34672bd023b38bae7565f199937d9edab0c6e5581a71b04f4effeab029f6775a,9f65b726a03fe72b04bfef798583b663b4a7ea738e102cfec0000b0c90774628,3e443e5444c95f604396ae7d8e544a70fd89aa35f5fe2b152c215ec9dbf1dabd,c1b3450c0432677eed35ec041e321ae6d109b91fd40c73d7167cf3e10934c24d,9d08a7ea79dc9cce88e4a46e92d32cf4eaec3b0efa38c8af0f5c8cfb7d733ad7,988a4dca816237eccc06e1813db5e7bdba98fd186d5f62ba3b3ce5351a458bee,8c74c9bfa7ecf59435ba92cc029b167ad4cf13818f45a96e08cbbd49ed9f8235,ccb56c2a3bc7526e6b8774fee7b7d13f10ffa74508658be3fe6eade1c18242ba,511e49fd013e8c3a830f34a35416f1d81c7ec6d37b335a00559592bb926d4544,a05675dec0010b7fc8f999084459a0dc0d113d3bcbd0d36f261723e7c30ec821,8050128616d3d2852345eaedb3e266c0f21e2ec8ac6762073daa9423b7b610df,94b19e212c39d5647d792161c6215b8667c7689ac53cc1076b1d06fa9603dae6,35b38829bdb05fa7035df0903d03330b18d8af1cf7a05c0d8173959de8828507,e75bb297894efee0eae807b97d8534bd86e5f7b1f7fc57c18f5f550202d79e9c,5fab9ecf7a7e598157a70b72230b4bf443bf2370ef211f1e796f6ce54e2e56cb,ea5031c185de9be4d66313d8ccb826d37bfd9e2fd30b42001ec0411d57d135c6,63d4bf80c06a09183da8db09d10cc2b44ddff1573da51842cb1a98aeeb218982,98e1aacdbaa9088039f1b7d6f4c0f8586abdeb2ad7388edbadadff151b62937b,81d14151a6926098bf7e94bd7ee5cb584ea9f0722d771f1c56fabad18f96445d
"100","40001","0","0","0.7","710100011","1","0","101181","bgm_M127","0","2100101","0","0","0","113011","1","90","0","299","94002","1","1","5","100","0","0","-301","12000","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010001","1","0.7","99","0","91002","0.7","0","-101"
"100","40001","0","0","0.7","710100021","1","0","101181","bgm_M127","0","2100102","0","0","0","123042","1","90","0","299","94002","1","2","5","100","0","0","-301","12100","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010002","3","0.7","99","1","91002","0.7","0","-101"
"100","40004","0","0","0.7","710100031","1","0","101181","bgm_M127","0","2100103","0","0","0","113071","1","90","0","299","94002","1","3","5","100","0","0","-301","12200","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010003","4","0.7","99","1","91002","0.7","0","-101"
"100","40001","0","0","0.7","710100041","1","0","101181","bgm_M127","0","2100104","0","0","0","123072","1","90","0","299","94002","1","4","5","100","0","0","-301","12300","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010004","2","0.7","99","1","91002","0.7","0","-101"
"100","40001","0","0","0.7","710100051","1","0","101181","bgm_M127","0","2100105","0","0","0","113012","1","90","0","299","94002","1","5","5","100","0","0","-301","12400","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010005","1","0.7","99","1","91002","0.7","0","-101"
"100","40004","0","0","0.7","710100061","1","0","101181","bgm_M127","0","2100106","0","0","0","113013","1","90","333","166","94002","1","6","5","100","0","0","-335","12500","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010006","3","0.9","-1","1","91002","0.7","0","-168"
"100","40004","0","0","0.7","710100071","1","0","101181","bgm_M127","0","2100107","0","0","0","123041","1","90","333","166","94002","1","7","5","100","0","0","-335","12600","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010007","4","0.7","-1","1","91002","0.7","0","-168"
"100","40004","0","0","0.7","710100081","1","0","101181","bgm_M127","0","2100108","0","0","0","123161","1","90","333","166","94002","1","8","5","100","0","0","-335","12700","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010008","2","0.7","-1","1","91002","0.7","0","-168"
"100","40004","0","0","0.7","710100091","1","0","101181","bgm_M127","0","2100109","0","0","0","113162","1","90","333","166","94002","1","9","5","100","0","0","-335","12800","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010009","1","0.7","-1","1","91002","0.7","0","-168"
"100","40004","0","0","0.7","710100101","1","0","101183","bgm_M126","0","2100110","0","0","0","91002","1","90","0","0","113191","1","10","100","100","0","-20","-1","5","0.7","0","500","94002","0","1","0","12900","1","0","0.7","-100","71010010","3","1","0","-1","140000","0.7","0","0"
"100","40004","0","0","0.7","710100111","1","0","101181","bgm_M127","0","2100111","0","0","0","123192","1","90","333","166","94002","1","11","5","100","0","0","-335","13000","0.7","0","500","0","0","0","0","0","30","0","0.9","-100","71010011","4","0.7","-1","1","91002","0.7","0","-168"
"100","40004","0","0","0.7","710100121","1","0","101181","bgm_M127","0","2100112","0","0","0","123193","1","90","333","166","94002","1","12","5","100","0","0","-335","13100","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010012","2","0.7","-1","1","91002","0.7","0","-168"
"100","40004","0","0","0.7","710100131","1","0","101181","bgm_M127","0","2100113","0","0","0","113221","1","90","333","166","94002","1","13","5","100","0","0","-335","13200","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010013","1","0.7","-1","1","91002","0.7","0","-168"
"100","40004","0","0","0.7","710100141","1","0","101181","bgm_M127","0","2100114","0","0","0","113222","1","90","333","166","94002","1","14","5","100","0","0","-335","13300","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010014","3","0.7","-1","1","91002","0.7","0","-168"
"100","40004","0","0","0.7","710100151","1","0","101181","bgm_M127","0","2100115","0","0","0","123251","1","90","333","166","94002","1","15","5","100","0","0","-335","13400","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010015","4","0.7","-1","1","91002","0.7","0","-168"
"100","40004","0","0","0.7","710100161","1","0","101181","bgm_M127","0","2100116","0","0","0","113252","1","90","333","166","94002","1","16","5","100","0","0","-335","13500","0.7","0","500","0","0","0","0","0","30","0","0.7","-100","71010016","2","0.7","-1","1","91002","0.7","0","-168"
