92481dcab6d21ca4724d6ef4b0b808ca53f95a66c2b3da63e204c0003ad16c3b,559ef679784a32819236ed5354cf18ccd65d1bf4d526545b02cadb38b2f1c5ac,663e3ca65f33c6ee201f8e3362355c9268245f9185872267529293c4ac6f1d70,d307ffc7050155af90949cdbb03704a1a4221d99eae57153d4a9702b3861c041,198c4cb16d17d2fd098e989303bd721b720c47a7010ed231b28d731e973dbc91,bc9700466f42a1383abaf5a15e4b51c46b5ae656ab96ecb66e48e0d23dc859a6,7c722d3b64ef0e20edf4123224ceb6ae5e842326b97e375fbe56e5ab7ae1f420,7fbba9e24212e36ec83cfc89c8e80775114b551dbe8babba8684b01384f9f9ec
"srt_dragon_in,srt_dragon_idle","0","srt_inori_idle","start_000-start_001,start_002/start_003-boss_emote_064-start_004","","","GAME_START","srt_kaya_idle"
"srt_dragon_idle","2","srt_inori_idle","","首先由我先來吧！","","ENEMY_FIRST","srt_kaya_idle"
"srt_dragon_idle","2","srt_inori_idle","","「{0}」嗎？\n由「{1}」韻來開頭的有……","","ENEMY_TURN1","srt_kaya_waiting"
"srt_dragon_idle","2","srt_inori_idle","","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞呀……","","ENEMY_TURN2","srt_kaya_waiting"
"srt_dragon_idle","2","srt_inori_idle","","「{0}」嗎？\nOK――，接著是「{1}」韻吧。","","ENEMY_TURN3","srt_kaya_waiting"
"srt_dragon_idle","2","srt_inori_idle","","嘿嘿，是「{0}」嗎？\n「{1}」韻可以用\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」的注音來接呢！\n所以可以接的詞有……","","ENEMY_TURN_TW1","srt_kaya_waiting"
"srt_dragon_idle","2","srt_inori_idle","","原來是「{0}」啊？\n「{1}」的韻其實跟很多音相同喔，\n像是「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個詞，\n嗯――，所以可以用來接「{1}」韻的詞呀……","","ENEMY_TURN_TW2","srt_kaya_waiting"
"srt_dragon_idle","2","srt_inori_idle","","「{0}」嗎？\n「{1}」韻可以跟「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」\n這些單音相接喔……\n好啦，跟這個韻相同開頭的詞有……","","ENEMY_TURN_TW3","srt_kaya_waiting"
"","0","","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063","","srt_homare_help","ENEMY_HELP","srt_kaya_help"
"","0","","","","","ENEMY_FLASH","srt_kaya_flash"
"srt_dragon_react_1,srt_dragon_idle","2","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","是「{0}」！","","ENEMY_SELECT1","srt_kaya_select_1,srt_kaya_waiting"
"srt_dragon_react_1,srt_dragon_idle","2","srt_inori_react_1,srt_inori_idle","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058","是「{0}」呢！","","ENEMY_SELECT2","srt_kaya_select_1,srt_kaya_waiting"
