33c6dd9d6d62d593c13bf828722764d4a17364486f231caae3d517cfae51fdec,12b1b8c0bda20bfc4f59fdbe555bd0fe13f4a5f3e59e3838f13da8be294289cc,837d7cbe7b4418028ac966a342913f001e7e0fc6d608494cdae2eb58bea31c54,6987040f9b48e6b811b190f5a5558d555d493f26687ad71d3129ffd60bb7601a,33d28352047e8a0476e31faa6eb780ed61df4238a9177dd2886ef9a8d80d7c21
"94002","12","1","3000000","100101"
"20004","2","2","300","100101"
"90008","2","3","1000","100102"
"25001","2","4","6","100103"
"94002","12","5","1000000","100104"
"20004","2","6","300","100104"
"90008","2","7","1000","100105"
"25001","2","8","6","100106"
"91002","8","9","40","100107"
"94002","12","10","1000000","100107"
"20004","2","11","300","100107"
"90008","2","12","1000","100108"
"41000","2","13","1","100109"
"25001","2","14","7","100109"
"94002","12","15","1000000","100110"
"20004","2","16","400","100110"
"90008","2","17","1500","100111"
"91002","8","18","40","100112"
"25001","2","19","7","100112"
"94002","12","20","1000000","100113"
"20004","2","21","400","100113"
"90008","2","22","1500","100114"
"41000","2","23","1","100115"
"25001","2","24","7","100115"
"94002","12","25","1000000","100116"
"20004","2","26","500","100116"
"91002","8","27","40","100117"
"90008","2","28","1500","100117"
"94002","12","29","2000000","100118"
"25001","2","30","8","100118"
"90008","2","31","2000","100118"
"94002","12","32","3000000","100201"
"20004","2","33","300","100201"
"90008","2","34","1000","100202"
"25001","2","35","12","100203"
"94002","12","36","1000000","100204"
"20004","2","37","300","100204"
"90008","2","38","1000","100205"
"25001","2","39","10","100206"
"91002","8","40","40","100207"
"94002","12","41","1000000","100207"
"20004","2","42","300","100207"
"90008","2","43","1000","100208"
"41000","2","44","1","100209"
"25001","2","45","10","100209"
"94002","12","46","1000000","100210"
"20004","2","47","400","100210"
"90008","2","48","1500","100211"
"91002","8","49","40","100212"
"25001","2","50","9","100212"
"94002","12","51","1000000","100213"
"20004","2","52","400","100213"
"90008","2","53","1500","100214"
"41000","2","54","1","100215"
"94002","12","55","1000000","100216"
"20004","2","56","500","100216"
"91002","8","57","40","100217"
"90008","2","58","1500","100217"
"94002","12","59","2000000","100218"
"90008","2","60","2000","100218"
"94002","12","61","3000000","100301"
"20004","2","62","300","100301"
"90008","2","63","1000","100302"
"25001","2","64","12","100303"
"94002","12","65","1000000","100304"
"20004","2","66","300","100304"
"90008","2","67","1000","100305"
"25001","2","68","10","100306"
"91002","8","69","40","100307"
"94002","12","70","1000000","100307"
"20004","2","71","300","100307"
"90008","2","72","1000","100308"
"41000","2","73","1","100309"
"25001","2","74","10","100309"
"94002","12","75","1000000","100310"
"20004","2","76","400","100310"
"90008","2","77","1500","100311"
"91002","8","78","40","100312"
"25001","2","79","9","100312"
"94002","12","80","1000000","100313"
"20004","2","81","400","100313"
"90008","2","82","1500","100314"
"41000","2","83","1","100315"
"94002","12","84","1000000","100316"
"20004","2","85","500","100316"
"91002","8","86","40","100317"
"90008","2","87","1500","100317"
"94002","12","88","2000000","100318"
"90008","2","89","2000","100318"
