60088be30564f1511b8f034633a1d63c9958a9a2ea37de2f2710a0d161757123,80854fccf92cb37e66ee127d251bb1138e3b1093fbe418a2c84890648effcd67,b26b3e7fd9bdf0f9b83297a61874c94b733f0c16c2998b12cacc7b2fff048c95,e9f49d6cd1bd2229a12b3bd1706315be717db28a5fb3debe61d385d09cc8111f,9db026ae64fc531d8a916e76bb983293782417fa751c89c8e8e0b32332814068
"1008203","261","1008003","1008003","-1"
"1018203","261","1018003","1018003","-1"
"1018211","261","1018011","1018011","-1"
"1018212","261","1018012","1018012","-1"
"1026211","301","1026011","1026011","-1"
"1038202","261","1038002","1038002","-1"
"1038203","261","1038003","1038003","-1"
"1038212","261","1038012","1038012","-1"
"1045202","301","1045002","1045002","-1"
"1045212","301","1045012","1045012","-1"
"1046203","261","1046003","1046003","-1"
"1056202","301","1056002","1056002","-1"
"1056212","301","1056012","1056012","-1"
"1067203","261","1067003","1067003","-1"
"1071201","301","1071001","1071001","-1"
"1071211","301","1071011","1071011","-1"
"1071212","261","1071012","1071012","-1"
"1082202","261","1082002","1082002","-1"
"1082212","261","1082012","1082012","-1"
"1083212","261","1083012","1083012","-1"
"1084203","261","1084003","1084003","-1"
"1084213","261","1084013","1084013","-1"
"1085212","261","1085012","1085012","-1"
"1089202","301","1089002","1089002","-1"
"1089212","301","1089012","1089012","-1"
"1091202","261","1091002","1091002","-1"
"1091212","261","1091012","1091012","-1"
"1103202","261","1103002","1103002","-1"
"1103212","261","1103012","1103012","-1"
"1106202","261","1106002","1106002","-1"
"1106212","261","1106012","1106012","-1"
"1110202","261","1110002","1110002","-1"
"1110212","261","1110012","1110012","-1"
"1114202","261","1114002","1114002","-1"
"1114212","261","1114012","1114012","-1"
"1118212","261","1118012","1118012","-1"
"1119202","301","1119002","1119002","-1"
"1119212","301","1119012","1119012","-1"
"1122201","261","1122001","1122001","-1"
"1122202","261","1122002","1122002","-1"
"1122212","261","1122012","1122012","-1"
"1129202","261","1129002","1129002","-1"
"1129212","261","1129012","1129012","-1"
"1134202","261","1134002","1134002","-1"
"1134212","261","1134012","1134012","-1"
"1137212","261","1137012","1137012","-1"
"1138201","261","1138001","1138001","-1"
"1139203","301","1139003","1139003","-1"
"1139213","301","1139013","1139013","-1"
"1141212","261","1141012","1141012","-1"
"1146202","261","1146002","1146002","-1"
"1146212","261","1146012","1146012","-1"
"1150202","261","1150002","1150002","-1"
"1150212","261","1150012","1150012","-1"
"1155203","261","1155003","1155003","-1"
"1156203","261","1156003","1156003","-1"
"1158203","261","1158003","1158003","-1"
"1158201","261","1158101","1158101","-1"
"1158211","261","1158111","1158111","-1"
"1160203","261","1160003","1160003","-1"
"1164203","261","1164003","1164003","-1"
"1166203","261","1166003","1166003","-1"
"1168203","261","1168003","1168003","-1"
"1170203","261","1170003","1170003","-1"
"1170213","261","1170013","1170013","-1"
"1172203","261","1172003","1172003","-1"
"1176203","261","1176003","1176003","-1"
"1179203","261","1179003","1179003","-1"
"1190203","261","1190003","1190003","-1"
"1209203","261","1209003","1209003","-1"
"1211201","261","1211001","1211001","-1"
"1211202","261","1211002","1211002","-1"
"1211212","261","1211012","1211012","-1"
"1213202","261","1213002","1213002","-1"
"1215203","261","1215003","1215003","-1"
"1802202","261","1802002","1802002","-1"
"1802212","261","1802012","1802012","-1"
"1807202","261","1807002","1807002","-1"
"1807212","261","1807012","1807012","-1"
