88c5bef26f4ff6e51f788a8423c2bb5bfd50e6cf499611cb57e3341f757f44a6,c564785200bff6d6e7d4e2cbf7831a6b759dfe8253e193216259fc232c523a6c,1c6af9fd7124072aa9a9bc6ef72d1ae0bc5687da2d8f9ed1ae2eaf9a5291bb91,a9d175c553289a3f98d96ebd7952a97ad5b7ce647b7e5e9f7522c7a30330aa73,b75a3a704e5c05c8223f4a3bedd940768e8999dc62127fb6dbc5bcb05b1c7a9f,c55e2ab0503dde72ce039614292b3970e69b82216caf671286910527c0947079,3cd16cc2837a185938e31c921f1e76bfe06f3f6e75f521225a2d530544dca9be,97a029d5ed4013ac8ef6dab9b2a95e6201d7f2ca36e59ec9142f837d7e781694,30f6ff162261a6b678a181589effc1327cd72e608ae9f2a0556e4467e28543cb,df73557e4183545d5547564e104a4b9c01e99e335338fede16a5bc9d7bc44d9d,bf37f34d91f3c153ed8c4dcaf88fb8995b5d1815046323041417a4e8709ffb27,0b1a06c48b79179965dcad37d51b051249143b65053c2ea107c4da8aab2f9816,76c45f1af41752f4044f0a21001eb18520f302fdb18cea63e6519dc3a2290783,bc737560baaa966944c5930d3c24a7795ac6e2033cb9414213900d07c5439cae
"71001001","601","完成活動任務1-1 (NORMAL)","0","71001001","10001","9003","0","10001101","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001002","601","完成活動任務1-2 (NORMAL)","0","71001002","10001","9003","0","10001102","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001003","601","完成活動任務1-3 (NORMAL)","0","71001003","10001","9003","0","10001103","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001004","601","完成活動任務1-4 (NORMAL)","0","71001004","10001","9003","0","10001104","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001005","601","完成活動任務1-5 (NORMAL)","0","71001005","10001","9003","0","10001105","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001006","601","完成活動任務1-6 (NORMAL)","0","71001006","10001","9003","0","10001106","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001007","601","完成活動任務1-7 (NORMAL)","0","71001007","10001","9003","0","10001107","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001008","601","完成活動任務1-8 (NORMAL)","0","71001008","10001","9003","0","10001108","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001009","601","完成活動任務1-9 (NORMAL)","0","71001009","10001","9003","0","10001109","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001010","601","完成活動任務1-10 (NORMAL)","0","71001010","10001","9003","0","10001110","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001011","601","完成活動任務1-11 (NORMAL)","0","71001011","10001","9003","0","10001111","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
"71001012","601","完成活動任務1-12 (NORMAL)","0","71001012","10001","9003","0","10001112","2018/08/28 16:00:00","1","6004","102","2018/09/19 15:59:59"
