b2b1639a829aa6085e6ab1a4a2f808a8ca1b34888b256e8c0e54a9c557badc14,49900c35d70193f0ae7f5d637ec246fc74d6e02c99fe357c53c71f595b42237d,54611f817467cfa77669ceb491e477522b5e2507a6776c8e5bc52596ed10a97f,8efb5753bd9326863432bab3709e73345e54f2a3a9223598f8deb74ad818cd05,55046323d8a443f6f53f2f023c1cc038fc4b251785c4bd66a4e0f04a2fa612f7,2a75b7503f81a0ad2220e494d6a80b3877d93e24feb5822e358879c3230ac138,8c4f48197b0ec63d95b1f424026f5a9a5e6873ba22ef0a9f030b8937328a361e,0fabade1945d221d85fda45ac124f0eb8491b92d76b988adad1f2b8c3facb5e8,af125769e55718674644bd8839c229c4add2220af29548c56e378aa0882290fa,144fea374b9f04f41f32ced3a903998982b387c994f157b136066760a21dc24f,3731fdb36d5d3068a42f85510713655a6adf85d04a68fb9ff51f60c6d40c3f15,2793fd85b243ad457da36202a6676e5046a2cc9b707bdf3c4adc8c4cac586561,9bec1e1e3a9fa42997bb055fde10a5c584ce5d9c8e0ca2f3394c5c3a565ed0e8,925dc90a8dc8fca2f1b51d3995c1772ad3539e8513f3af4ef31be718833741f9,7008aaa52cbc59f2d1ae0adfca010a00fc33c9fb557fb64106f0ffeb64db26a5,9e6621877bd97bec829f10c9c492bbd89c604ba2b8613710250411beaecd410c,19b0b4d3838afbd35877b683b018865fc0a8decceaf724b310bbb224fc9e91d4,759b6dbe0017c39a85087fba70491ecd758a02b04a850619bf962537375541d7,a076f279f732ad466ebe15d8f7ed16c70345f451d6d726dea36d9037b5baa9b5
"5010321","0","5","1","2","610010004","90","0","1.5","0","0","10010","0","","0","0","0","610010401","0"
"5010322","0","5","2","3","610010005","90","0","1.5","0","0","10010","0","","108","0","0","610010402","0"
"0","0","5","3","1","610010006","90","0","1.5","0","0","10010","0","","0","0","0","0","0"
"5011322","0","5","1","1","610011004","90","0","1.5","0","5011321","10011","0","","0","0","70","0","0"
"5011323","0","5","2","1","610011005","90","0","1.5","0","0","10011","0","","0","0","40","0","0"
"0","0","5","3","1","610011006","90","0","1.5","0","0","10011","0","","0","0","0","0","0"
"5012321","0","5","1","2","610012004","90","0","1.5","0","0","10012","600","","0","3","0","610012401","1"
"5012322","0","5","2","1","610012005","90","0","1.5","0","0","10012","0","","0","0","51","0","1"
"0","0","5","3","1","610012006","90","0","1.5","0","0","10012","0","","0","0","0","0","1"
"5013321","0","5","1","2","610013004","90","50","1.5","0.9","0","10013","600","","0","3","0","610013401","1"
"5013322","0","5","2","1","610013005","90","84","1.5","1","0","10013","0","","0","0","50","0","0"
"0","0","5","3","1","610013006","90","84","1.5","1","0","10013","0","","0","0","0","0","0"
"5015321","0","5","1","2","610015004","90","1","1.5","0.9","0","10015","600","","0","3","0","610015401","1"
"5015322","0","5","2","1","610015005","90","-50","1.5","1.3","0","10015","0","","0","0","50","0","1"
"0","0","5","3","1","610015006","90","-50","1.5","1.3","0","10015","0","","0","0","0","0","1"
"5017321","0","5","1","2","610017004","90","50","1.5","0.9","0","10017","600","","0","3","0","610017401","1"
"5017322","0","5","2","1","610017005","90","84","1.5","1","0","10017","0","","0","0","50","0","1"
