5bbe3b3c11d9c6000d3d9fdca3963b0245413f1109a08f753d49207b08e09cc0,aca04c25dfc4b6f318861a021ce1fe2b569baf7972bce44a0a5557ffade7069e,050f5ce2769ab82e027688dc2de22baa1be5139dde894b76cf34c6e2245339bf,0e177348394e34a9425c511a5849f3e23d30253c24fa9a9bd0215dba1eba6b65,0ff45e13917e31903f9b5c4e7cd91b887f4c413dd204d298aefc63aacb6d868e,470952394dabe51e67c2fe1270b6bb562d9436c3dda16c128e8240e435340d78,08925cf526123beb80051c9a02a3655ffaab533c751ba20ae822a733c6285204,0675d75d60301806688a3c8de6438db610b8e2c4d039f5a6ccbeb9f56aae361b,c8ed9c2bca11609fbfa8c9e832fd25e774a5d24fdc9d039ab1a3c70b69f5d70b,d7430bd1c9438b9d45f50326f376f56b96349e1f0956f150578a049a809fec18,a138caf04d43ab5b7dc56efa4e004e4d9935d5d7e2b9e9abfdf1aa5e3d5da482,5bc2c12797a59d2c751568494f349b20a5be8dafe86047e6ab2f839ca320eb43,5d717db707fc8814abc5ce08712e7dc3af9be9798a7858a383eba42fcc1724f8,e8b84aa2d314229404bd3d1a9a51027d1e143dc69d0b0ca54cd227df1691fee9
"2020/08/01 16:00:00","就算是我\n該做的時候還是會做的！","24","1","0","1","0","2030/12/17 14:59:59","24001","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","呼…\n這樣子我的工作\n就結束了呢","24","1","1","1","0","2030/12/17 14:59:59","24002","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","結束了結束了\n即使一個人\n也會有辦法的","24","1","2","1","0","2030/12/17 14:59:59","24003","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","太棒了！\n這麼一來\n我終於可以偷懶了…","24","2","3","2","0","2030/12/17 14:59:59","24004","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","想要吃起司的話\n就好好工作\n自己買來吃啦","24","1","4","1","0","2030/12/17 14:59:59","24005","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","你們終於知道\n與我為敵的\n恐怖了吧！","24","2","5","2","0","2030/12/17 14:59:59","24006","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","我意外地\n還蠻行的嘛？","24","2","6","2","0","2030/12/17 14:59:59","24007","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","好累喔…\n老鼠逃跑的速度\n實在太快了啦…","24","4","7","4","0","2030/12/17 14:59:59","24008","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","再這樣下去\n會被\n真陽罵的","24","4","8","4","0","2030/12/17 14:59:59","24009","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","我明明\n就很認真做啊…\n真不甘心～","24","4","9","4","0","2030/12/17 14:59:59","24010","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","被擺了一道…\n老鼠還真是意外的\n難纏啊","24","4","10","4","0","2030/12/17 14:59:59","24011","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","你這傢伙～\n竟然敢偷\n我的起司～！","24","4","11","4","0","2030/12/17 14:59:59","24012","0","0","鈴","102601","10040"
"2020/08/01 16:00:00","好累喔…\n不過，下次\n我一定會守住的…","24","1","12","4","0","2030/12/17 14:59:59","24013","0","1.81","鈴","102601","10040"
