e266adee6575c06ce11a9ec265bbb85a07db6a64d305c8b8d942db8040f566d3,a7e942c8a544b6938fcb56395389f060b7b497837454eddc76a4e0788d3bd11d,a4ad091c71d5d07f1f3d58bd0c2cf93d3572f64e2f2eb8c4781ec20c1a4e14a0,85b001be3a59b855cf99da9ebc853a372e893f5616810a109cbe3688947abb40,1a75d0388a9f86309340d994cdeec14e07da7703ceca830c1781819cd1539138,4541974b69cd5adb1aabfe0df9de77cb2cf6e4d442dec4d10bd388d890f6f27f,edcb664565004dbf210ac004442b26bf41f22be12f72d5f0a20a34dd195f0666,5b6ca45ef4b34333ac9405845865300a28a1c40800ee830e8fb675a2a53029d0,4da510ac3d9416ab3f817089601ffb0c4f4d004005e038ff0722e888a8582fba,fb2dfb4b98068c8eece5c5645b51ff4e30ec3dead3dcd08f54dcbcf582af1354,bbb163419b5b4cfcbe6e3d2f3c55159dee15d4255a39f6cbecbd89a33d2339aa,fecaa54b1541d4a4dd41ac8fcb4b0679390bce880cd7d05ae8f31312863022f6,8bf73ab6374bc29e572490c3b4ece931a78a595758ede7b4a0fda19c7e9802e9,4e8d79260e3fd4d450354c0cad5daf03b3a5b96f99814d0340829cdc9934ad71,1fa1e325202fe80fdf3bf45614ccef6003db2b94aab79a126aa6c5cdedb64c19,d7b6b0400774621c26d7bd1db3c3ec6d7ebad0e14967ea2a697749328eaa5455
"A","27","16","155","2","0","100101","獸人族","東山奈央","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","日和","助人、打氣加油","8","44","破曉之星","最愛幫助別人！　正向思考的格鬥少女"
"O","5","17","158","2","0","100201","人族","種田梨沙","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","優衣","料理、觀察人類","4","47","破曉之星","擅長支援戰鬥，心地善良的少女"
"B","12","18","163","2","0","100301","魔族","早見沙織","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","怜","讀書、騎馬、茶","1","46","破曉之星","冷酷又率直的劍士"
"O","10","9","128","5","0","100401","人族","諸星すみれ","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","禊","惡作劇、探險","8","27","小小甜心","愛好冒險的搗蛋鬼"
"O","25","12","146","8","0","100501","獸人族","下田麻美","？？？","茉莉","英雄扮演遊戲","11","40","王宮騎士團","仰慕英雄的見習騎士少女"
"O","22","13","150","7","0","100601","魔族","浅倉杏美","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","茜里","薩克斯風","11","42","惡魔偽王國軍","愛撒嬌又受大家喜歡"
"B","23","14","130","7","0","100701","魔族","雨宮天","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","宮子","吃布丁","1","32","惡魔偽王國軍","最愛布丁的幽靈少女"
"AB","10","14","150","15","0","100801","精靈族","大空直美","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","雪","欣賞鏡中的自己","10","40","純白之翼 蘭德索爾分部","我比任何人都還要美麗"
"A","5","17","159","13","0","100901","魔族","髙野麻美","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","杏奈","寫小說","7","45","暮光流星群","相信前世的中二病患「疾風之冥姬」"
"O","22","16","155","10","0","101001","獸人族","内田真礼","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","真步","幻想、蒐集玩偶","9","42","哞哞自衛隊","真步真步王國的公主"
