37311c064ce592231bca35f6a3bb2f18f4ec025a846f79ed409f486ce8125ec2,1e33e66d817097b0a689704683cb22c3e32aef98b6220dd4f7a835ddc6bf3dba,467056c24382a70200dcd99d6c6be83decdf601cbd222a236c7974cd7eb57c76,5f6d86ea483a11d6b28694e701c06032d917c22fa60019f7661265a909036d2f,8cae4bb8a37a4210685ded64585a8894a4d1083d683fa86603dc27b99ff06f52,4cec0fb9ecf8be22f2794c50f671520d5b7c89ecbc4c0356318871fe74a7420f,14762308645cb9c41201c8efb9a7ef1bcfd86fd81ee25430d8e9681152458763,d5b0b908179e684cdfc2be1fc58bc6ca73b6a38d0be0b3023812d3d82ebe9cb7
"110001","0","完成石像鬼（EASY）","110001","1","70000","111","90110001"
"110002","0","完成石像鬼（NORMAL）","110001","1","70000","112","90110002"
"110003","0","完成石像鬼（HARD）","110001","1","70000","113","90110003"
"110004","0","完成石像鬼（VERY HARD）","110001","1","70000","114","90110004"
"110005","0","完成石像鬼（EXTREME）","110001","1","70000","115","90110005"
"120001","0","完成法師石像鬼（EASY）","110001","1","70000","121","90120001"
"120002","0","完成法師石像鬼（NORMAL）","110001","1","70000","122","90120002"
"120003","0","完成法師石像鬼（HARD）","110001","1","70000","123","90120003"
"120004","0","完成法師石像鬼（VERY HARD）","110001","1","70000","124","90120004"
"120005","0","完成法師石像鬼（EXTREME）","110001","1","70000","125","90120005"
"130001","0","完成守衛石像鬼（EASY）","110001","1","70000","131","90130001"
"130002","0","完成守衛石像鬼（NORMAL）","110001","1","70000","132","90130002"
"130003","0","完成守衛石像鬼（HARD）","110001","1","70000","133","90130003"
"130004","0","完成守衛石像鬼（VERY HARD）","110001","1","70000","134","90130004"
"130005","0","完成守衛石像鬼（EXTREME）","110001","1","70000","135","90130005"
"140001","0","完成石像鬼‧炸裂（EASY）","110001","1","70000","141","90140001"
"140002","0","完成石像鬼‧炸裂（NORMAL）","110001","1","70000","142","90140002"
"140003","0","完成石像鬼‧炸裂（HARD）","110001","1","70000","143","90140003"
"140004","0","完成石像鬼‧炸裂（VERY HARD）","110001","1","70000","144","90140004"
"140005","0","完成石像鬼‧炸裂（EXTREME）","110001","1","70000","145","90140005"
"150001","0","完成石像鬼‧魔幻（EASY）","110001","1","70000","151","90150001"
"150002","0","完成石像鬼‧魔幻（NORMAL）","110001","1","70000","152","90150002"
"150003","0","完成石像鬼‧魔幻（HARD）","110001","1","70000","153","90150003"
"150004","0","完成石像鬼‧魔幻（VERY HARD）","110001","1","70000","154","90150004"
"150005","0","完成石像鬼‧魔幻（EXTREME）","110001","1","70000","155","90150005"
