467056c24382a70200dcd99d6c6be83decdf601cbd222a236c7974cd7eb57c76,14762308645cb9c41201c8efb9a7ef1bcfd86fd81ee25430d8e9681152458763,5f6d86ea483a11d6b28694e701c06032d917c22fa60019f7661265a909036d2f,8cae4bb8a37a4210685ded64585a8894a4d1083d683fa86603dc27b99ff06f52,4cec0fb9ecf8be22f2794c50f671520d5b7c89ecbc4c0356318871fe74a7420f,1e33e66d817097b0a689704683cb22c3e32aef98b6220dd4f7a835ddc6bf3dba,d5b0b908179e684cdfc2be1fc58bc6ca73b6a38d0be0b3023812d3d82ebe9cb7,37311c064ce592231bca35f6a3bb2f18f4ec025a846f79ed409f486ce8125ec2
"完成石像鬼（EASY）","111","110001","1","70000","0","90110001","110001"
"完成石像鬼（NORMAL）","112","110001","1","70000","0","90110002","110002"
"完成石像鬼（HARD）","113","110001","1","70000","0","90110003","110003"
"完成石像鬼（VERY HARD）","114","110001","1","70000","0","90110004","110004"
"完成石像鬼（EXTREME）","115","110001","1","70000","0","90110005","110005"
"完成法師石像鬼（EASY）","121","110001","1","70000","0","90120001","120001"
"完成法師石像鬼（NORMAL）","122","110001","1","70000","0","90120002","120002"
"完成法師石像鬼（HARD）","123","110001","1","70000","0","90120003","120003"
"完成法師石像鬼（VERY HARD）","124","110001","1","70000","0","90120004","120004"
"完成法師石像鬼（EXTREME）","125","110001","1","70000","0","90120005","120005"
"完成守衛石像鬼（EASY）","131","110001","1","70000","0","90130001","130001"
"完成守衛石像鬼（NORMAL）","132","110001","1","70000","0","90130002","130002"
"完成守衛石像鬼（HARD）","133","110001","1","70000","0","90130003","130003"
"完成守衛石像鬼（VERY HARD）","134","110001","1","70000","0","90130004","130004"
"完成守衛石像鬼（EXTREME）","135","110001","1","70000","0","90130005","130005"
"完成石像鬼‧炸裂（EASY）","141","110001","1","70000","0","90140001","140001"
"完成石像鬼‧炸裂（NORMAL）","142","110001","1","70000","0","90140002","140002"
"完成石像鬼‧炸裂（HARD）","143","110001","1","70000","0","90140003","140003"
"完成石像鬼‧炸裂（VERY HARD）","144","110001","1","70000","0","90140004","140004"
"完成石像鬼‧炸裂（EXTREME）","145","110001","1","70000","0","90140005","140005"
"完成石像鬼‧魔幻（EASY）","151","110001","1","70000","0","90150001","150001"
"完成石像鬼‧魔幻（NORMAL）","152","110001","1","70000","0","90150002","150002"
"完成石像鬼‧魔幻（HARD）","153","110001","1","70000","0","90150003","150003"
"完成石像鬼‧魔幻（VERY HARD）","154","110001","1","70000","0","90150004","150004"
"完成石像鬼‧魔幻（EXTREME）","155","110001","1","70000","0","90150005","150005"
