f5e8b58a9db35099205dca0fe825b4bf76afede9b61ecb29b6c7f0ffc2bb3d86,69c4f21ab0f246f4074150e19edee6ca7a64970c1ce64255dc8a1b22197bff31,bfa8fa4bd61ddc66371d4d6bb64a2bfe6f0e10c6227ab7f46e55e06c6a287449,2db264580c2c611ee1d52f8d4dab972963cd09858520b856075845755cc6b44a,5ad36af34a8a8eb6625474dab8b00886235a1448eee39a647dcc3663d8df0736
"1","8","100","91002","30109001"
"2","2","10","20002","30109001"
"3","8","100","91002","30109002"
"4","12","40000","94002","30109002"
"5","8","300","91002","30109003"
"6","8","500","91002","30109004"
"7","8","500","91002","30109005"
"8","12","1000000","94002","30109005"
"9","8","500","91002","30109006"
"10","12","500000","94002","30109006"
"11","8","600","91002","30110001"
"12","12","200000","94002","30110006"
