44db306c42eeca41a12197e6fc51fa7b050fb68e65f269b7b4fa0e8ab95d0ab8,a831f100ae4848ce259c15203909a1d230a11a7f1ef0ce412073ef30994b0c6f,b4ce14692ca0bd87a48c7e43d458264ca9adb2014264d063f19aab044fbec9ac,ad961dadb938c7151c4b3a7b959c7acce6ea424040d2999749ee5c227aeb7fba,b33f0c7b44221fafc3a070601fdd307e958f3e4ab383194e236007e80943effe
"74001102","add_shadow","1","追加1隻闇影","追加吉塔的闇影。"
"74001103","add_shadow","2","追加3隻闇影","追加吉塔、咲戀（夏日）、愛梅斯的闇影。"
"74001104","star6_shadow","3","闇影★6化","望的闇影變成★6。"
"74001104","add_shadow","4","追加3隻闇影","追加吉塔、咲戀（夏日）、愛梅斯的闇影。"
"74001105","star6_shadow","5","闇影★6化","望、吉塔、鏡華的闇影\n變成★6。"
"74001105","add_shadow","6","追加3隻闇影","追加吉塔、咲戀（夏日）、愛梅斯的闇影。"
"74001202","add_shadow","7","追加1隻闇影","追加優花梨的闇影。"
"74001203","add_shadow","8","追加3隻闇影","追加優花梨、矛依未（新年）、優衣的闇影。"
"74001204","star6_shadow","9","闇影★6化","優花梨與優衣的闇影變成★6。"
"74001204","add_shadow","10","追加3隻闇影","追加優花梨、矛依未（新年）、優衣的闇影。"
"74001205","star6_shadow","11","闇影★6化","宮子、優花梨、真步、優衣的闇影變成★6。"
"74001205","add_shadow","12","追加3隻闇影","追加優花梨、矛依未（新年）、優衣的闇影。"
"74001301","boss_magic_cut","13","Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。"
"74001302","boss_magic_cut","14","Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。"
"74001302","add_shadow","15","追加1隻闇影","追加靜流（夏日）的闇影。"
"74001303","energy_recover","16","開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。"
"74001303","boss_magic_cut","17","Boss魔法傷害降低","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。"
"74001303","add_shadow","18","追加2隻闇影","追加靜流（夏日）與克莉絲提娜的闇影。"
"74001304","boss_ub_enhance","19","Boss UB強化","Boss怪物的必殺技會受到強化。"
"74001304","energy_recover","20","開始時恢復TP","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。"
