74c4db20e06c8b550540e5751d83798bfa2fe318f2bd737af9a28e61b5c69845,e8752ba0adbd15be11779338371d3118f21980b6af998edae78a2e6c34210201,c3614c7d58f84c961e9096e36a092ec2fb4ca1ea7443c7ca93a8332a29f8f2ac,f5d32d1faf11494b6fc6c14487cf04e700abd462f5e6143d85731fa62d4f460a,617e1107da5669a8b47a8dc919d7fc4e2e420f72748ad8c4dcb2784b86f72f6e,353c678a6bcf4e2084560abac90afde4b7cfd2b19ffd98245533691355001bb2,0ad406ee9bcb0b741aea8b7c207473b7c5c353afb8920d5d00e9a9aa3f1969bb,77910ce48ca489351c84c1380632a022cec6f83105da845aad2a8f8f51fa22ed,e2df6bef4f79bb5a5a5853cae06740a54afbbaf7226f77fc0afa3f89758a8f24,63037f6dd9f4115f686db980f1b51a62104a74ae86bee576de5c505df748cd76,e3ba251e69f324772bfbec927559c82e25035bed9270eced55620f7f6f4a1604,3649ca918e42c4ae1bef0fdfd9b80965928642fa9c21e30f733fcaa9a1a9fab2,c480cfe0fe9ce6d1476b128fdb2aaa50c75f771f709db0f2264fc962db6b8b00,7d063a1d7d062c58df2986b7b928275f5da452e72522213629c1c22377a8e938,73d59e8a9a57721534a7c7f4d0978c0a086bcd52302f10374cfbc641b2b0bda2
"0","2015/12/17 15:00:00","7","1","0","2099/12/17 14:59:59","7001","0","106001","凱留","1","偶爾參加共鬥\n好像也不錯吼？\n我也助你一臂之力吧。","-363","0","1"
"0","2015/12/17 15:00:00","7","1","0","2099/12/17 14:59:59","7002","0","105901","可可蘿","1","似乎可以和許多人\n協力戰鬥呢。\n要是主人的話，\n想必能夠非常活躍吧。","-363","0","1"
"0","2015/12/17 15:00:00","7","1","0","2099/12/17 14:59:59","7003","0","105801","貪吃佩可","1","和許多人一起\n共同戰鬥！\n一起加油吧☆　","-363","0","1"
"0","2015/12/17 15:00:00","10","1","0","2099/12/17 14:59:59","10001","0","105801","貪吃佩可","1","用寶石可以換食物…\n不對，是換貴重物品啦！","-363","0","1"
"0","2015/12/17 15:00:00","10","1","0","2099/12/17 14:59:59","10002","0","106001","凱留","1","寶石要好好想清楚\n再使用哦！\n別亂花喔！","-363","0","1"
"0","2015/12/17 15:00:00","10","1","0","2099/12/17 14:59:59","10003","0","105901","可可蘿","1","用主人的寶石\n可以買到各種貴重的物品\n雖然如此，浪費還是\n『壞壞』呦。","-363","0","1"
"0","2015/12/17 15:00:00","10","1","2104010","2030/12/17 14:59:59","10004","0","106401","雪菲","1","只要有寶石\n似乎就能交換貴重物品\n珍惜著使用吧","-363","0","2"
"0","2015/12/17 15:00:00","12","1","0","2099/12/17 14:59:59","12001","0","105801","貪吃佩可","1","達到特定條件的話\n可以得到報酬喔！\n一起加油吧♪　","-416.5","0","1"
"0","2015/12/17 15:00:00","13","1","0","2099/12/17 14:59:59","13001","0","106001","凱留","1","雖然經歷了各種事，\n回頭一看，\n感覺卻挺不賴吶？","-363","0","1"
"0","2015/12/17 15:00:00","13","1","0","2099/12/17 14:59:59","13002","0","105901","可可蘿","1","和主人度過的快樂每一天……\n到這裡可以隨意\n想回想幾次就回想幾次♪　","-363","0","1"
"0","2015/12/17 15:00:00","13","1","2104010","2099/12/17 14:59:59","13003","0","106401","雪菲","1","裡頭裝有許多\n和大家一起的重要回憶呢\n希望能跟各位一同回想\n雋刻於心上","-363","0","2"
"0","2015/12/17 15:00:00","13","1","0","2099/12/17 14:59:59","13004","0","105801","貪吃佩可","1","看到你有很多\n和女生共度的回憶哦！\n嗚呼嗚呼♪\n你很受歡迎呢☆","-363","0","1"
"0","2015/12/17 15:00:00","14","1","0","2099/12/17 14:59:59","14001","0","105901","可可蘿","1","這是可以獲得培育\n所需的道具的冒險。\n為了主人，在下\n一定會變強的呦","-363","0","1"
"0","2015/12/17 15:00:00","14","1","2104010","2099/12/17 14:59:59","14002","0","106401","雪菲","1","只要攻略這個冒險，\n似乎就能取得道具。\n為了變得更強，\n要拚命努力啊！","-363","0","2"
"0","2015/12/17 15:00:00","14","1","0","2099/12/17 14:59:59","14003","0","105801","貪吃佩可","1","攻略這個冒險的話，\n可以得到道具哦\n蒐集許多道具，變得\n越來越強吧！","-363","0","1"
"0","2015/12/17 15:00:00","14","1","0","2099/12/17 14:59:59","14004","0","106001","凱留","1","攻略冒險的話，\n聽說就能得到道具\n能拿的東西，\n我們就要拿到！","-363","0","1"
"0","2015/12/17 15:00:00","15","1","0","2099/12/17 14:59:59","15001","0","105901","可可蘿","1","主人，做好行前準備\n一起完成充實的冒險吧。","-470","0","1"
"0","2015/12/17 15:00:00","16","1","2104010","2099/12/17 14:59:59","16001","0","106401","雪菲","1","欸……要不要加入戰隊？\n一個人是很開心，但跟大家\n一起很熱鬧，我覺得很棒","-363","0","2"
"0","2015/12/17 15:00:00","16","1","0","2099/12/17 14:59:59","16002","0","105801","貪吃佩可","1","要加入戰隊看看嗎？\n和大家一起冒險\n非常開心哦！","-363","0","1"
"0","2015/12/17 15:00:00","16","1","0","2099/12/17 14:59:59","16003","0","106001","凱留","1","似乎可以加入戰隊哦\n機會難得，加入看看吧？\n好像挺好玩的哦♪","-363","0","1"
"0","2015/12/17 15:00:00","16","1","0","2099/12/17 14:59:59","16004","0","105901","可可蘿","1","在這裡可以加入戰隊，\n有很多厲害的戰隊，\n真令人目不暇給。","-363","0","1"
"0","2015/12/17 15:00:00","17","1","0","2099/12/17 14:59:59","17002","0","105901","可可蘿","1"," 在這邊可以回顧\n與同伴一同參加戰隊競賽時\n大顯身手的樣子。","-363","0","1"
"0","2015/12/17 15:00:00","25","1","0","2030/12/17 14:59:59","17004","0","106001","凱留","1","模擬戰的戰績裡如果有你\n喜歡的內容在裡面的話，\n可以存檔喔","-363","0","1"
"0","2015/12/17 15:00:00","25","1","0","2030/12/17 14:59:59","17005","0","105901","可可蘿","1","主人，您這次在戰隊競賽的\n活躍表現已存檔\n請用來作為未來戰鬥時的參考吧","-363","0","1"
"0","2015/12/17 15:00:00","25","1","2104010","2030/12/17 14:59:59","17006","0","106401","雪菲","1","這次的戰隊競賽\n戰況如何？\n看戰績，或許能活用到\n下次的戰鬥上","-363","0","2"
"0","2015/12/17 15:00:00","25","1","0","2030/12/17 14:59:59","17007","0","105801","貪吃佩可","1","可以複習一下這次戰隊競賽\n的戰績喔！\n也讓我看看吧☆","-363","0","1"
"0","2019/03/06 16:00:00","18","1","0","2030/12/17 14:59:59","18001","0","190801","花凜","1","歡迎！\n在這裡提供主頁或\n公會小屋播放音樂的\n變更與購買服務喔。","-363","0","1"
"0","2019/03/06 16:00:00","18","2","0","2030/12/17 14:59:59","18002","0","190801","花凜","1","BGM的變更與購買\n都可以在這裡進行喔\n我們為您準備了，\n很多動人的樂曲喔！","-363","0","1"
"0","2019/03/06 16:00:00","19","3","0","2030/12/17 14:59:59","19001","0","190801","花凜","1","主頁或公會小屋的BGM\n都可以更改喔\n您喜歡的樂曲，\n也請讓我聽聽看吧。","-470","0","1"
"0","2019/03/06 16:00:00","19","4","0","2030/12/17 14:59:59","19002","0","190801","花凜","1","在這裡，\n可以將BGM更改喔\n您要更改為什麼樂曲呢？\n呵呵呵，我也很期待呢♪","-470","0","1"
"0","2019/03/06 16:00:00","20","5","0","2030/12/17 14:59:59","20001","0","190801","花凜","1","在這裡，\n可以讓您購買BGM喔，\n也可以讓您試聽，\n請仔細挑選吧。","-470","0","1"
"0","2019/03/06 16:00:00","20","6","0","2030/12/17 14:59:59","20002","0","190801","花凜","1","歡迎光臨！\n請到這裡購買BGM\n有很多優秀的樂曲，\n讓人挑得目不暇給呢。","-470","0","1"
"0","2019/03/06 16:00:00","21","1","0","2030/12/17 14:59:59","21001","0","106001","凱留","1","在這裡好像可以用取得的道具\n來製作專用裝備呢\n如果收集到了道具\n就立刻來試做吧！","-363","0","1"
"0","2019/03/06 16:00:00","21","1","0","2030/12/17 14:59:59","21002","0","105901","可可蘿","1","攻略時有可能\n獲得稀有的道具喔\n有了這類道具\n好像可以用來製作專用裝備。","-363","0","1"
"0","2015/12/17 15:00:00","21","1","2104010","2030/12/17 14:59:59","21003","0","106401","雪菲","1","想要專用裝備的話\n就挑戰這個冒險吧\n靠著收集到的素材\n變得更強更強吧","-363","0","2"
"0","2019/03/06 16:00:00","21","1","0","2030/12/17 14:59:59","21004","0","105801","貪吃佩可","1","好像可以獲得\n製作專用裝備的必要道具\n多多收集、\n越裝就會越強大！","-363","0","1"
"0","2019/07/24 16:00:00","22","1","0","2030/12/17 14:59:59","22001","0","190801","花凜","1","投票請到這邊。\n請為你支持的女孩\n投下你心意滿滿的\n一票吧！","-430","0","1"
"0","2019/07/24 16:00:00","22","2","0","2030/12/17 14:59:59","22002","0","190801","花凜","1","歡迎！\n你喜愛的女孩\n是哪一位呢？\n請幫她加油吧！","-430","0","1"
