06142f81916135108c344267f2605237f23d235d34dd6727d11912d14db62d68,b80df8b5b4f31b4bdb16a9acf7110e788e5e8bd9136a350c1601ea5ebf129d71,2e02c9a1962f216d421936406e07aa1d7688a6d395315c9d4b186c6b41a9fcb2,0fb5037d963dfc90ccb7d8041e1e31f81b09468f7a992670353206799f24216f,a3e35eaf18047c969ec1d1e2715529cc401087dc570be9efd1c515d4a14323ee,164f62cad56fb8d0bf2a59b65253e9c88fc31d6938ab73060a5f41375f6eb4bc,86c83bb6f7fdf5c2975f055a15068a6f96968f6efc6f1aab9974d79a70a0ebc2,d268852dcf73f4d6a08d9d5dd69b6309d54d0f4d935e94b6834891e1645a808f,dd7fb958869dd29a5a7c958d0947c3b5336797b141e68ade08d221230a3c13b0
"0","30000","5000","0","20000","100111","0","50","0"
"0","30000","5000","0","20000","100112","0","50","0"
"0","30000","5000","0","20000","100113","0","50","0"
"0","45000","12500","0","30000","100121","0","125","0"
"0","45000","12500","0","30000","100122","0","125","0"
"0","45000","12500","0","30000","100123","0","125","0"
"0","60000","20000","0","40000","100131","0","200","0"
"0","60000","20000","0","40000","100132","0","200","0"
"0","60000","20000","0","40000","100133","0","200","0"
"0","30000","5000","0","20000","100211","0","50","0"
"0","30000","5000","0","20000","100212","0","50","0"
"0","30000","5000","0","20000","100213","0","50","0"
"0","45000","12500","0","30000","100221","0","125","0"
"0","45000","12500","0","30000","100222","0","125","0"
"0","45000","12500","0","30000","100223","0","125","0"
"0","60000","20000","0","40000","100231","0","200","0"
"0","60000","20000","0","40000","100232","0","200","0"
"0","60000","20000","0","40000","100233","0","200","0"
"0","30000","5000","0","20000","100311","0","50","0"
"0","30000","5000","0","20000","100312","0","50","0"
"0","30000","5000","0","20000","100313","0","50","0"
"0","45000","12500","0","30000","100321","0","125","0"
"0","45000","12500","0","30000","100322","0","125","0"
"0","45000","12500","0","30000","100323","0","125","0"
"0","60000","20000","0","40000","100331","0","200","0"
"0","60000","20000","0","40000","100332","0","200","0"
"0","60000","20000","0","40000","100333","0","200","0"
"0","30000","5000","0","20000","100411","0","50","0"
"0","30000","5000","0","20000","100412","0","50","0"
"0","30000","5000","0","20000","100413","0","50","0"
"0","45000","12500","0","30000","100421","0","125","0"
"0","45000","12500","0","30000","100422","0","125","0"
"0","45000","12500","0","30000","100423","0","125","0"
"0","60000","20000","0","40000","100431","0","200","0"
"0","60000","20000","0","40000","100432","0","200","0"
"0","60000","20000","0","40000","100433","0","200","0"
"0","30000","5000","0","20000","100511","0","50","0"
"0","30000","5000","0","20000","100512","0","50","0"
"0","30000","5000","0","20000","100513","0","50","0"
"0","45000","12500","0","30000","100521","0","125","0"
"0","45000","12500","0","30000","100522","0","125","0"
"0","45000","12500","0","30000","100523","0","125","0"
"0","60000","20000","0","40000","100531","0","200","0"
"0","60000","20000","0","40000","100532","0","200","0"
"0","60000","20000","0","40000","100533","0","200","0"
"0","30000","5000","0","20000","100611","0","50","0"
"0","30000","5000","0","20000","100612","0","50","0"
"0","30000","5000","0","20000","100613","0","50","0"
"0","45000","12500","0","30000","100621","0","125","0"
"0","45000","12500","0","30000","100622","0","125","0"
"0","45000","12500","0","30000","100623","0","125","0"
"0","60000","20000","0","40000","100631","0","200","0"
"0","60000","20000","0","40000","100632","0","200","0"
"0","60000","20000","0","40000","100633","0","200","0"
"0","30000","5000","0","20000","100711","0","50","0"
"0","30000","5000","0","20000","100712","0","50","0"
"0","30000","5000","0","20000","100713","0","50","0"
"0","45000","12500","0","30000","100721","0","125","0"
"0","45000","12500","0","30000","100722","0","125","0"
"0","45000","12500","0","30000","100723","0","125","0"
"0","60000","20000","0","40000","100731","0","200","0"
"0","60000","20000","0","40000","100732","0","200","0"
"0","60000","20000","0","40000","100733","0","200","0"
"0","30000","5000","0","20000","100811","0","50","0"
"0","30000","5000","0","20000","100812","0","50","0"
"0","30000","5000","0","20000","100813","0","50","0"
"0","45000","12500","0","30000","100821","0","125","0"
"0","45000","12500","0","30000","100822","0","125","0"
"0","45000","12500","0","30000","100823","0","125","0"
"0","60000","20000","0","40000","100831","0","200","0"
"0","60000","20000","0","40000","100832","0","200","0"
"0","60000","20000","0","40000","100833","0","200","0"
"0","30000","5000","0","20000","100911","0","50","0"
"0","30000","5000","0","20000","100912","0","50","0"
"0","30000","5000","0","20000","100913","0","50","0"
"0","45000","12500","0","30000","100921","0","125","0"
"0","45000","12500","0","30000","100922","0","125","0"
"0","45000","12500","0","30000","100923","0","125","0"
"0","60000","20000","0","40000","100931","0","200","0"
"0","60000","20000","0","40000","100932","0","200","0"
"0","60000","20000","0","40000","100933","0","200","0"
