3fc4c16fad4522633536a484a35c7a47d686d1d60edf911d8487bd1d69833abd,5ca26a3d4ad0c3dd67e728d0045001dd83018d1ab0de96e49d3bc9c5ff9602d1,42440df21faeceee439a1bce46e5ed777c68db93365bfe8988d2a6c810f00635,8fa0bc89b854fb5438f9c9c20894a0b22b1b9a7b2891712ff64e92091de07c0a,a2a79ac923383b343bb6fbaac2f6ac12feeb2c58d3771961b58fa323154ac035,275bcc8914300ef4089a091c0042fb00044c72fd68027a314eed1fb9a76af199,a55e6a3ca274a6b2265f1e47c6082558b71742bcabfdc3aeb798a0c20eb95d82,72381e593ecefa652b52f940cfa5bff3167030e1d064402a94862257d634981a,5e8227a47248267e8ce3b388e8627efa6ec23a5ff565f1e29fbda3db9a93f5f7,d4e8d6b63c8ef3b58c61190e8a57ac9467135a0b33b53bd45e2b6e9053cf4b88,80113def1c93947fc1424a7e558c39ce3fb7c29bda7adb15db9e6da1a2891c14,bf22a1352b3227a819b0769995345d34e40354ffeac1dfd6b5624d064e3b50c6,17d17fc9267d63592cca275c43545f98d29aefc302b8964fef8d2937f59f14e6,1aab8396ea7526a1de8807cdad34d9c86391b0baae47f224d9b13a91c250144d
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-1 (NORMAL)","1","72001001","20001","20001101","72001001"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-2 (NORMAL)","1","72001002","20001","20001102","72001002"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-3 (NORMAL)","1","72001003","20001","20001103","72001003"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-4 (NORMAL)","1","72001004","20001","20001104","72001004"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-5 (NORMAL)","1","72001005","20001","20001105","72001005"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-6 (NORMAL)","1","72001006","20001","20001106","72001006"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-7 (NORMAL)","1","72001007","20001","20001107","72001007"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-8 (NORMAL)","1","72001008","20001","20001108","72001008"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-9 (NORMAL)","1","72001009","20001","20001109","72001009"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-10 (NORMAL)","1","72001010","20001","20001110","72001010"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-11 (NORMAL)","1","72001011","20001","20001111","72001011"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-12 (NORMAL)","1","72001012","20001","20001112","72001012"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-13 (NORMAL)","1","72001013","20001","20001113","72001013"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-14 (NORMAL)","1","72001014","20001","20001114","72001014"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001102","0","8004","601","完成活動任務1-15 (NORMAL)","1","72001015","20001","20001115","72001015"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001103","0","8005","601","完成活動任務1-1 (HARD)","1","72001016","20001","20001201","72001016"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001103","0","8005","601","完成活動任務1-2 (HARD)","1","72001017","20001","20001202","72001017"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001103","0","8005","601","完成活動任務1-3 (HARD)","1","72001018","20001","20001203","72001018"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001103","0","8005","601","完成活動任務1-4 (HARD)","1","72001019","20001","20001204","72001019"
"0","2030/12/31 14:59:59","2018/01/01 12:00:00","9003","20001103","0","8005","601","完成活動任務1-5 (HARD)","1","72001020","20001","20001205","72001020"
