43c16d742eaf6d4cdb7848097a2e637c7d1b86b97c51314ff733e990af8b46cd,5ad5abdcd240b03b1caa6d7d03c84c580742a11284daf4858048296b6d95dfec,350ad8a0ee2c84270e5da3c0bfb7fb26919f267eb7dbb06477443fe3dc7bfdd0,31b17ff19c1f18fa7a9e4df5e64c7abbdc25f63022097d981c5b46b7a03cc1b0,8a89c3a51e5df69226b20e3018b540fadfcd332b2ed7da4f3c33f9f6f6f26b8f,8bceb09b5cd90fd5f3afe80de1ce260cfe1badefa09988c0a8c9a44c9db88f5e,26747d0ebb5acfcfadfc09a72d0b061f765c9dad8a597974a0983788f1d76df6
"1001","2019/02/18 15:59:59","7001000","2019/02/13 16:00:00","2019/02/19 05:00:00","2019/02/19 15:59:59","1"
"1002","2019/03/19 15:59:59","7002000","2019/03/15 16:00:00","2019/03/20 05:00:00","2019/03/20 15:59:59","2"
"1003","2019/04/21 15:59:59","7003000","2019/04/17 16:00:00","2019/04/22 05:00:00","2019/04/22 15:59:59","3"
"1004","2019/05/21 09:59:59","7003003","2019/05/17 16:00:00","2019/05/22 05:00:00","2019/05/22 09:59:59","4"
"1005","2019/06/20 15:59:59","7004000","2019/06/17 16:00:00","2019/06/21 05:00:00","2019/06/21 15:59:59","5"
"1006","2019/07/21 15:59:59","7004003","2019/07/17 16:00:00","2019/07/22 05:00:00","2019/07/22 15:59:59","6"
"1007","2019/08/21 15:59:59","7005000","2019/08/16 16:00:00","2019/08/22 05:00:00","2019/08/22 15:59:59","7"
"1008","2019/09/21 15:59:59","7005003","2019/09/17 16:00:00","2019/09/22 05:00:00","2019/09/22 15:59:59","8"
"1009","2019/10/22 15:59:59","7006000","2019/10/18 16:00:00","2019/10/23 05:00:00","2019/10/23 15:59:59","9"
"1010","2019/11/21 15:59:59","7006003","2019/11/18 16:00:00","2019/11/22 05:00:00","2019/11/22 15:59:59","10"
"1011","2019/12/21 15:59:59","7007000","2019/12/17 16:00:00","2019/12/22 05:00:00","2019/12/22 15:59:59","11"
"1012","2020/01/21 15:59:59","7007003","2020/01/16 16:00:00","2020/01/22 00:00:00","2020/01/22 15:59:59","12"
"1013","2020/02/20 15:59:59","7008000","2020/02/17 16:00:00","2020/02/21 00:00:00","2020/02/21 15:59:59","13"
"1014","2020/03/23 15:59:59","7008003","2020/03/17 16:00:00","2020/03/24 00:00:00","2020/03/24 15:59:59","14"
"1015","2020/04/20 15:59:59","7009000","2020/04/14 16:00:00","2020/04/21 00:00:00","2020/04/21 15:59:59","15"
"1016","2020/05/21 15:59:59","7009003","2020/05/15 16:00:00","2020/05/22 05:00:00","2020/05/22 15:59:59","16"
"1017","2020/06/18 15:59:59","7010000","2020/06/12 16:00:00","2020/06/19 00:00:00","2020/06/19 15:59:59","17"
"1018","2020/07/19 15:59:59","7010003","2020/07/13 16:00:00","2020/07/20 00:00:00","2020/07/20 15:59:59","18"
"1019","2020/08/20 15:59:59","7011000","2020/08/14 16:00:00","2020/08/21 00:00:00","2020/08/21 15:59:59","19"
"1020","2020/09/15 15:59:59","7011003","2020/09/11 16:00:00","2020/09/16 00:00:00","2020/09/16 15:59:59","20"
"1021","2020/10/17 15:59:59","7012000","2020/10/13 16:00:00","2020/10/18 00:00:00","2020/10/18 15:59:59","21"
"1022","2020/11/14 15:59:59","7012003","2020/11/10 16:00:00","2020/11/15 00:00:00","2020/11/15 15:59:59","22"
"1023","2020/12/14 15:59:59","7013000","2020/12/10 16:00:00","2020/12/15 00:00:00","2020/12/15 15:59:59","23"
"1024","2021/01/10 15:59:59","7013003","2021/01/06 16:00:00","2021/01/11 00:00:00","2021/01/11 15:59:59","24"
"1025","2021/02/13 15:59:59","7014000","2021/02/09 16:00:00","2021/02/14 00:00:00","2021/02/14 15:59:59","25"
"1026","2021/03/13 15:59:59","7014003","2021/03/09 16:00:00","2021/03/14 00:00:00","2021/03/14 15:59:59","26"
"1027","2021/04/13 15:59:59","7015000","2021/04/08 16:00:00","2021/04/14 00:00:00","2021/04/14 15:59:59","27"
"1028","2021/05/16 15:59:59","7015003","2021/05/12 16:00:00","2021/05/17 00:00:00","2021/05/17 15:59:59","28"
"1029","2021/06/15 15:59:59","7016000","2021/06/11 16:00:00","2021/06/16 00:00:00","2021/06/16 15:59:59","29"
"1030","2021/07/17 15:59:59","7016003","2021/07/13 16:00:00","2021/07/18 00:00:00","2021/07/18 15:59:59","30"
"1031","2021/08/17 15:59:59","7017000","2021/08/13 16:00:00","2021/08/18 00:00:00","2021/08/18 15:59:59","31"
"1032","2021/09/14 15:59:59","7017003","2021/09/10 16:00:00","2021/09/15 00:00:00","2021/09/15 15:59:59","32"
"1033","2021/10/12 15:59:59","7018000","2021/10/08 16:00:00","2021/10/13 00:00:00","2021/10/13 15:59:59","33"
"1034","2021/11/16 15:59:59","7018003","2021/11/12 16:00:00","2021/11/17 00:00:00","2021/11/17 15:59:59","34"
"1035","2021/12/14 15:59:59","7019000","2021/12/10 16:00:00","2021/12/15 00:00:00","2021/12/15 15:59:59","35"
"1036","2022/01/14 15:59:59","7019003","2022/01/10 16:00:00","2022/01/15 00:00:00","2022/01/15 15:59:59","36"
"1037","2022/02/14 15:59:59","7020000","2022/02/10 16:00:00","2022/02/15 00:00:00","2022/02/15 15:59:59","37"
"1038","2022/03/14 15:59:59","7020003","2022/03/10 16:00:00","2022/03/15 00:00:00","2022/03/15 15:59:59","38"
"1039","2022/04/12 15:59:59","7021000","2022/04/08 16:00:00","2022/04/13 00:00:00","2022/04/13 15:59:59","39"
"1040","2022/05/14 15:59:59","7021003","2022/05/10 16:00:00","2022/05/15 00:00:00","2022/05/15 15:59:59","40"
"1041","2022/06/14 15:59:59","7022000","2022/06/10 16:00:00","2022/06/15 00:00:00","2022/06/15 15:59:59","41"
"1042","2022/07/12 15:59:59","7022003","2022/07/08 16:00:00","2022/07/13 00:00:00","2022/07/13 15:59:59","42"
"1043","2022/08/13 15:59:59","7023000","2022/08/09 16:00:00","2022/08/14 00:00:00","2022/08/14 15:59:59","43"
"1044","2022/10/11 15:59:59","7023003","2022/10/07 16:00:00","2022/10/12 00:00:00","2022/10/12 15:59:59","44"
"1045","2022/12/13 15:59:59","7024000","2022/12/09 16:00:00","2022/12/14 00:00:00","2022/12/14 15:59:59","45"
"1046","2023/02/14 15:59:59","7024003","2023/02/10 16:00:00","2023/02/15 00:00:00","2023/02/15 15:59:59","46"
"1047","2023/04/11 15:59:59","7025000","2023/04/07 16:00:00","2023/04/12 00:00:00","2023/04/12 15:59:59","47"
"1048","2023/07/11 15:59:59","7025003","2023/07/07 16:00:00","2023/07/12 00:00:00","2023/07/12 15:59:59","48"
"1049","2023/10/13 15:59:59","7026000","2023/10/09 16:00:00","2023/10/14 00:00:00","2023/10/14 15:59:59","49"
"1050","2024/01/09 15:59:59","7026003","2024/01/05 16:00:00","2024/01/10 00:00:00","2024/01/10 15:59:59","50"
"1051","2024/04/13 15:59:59","7027000","2024/04/09 16:00:00","2024/04/14 00:00:00","2024/04/14 15:59:59","51"
"1052","2024/08/13 15:59:59","7027003","2024/08/09 16:00:00","2024/08/14 00:00:00","2024/08/14 15:59:59","52"
"1053","2024/12/14 15:59:59","7028000","2024/12/10 16:00:00","2024/12/15 00:00:00","2024/12/15 15:59:59","53"
"1054","2025/01/14 15:59:59","7028003","2025/01/10 16:00:00","2025/01/15 00:00:00","2025/01/15 15:59:59","54"
