acac90ec0fca891eac8d3bb35882295446aa11bded04af509de9e9c5bffc61df,39ccece054264422fdd91fc2d691e3d653cbbd6a21d1e0c4ae546a7de8020917,b125b4aadcecb1bdbff4134aabd51ca601a7ed7c50096a99ab5095ac8bf9c74f,34e6a77c2177de237550e5f677e8a04f9c24066d23c4f3ce3afa0bd652d107ab,e1b3de9625aa4e749a852e49b8cf4236604dbad3da5a3902d69b839e4b7cc6a6,58ce36782f62e3536d58a1149c030b97d9213ecb62dc1e70b0621721359a8896,2565c222440b38006e29b9f67ded1c14b80116b3a55498ebb027eb911daba3ad
"1","2500","5126700","50000","取得累積分數2500分","12","94002"
"1","5000","0","50000","取得累積分數5000分","12","94002"
"1","7500","0","50000","取得累積分數7500分","12","94002"
"1","10000","5126701","1","取得累積分數10000分","7","2839"
"1","12500","0","80000","取得累積分數12500分","12","94002"
"1","15000","0","80000","取得累積分數15000分","12","94002"
"1","17500","0","80000","取得累積分數17500分","12","94002"
"1","20000","5126702","25","取得累積分數20000分","8","91002"
"1","22500","0","100000","取得累積分數22500分","12","94002"
"1","25000","0","100000","取得累積分數25000分","12","94002"
"1","27500","0","100","取得累積分數27500分","8","91002"
"1","30000","5126703","1","取得累積分數30000分","15","11001262"
"2","2500","5126710","50000","取得累積分數2500分","12","94002"
"2","5000","0","50000","取得累積分數5000分","12","94002"
"2","7500","0","50000","取得累積分數7500分","12","94002"
"2","10000","5126711","1","取得累積分數10000分","7","2840"
"2","12500","0","80000","取得累積分數12500分","12","94002"
"2","15000","0","80000","取得累積分數15000分","12","94002"
"2","17500","0","80000","取得累積分數17500分","12","94002"
"2","20000","5126712","25","取得累積分數20000分","8","91002"
"2","22500","0","100000","取得累積分數22500分","12","94002"
"2","25000","0","100000","取得累積分數25000分","12","94002"
"2","27500","0","100","取得累積分數27500分","8","91002"
"2","30000","5126713","1","取得累積分數30000分","15","11001263"
