55bb207f3096fe7f39226a9ad22dfaad3522169764cafd14c50a60c31abfc97b,72d8210c195a83ca7cf11b548a6d293ecce06adbb60039b1c4fd579df05bbc23,a9795f8ea2fe39aaece41a6a6a9428f83d94589307b1ff3ff55acffa05547d0a,ed1cd195b60656e33b4b75ce0010d501c4fe627de4286eb1ad9a2709a0d2370b,f85d6e66acd318cd2b830d798fd12791f5aed47e4a8b724a53d26f84736a8ba9,08839a1c536dd821d0f8d271ffea601c605290390592f6a886641a6c873f7258,93ff358f549578fb85c2d0feda2d49d2fdc74ac0cc109593801c267bfa36f9c1,6d3325220c93f65bccbdc86c6cd8e8aa3bdbfaaa1513bbdb81a41ec3323f158d,c5dad90a6ba4c6cb223f9093070a5beba18654131055193d65a76146c8c79172,8004a9d8c0faf4b47256acffb5413fa22c04fddd26faad2894445d7197fdeb9f,fc52c8c071c8d42901dd5a23970efaaeb963eb10af440cdf5db805806704da9a,6af09497c62eed66340036dad3e9f3be26986f3559b0a3512fbd9f57eaec0c8a,6c6ecccd4ff0efe3a196139fa54a6af9ae09b21b10c20cb3161db9caa48193c6,a12d4a6c8c70fbb8fb954f6f883b275436612dc757a744a388cd90688d720504,b0695c236ae65ed20821c5fc1537eb98ecfbccfc5b69b4ae945a2ec1964d698b,41aaec824b0d347a7bdbcfcc8f29095fa89f0f4f5a0746276b57992b651fcb74,938a1f1047383b7586e08230737b68cf7d7d11f5925ed5ae75aec95d9c177712
"11001001","4104351","7200","11001001","11001","4101351","4104401","1","克梅利亞洞窟","43200","100000","108","-470","4101401","10","1","4201401"
"11001002","4110351","7200","11001002","11001","4106351","4110401","2","盧可拉諾大瀑布","43200","100000","90","-235","4106401","10","1","4203401"
"11001003","4105351","7200","11001003","11001","4102351","4105401","3","艾里巨木","43200","100000","108","0","4102401","10","1","4201401"
"11001004","4109351","7200","11001004","11001","4108351","4109401","4","伊雷亞溪谷","43200","100000","90","235","4108401","10","1","4203401"
"11001005","4107351","7200","11001005","11001","4103351","4107401","5","史達爾斷崖","43200","100000","108","470","4103401","10","1","4201401"
"11002001","4101401","7200","11002003","11002","4301351","4201401","6","阿爾巴岸堤","43200","100000","108","-470","4104401","10","1","4301401"
"11002002","4106401","7200","11002002","11002","4305351","4203401","7","撒達爾史朵\n沙灘","43200","100000","90","-235","4110401","10","1","4305401"
"11002003","4102401","7200","11002001","11002","4302351","4201401","8","達爾里克\n巨岩","43200","100000","108","0","4105401","10","1","4302401"
"11002004","4108401","7200","11001005","11002","4304351","4203401","9","安卡爾川","43200","100000","90","235","4109401","10","1","4304401"
"11002005","4103401","7200","11001001","11002","4303351","4201401","10","達克比亞\n森林","43200","100000","108","470","4107401","10","1","4303401"
"11003001","4201401","7200","11003001","11003","4201351","4104401","11","密瑪斯\n洞穴","43200","100000","108","-470","4101401","10","1","4109401"
"11003002","4202401","7200","11003002","11003","4202351","4102401","11","雷安特河","43200","100000","90","-155","4108401","10","1","4110401"
"11003003","4203401","7200","11003003","11003","4203351","4105401","11","刻蘭德\n廢墟","43200","100000","108","160","4103401","10","1","4109401"
"11003004","4204401","7200","11003004","11003","4204351","4107401","11","迪歐涅加\n冰海","43200","100000","90","470","4106401","10","1","4110401"
