4880ff6ec066b9bdca26378a43a210c5a828ed25d6aac936fbca9b5753e53d08,c83be518754a56ff30ffdd81a6a8ab0cf84eef240add483c63174c1d84d05411,3b2a53486e0c750d0a05c94f17bc0b4e860d7e5bd5a6da71c022528c6549fc6b,44f87417c0dfb37d01287cfc34c872d15000b0990eb27e532d62f8bd1958ae3c,3283716693c67eac1e863c54ebbe8cdff530772a55aa98c40b258db15a3c5792
"0","1","1","26999","小雞"
"0","1","2","26999","生手"
"0","1","3","26999","魚苗"
"0","3","4","26999","新手賽跑者"
"0","1","5","26999","小嬰兒"
"0","1","6","26999","寶寶"
"0","1","7","26999","小人物"
"0","1","8","26999","無用之人"
"0","1","9","26999","外行人"
"27000","1","10","33999","小魚"
"27000","1","11","33999","新手"
"27000","3","12","33999","愉悅賽跑者"
"27000","1","13","33999","小輩"
"27000","1","14","33999","新人"
"27000","1","15","33999","女孩"
"27000","1","16","33999","期待之星"
"27000","1","17","33999","原石"
"27000","2","18","33999","新希望"
"34000","1","19","50399","探究者"
"34000","1","20","50399","暴徒"
"34000","1","21","50399","天才"
"34000","1","22","50399","奇才"
"34000","1","23","50399","大人物"
"34000","1","24","50399","麒麟兒"
"34000","1","25","50399","希望"
"34000","1","26","50399","新星"
"34000","1","27","50399","逸才"
"50400","1","28","59999","女僕"
"50400","1","29","59999","前輩"
"50400","1","30","59999","中級者"
"50400","3","31","59999","沙灘搶旗者"
"50400","1","32","59999","魚"
"50400","1","33","59999","領袖"
"50400","1","34","59999","主將"
"50400","1","35","59999","獨當一面"
"50400","1","36","59999","半職業"
"50400","1","37","59999","大型新人"
"60000","1","38","69999","流星"
"60000","1","39","69999","老師"
"60000","1","40","69999","海豚"
"60000","1","41","69999","職人"
"60000","1","42","69999","選手"
"60000","1","43","69999","金槍鮪"
"60000","1","44","69999","中等之中"
"60000","2","45","69999","知名人士"
"60000","1","46","69999","異才"
"60000","1","47","69999","精英"
"60000","1","48","69999","高手"
"60000","1","49","69999","行家"
"70000","1","50","83999","虎鯨"
"70000","1","51","83999","名人"
"70000","1","52","83999","魔術師"
"70000","1","53","83999","師傅"
"70000","1","54","83999","潛水艇"
"70000","2","55","83999","短跑選手"
"70000","1","56","83999","名手"
"70000","2","57","83999","王牌賽跑者"
"70000","1","58","83999","職業選手"
"70000","1","59","83999","看板選手"
"70000","1","60","83999","最高權威"
"70000","1","61","83999","教師"
"84000","2","62","99999","速度之星"
"84000","1","63","99999","豪傑"
"84000","1","64","99999","公主"
"84000","1","65","99999","女神"
"84000","1","66","99999","大師"
"84000","2","67","99999","頭號人物"
"84000","1","68","99999","寵兒"
"84000","3","69","99999","狂暴格里芬"
"84000","1","70","99999","飛龍"
"84000","2","71","99999","專家"
"84000","2","72","99999","頂尖賽跑者"
"100000","1","73","119999","飛毛腿"
"100000","1","74","119999","皇后"
"100000","2","75","119999","冠軍"
"100000","2","76","119999","天才賽跑者"
"100000","3","77","119999","紀錄保持人"
"100000","1","78","119999","極致"
"100000","2","79","119999","涅普堤利昂"
"100000","2","80","119999","希德雷克"
"100000","1","81","119999","女傑"
"100000","1","82","119999","革命家"
"100000","2","83","119999","巨星"
"120000","2","84","999999","幻想之星"
"120000","2","85","999999","超級巨星"
"120000","3","86","999999","世界冠軍"
"120000","1","87","999999","傳奇"
"120000","1","88","999999","超人"
"120000","1","89","999999","托爾披頓"
"120000","1","90","999999","加爾基諾司"
"120000","2","91","999999","水之里歐斯"
"120000","1","92","999999","至寶"
"120000","3","93","999999","宗師"
"120000","1","94","999999","英雄"
"120000","1","95","999999","統治天下"
