c6761aaf47cbb4cf5742dee72e93d422a0a1c79b11537cc1c9d9563b3ecf37dd,0cb7b9af17dc0210d6ccffa78fd097a519212e9a882504a5d9d98b5f0f18e206,f98861d637d852925613bd749213be3189fceb5da2920fcf7a5e2ebcec8c2c04,aadc0dad56b55c259057ae01d67aaf3aab17397745d76959d465e2f13e78cdd2,fe39e22941af5cd5ff43b863e11baca36edee6a91c9df6012132707bd05c3d02,3b11cbbd5a463ad00a6d609a0dbe6d88490f6c885ea04e300964066c1e70c6fa,7b73a18246570c96a5fc6f60ab42eb7de45c48ad5abb4b881c2903797bb14533
"0.3046875","3","1","10101","紡希的模型","0.478515625","對小細節極其講究又充滿躍動感，至高無上的紡希模型。\n能夠歷歷在目地回憶起最棒演唱會的亢奮之情與感動，\n為每一天帶來活力。"
"0.365234375","3","1","10102","望的模型","0.490234375","對小細節極其講究又充滿躍動感，至高無上的望模型。\n能夠歷歷在目地回憶起最棒演唱會的亢奮之情與感動，\n為每一天帶來活力。"
"0.291015625","3","1","10103","千歌的模型","0.478515625","對小細節極其講究又充滿躍動感，至高無上的千歌模型。\n能夠歷歷在目地回憶起最棒演唱會的亢奮之情與感動，\n為每一天帶來活力。"
"0.440625","3","2","10201","紡希的親筆簽名板","0.440625","強烈表現出紡希個性的親筆簽名板。上頭還寫著含藏了心意的訊息。\n似乎有很多粉絲奉為傳家之寶。"
"0.440625","3","2","10202","望的親筆簽名板","0.440625","強烈表現出望個性的親筆簽名板。上頭還寫著含藏了心意的訊息。\n似乎有很多粉絲奉為傳家之寶。"
"0.440625","3","2","10203","千歌的親筆簽名板","0.440625","強烈表現出千歌個性的親筆簽名板。上頭還寫著含藏了心意的訊息。\n似乎有很多粉絲奉為傳家之寶。"
"1.40625","3","3","10301","紡希的紀念別針","1.40625","紡希的夏日演唱會限定紀念別針。時髦的設計帶有高級感。\n各名成員的設計都重現了個人代表色。\n以完全收齊為目標吧！"
"1.40625","3","3","10302","望的紀念別針","1.40625","望的夏日演唱會限定紀念別針。時髦的設計帶有高級感。\n各名成員的設計都重現了個人代表色。\n以完全收齊為目標吧！"
"1.40625","3","3","10303","千歌的紀念別針","1.40625","千歌的夏日演唱會限定紀念別針。時髦的設計帶有高級感。\n各名成員的設計都重現了個人代表色。\n以完全收齊為目標吧！"
"1.40625","3","3","10304","慈樂之音的紀念別針","1.40625","為了紀念舉辦夏日演唱會而製作的限定紀念別針。\n烙印了象徵標誌的稀有絕品。\n和各名成員的別針一起收齊吧！"
"1.0875","2","7","10401","紡希的人物照片","0.675","紡希的人物照片。只要看著精挑細選出來的可愛表情，\n一定能讓你對紡希的心意變得更加熱情。"
"1.0875","2","7","10402","紡希的夏日版人物照片","0.675","紡希穿著夏日服裝的人物照片。\n看著照片中能讓人感受到熾熱的夏天，\n既耀眼又充滿魅力的模樣，和她一起度過最棒的夏天吧。"
"1.0875","2","7","10403","紡希的萬聖節版人物照片","0.675","紡希穿著萬聖節服裝的人物照片組。\n包含無數只能在萬聖節見到的珍貴畫面。\n甜甜的糖果和惡作劇都充滿了魅力。萬聖節快樂！"
