1f57b6a09f9e668ec56b9b58e0e9e136d2956377e675ba435010543f69f1d61d,74100ca4a5b8af26ae7bb4e4da95f3bf8d0463a22d402411c8c8f94147121e6c,d68bff9dd7bc567d23a1d934370830c2bdced6276a8aa9e4b56b3a5cab3da484,3cee55c9e342f79766efaa4fc3e06a210c823eaf9c829a9f88623ec6d0ac6cbd,29d318b6bb67903099798d5dc3383dde3ea5c190effc57ecb454cd1b9b97ea8a
"12","94002","100001011","150000","10000101"
"2","22003","100001012","6","10000101"
"12","94002","100001021","500000","10000102"
"2","22003","100001022","6","10000102"
"12","94002","100001031","500000","10000103"
"4","140001","100001032","3","10000103"
"2","25001","100001033","3","10000103"
"12","94002","100001041","500000","10000104"
"2","22003","100001042","6","10000104"
"12","94002","100001051","500000","10000105"
"4","140001","100001052","4","10000105"
"2","25001","100001053","4","10000105"
"12","94002","100001061","500000","10000106"
"2","22003","100001062","6","10000106"
"12","94002","100001071","500000","10000107"
"4","140001","100001072","4","10000107"
"2","25001","100001073","4","10000107"
"12","94002","100001081","500000","10000108"
"2","22003","100001082","6","10000108"
"12","94002","100001091","500000","10000109"
"4","140001","100001092","4","10000109"
"2","25001","100001093","4","10000109"
"12","94002","100505011","120000","10050501"
"2","22003","100505012","3","10050501"
"12","94002","100505021","120000","10050502"
"2","22003","100505022","4","10050502"
"12","94002","100505031","120000","10050503"
"2","22003","100505032","4","10050503"
"12","94002","100505111","120000","10050511"
"2","22003","100505112","3","10050511"
"12","94002","100505121","160000","10050512"
"2","22003","100505122","4","10050512"
"12","94002","100606011","120000","10060601"
"2","22003","100606012","3","10060601"
"12","94002","100606021","120000","10060602"
"2","22003","100606022","4","10060602"
"12","94002","100606031","120000","10060603"
"2","22003","100606032","4","10060603"
"12","94002","100606111","120000","10060611"
"2","22003","100606112","3","10060611"
"12","94002","100606121","160000","10060612"
"2","22003","100606122","4","10060612"
"12","94002","100707011","120000","10070701"
"2","22003","100707012","3","10070701"
"12","94002","100707021","120000","10070702"
"2","22003","100707022","4","10070702"
"12","94002","100707031","120000","10070703"
"2","22003","100707032","4","10070703"
"12","94002","100707111","120000","10070711"
"2","22003","100707112","3","10070711"
"12","94002","100707121","160000","10070712"
"2","22003","100707122","4","10070712"
"12","94002","100808011","120000","10080801"
"2","22003","100808012","3","10080801"
"12","94002","100808021","120000","10080802"
"2","22003","100808022","4","10080802"
"12","94002","100808031","120000","10080803"
"2","22003","100808032","4","10080803"
"12","94002","100808111","120000","10080811"
"2","22003","100808112","3","10080811"
"12","94002","100808121","160000","10080812"
"2","22003","100808122","4","10080812"
