d68bff9dd7bc567d23a1d934370830c2bdced6276a8aa9e4b56b3a5cab3da484,74100ca4a5b8af26ae7bb4e4da95f3bf8d0463a22d402411c8c8f94147121e6c,29d318b6bb67903099798d5dc3383dde3ea5c190effc57ecb454cd1b9b97ea8a,1f57b6a09f9e668ec56b9b58e0e9e136d2956377e675ba435010543f69f1d61d,3cee55c9e342f79766efaa4fc3e06a210c823eaf9c829a9f88623ec6d0ac6cbd
"100001011","94002","10000101","12","150000"
"100001012","22003","10000101","2","6"
"100001021","94002","10000102","12","500000"
"100001022","22003","10000102","2","6"
"100001031","94002","10000103","12","500000"
"100001032","140001","10000103","4","3"
"100001033","25001","10000103","2","3"
"100001041","94002","10000104","12","500000"
"100001042","22003","10000104","2","6"
"100001051","94002","10000105","12","500000"
"100001052","140001","10000105","4","4"
"100001053","25001","10000105","2","4"
"100001061","94002","10000106","12","500000"
"100001062","22003","10000106","2","6"
"100001071","94002","10000107","12","500000"
"100001072","140001","10000107","4","4"
"100001073","25001","10000107","2","4"
"100001081","94002","10000108","12","500000"
"100001082","22003","10000108","2","6"
"100001091","94002","10000109","12","500000"
"100001092","140001","10000109","4","4"
"100001093","25001","10000109","2","4"
"100505011","94002","10050501","12","120000"
"100505012","22003","10050501","2","3"
"100505021","94002","10050502","12","120000"
"100505022","22003","10050502","2","4"
"100505031","94002","10050503","12","120000"
"100505032","22003","10050503","2","4"
"100505111","94002","10050511","12","120000"
"100505112","22003","10050511","2","3"
"100505121","94002","10050512","12","160000"
"100505122","22003","10050512","2","4"
"100606011","94002","10060601","12","120000"
"100606012","22003","10060601","2","3"
"100606021","94002","10060602","12","120000"
"100606022","22003","10060602","2","4"
"100606031","94002","10060603","12","120000"
"100606032","22003","10060603","2","4"
"100606111","94002","10060611","12","120000"
"100606112","22003","10060611","2","3"
"100606121","94002","10060612","12","160000"
"100606122","22003","10060612","2","4"
"100707011","94002","10070701","12","120000"
"100707012","22003","10070701","2","3"
"100707021","94002","10070702","12","120000"
"100707022","22003","10070702","2","4"
"100707031","94002","10070703","12","120000"
"100707032","22003","10070703","2","4"
"100707111","94002","10070711","12","120000"
"100707112","22003","10070711","2","3"
"100707121","94002","10070712","12","160000"
"100707122","22003","10070712","2","4"
"100808011","94002","10080801","12","120000"
"100808012","22003","10080801","2","3"
"100808021","94002","10080802","12","120000"
"100808022","22003","10080802","2","4"
"100808031","94002","10080803","12","120000"
"100808032","22003","10080803","2","4"
"100808111","94002","10080811","12","120000"
"100808112","22003","10080811","2","3"
"100808121","94002","10080812","12","160000"
"100808122","22003","10080812","2","4"
