e3351e38e0423ed57d220753451c2cdc647f5d5af939fdd5222cee110d4ebe70,84842a5902375461e0faf483f231cbd4896ca786d30787e674d5631f1eb05e58,d5da5db3518dda12512f0bc0fe0ae95fd4f3f11a8f0a4e3a6133c66813b292e5,b0c90abec40f4d34c491a58577e63a24aef143fb2b11c2bce7c7036c522e8388,bfadc267d83a1c100818cb63cdbac45493e77a22a3a534145f8f9212834209b9,e7ab7275a250a026f632438e0a9afa5f636f7da69ab20a1168f22089ebecd322,4d36ce7e1e99b432e04be89e4068e3a7fb66c59eb108fa01190e1307ac8337d1,37a96f9150b8f0884510c86294f347ed9721133f0eae74e487f567b1b3f8c633,b6429870b475fc279afe4be7a80a964a48cbf4fc5ba255feebcd65550def73ca,751648d06ef8679d101697eb25b869525a598a59af8968fc5af6304bff5951ec
"0","0","10062103","0","0","7001","10062","1","0","卯月和凜的回憶"
"0","0","10062107","0","0","7002","10062","2","0","new generations的回憶"
"0","0","10062107","0","0","7003","10062","4","0","卯月與未央的回憶"
"0","0","10062111","0","0","7004","10062","6","0","美食殿堂的回憶"
"0","0","10062111","0","0","7005","10062","7","0","凜與未央的回憶"
"0","0","10062111","0","0","7006","10062","8","0","new generations的回憶"
"0","0","10062115","0","0","7007","10062","9","0","new generations與美食殿堂的回憶"
"0","0","10062115","0","0","7008","10062","10","0","美食殿堂的回憶"
"0","0","10063111","0","0","7009","10063","14","0","new generations與美食殿堂的回憶"
"0","0","10062107","0","0","7102","10062","3","0","new generations的回憶"
"0","0","10062107","0","0","7103","10062","5","0","美食殿堂的回憶"
"0","0","10062115","0","0","7104","10062","11","0","new generations與美食殿堂的回憶"
"0","0","10063111","0","0","7105","10063","12","0","new generations與美食殿堂的回憶"
"0","0","10063111","0","0","7106","10063","13","0","new generations與美食殿堂的回憶"
"7","2405","10062103","1","1","7201","10062","15","0",""
