b4c5850ad2b5bd5e4ee5d8182143dc3f771fe91e5d68b718d51aeccd7168b83a,6ef102867a90d9f007cefba490a8e44ddb0671472651dc54d6c1c351ab955c93,c027197944df0091f38f18dd0e52cfac1dca6c736a21a3ef66ea13ce71965202,5a2ee75148f0515e5749f5ff50331a69f2d8e3528c3dc1c6a9f544fe33bf510e,6a755273171243aeb527c7814181c329f42fada3a700c493f7aa83b151350a02,f852b44a124546f6285afa43cd4f19d24ffd113eac428c5175102a8f9fae19b3
"0","20025","0","1","1101","1"
"0","20025","0","1","1102","1"
"5042002","20025","1","0","1103","1"
"0","20025","0","1","1104","1"
"5042003","20025","1","0","1105","1"
"0","20025","0","1","1106","1"
"5042005","20025","2","0","1107","1"
"5042007","20025","1","0","1201","2"
"5042007","20025","2","0","1202","2"
"0","20025","0","1","1203","2"
"0","20025","0","1","1204","2"
"0","20025","0","0","1301","1"
