bf880c8387fcba9ad01cf0e6ac1e49393356ae8b8bc7c77951922d68e6b71cc0,a29382c10a23c3e1fbea74681474f1312a6bbfe26b9ef09d90533baf084ff871,3722a0caf3c3196c844e54f2ca4da0ee237cab05ec48ca2b09c915a0834d900d,c30822623ca9de7c49666f0a15730d4102be21ecbc96b77ae3cb3d891089939d,97c94b71758cf43e70de2c7967f49d006f3ae790e5f88a015ec4a12cf99ed892
"10201","2","1","3","1"
"10202","2","2","3","2"
"10203","2","3","3","3"
"10301","2","4","10","4"
"10302","2","5","10","5"
"10303","2","6","10","6"
"10304","2","7","10","7"
"10401","2","8","20","8"
"10402","2","9","20","9"
"10403","2","10","20","10"
"10404","2","11","20","11"
"10405","2","12","20","12"
"10406","2","13","20","13"
"10407","2","14","20","14"
"10408","2","15","20","15"
"10409","2","16","20","16"
"10701","1","17","3","1"
"10601","1","18","3","2"
"10602","1","19","3","3"
"10603","1","20","3","4"
"10604","1","21","3","5"
"11301","1","22","10","6"
"11302","1","23","10","7"
"11303","1","24","10","8"
"11401","1","25","20","9"
"11402","1","26","20","10"
"11403","1","27","20","11"
"11601","1","28","20","12"
"11602","1","29","20","13"
"11603","1","30","20","14"
"11604","1","31","20","15"
"11605","1","32","20","16"
"11606","1","33","20","17"
"11101","1","34","20","18"
"11102","1","35","20","19"
"11103","1","36","20","20"
"11701","1","37","20","21"
"11702","1","38","20","22"
"11703","1","39","20","23"
"10501","3","40","3","1"
"10502","3","41","3","2"
"10503","3","42","3","3"
"11201","3","43","10","4"
"10801","3","44","10","5"
"10802","3","45","10","6"
"10803","3","46","10","7"
"10804","3","47","10","8"
"10901","3","48","20","9"
"10902","3","49","20","10"
"10903","3","50","20","11"
"10904","3","51","20","12"
"11001","3","52","20","13"
"11002","3","53","20","14"
"11003","3","54","20","15"
"11501","3","55","20","16"
"11502","3","56","20","17"
"11503","3","57","20","18"
"11504","3","58","20","19"
"11505","3","59","20","20"
"11506","3","60","20","21"
