c30822623ca9de7c49666f0a15730d4102be21ecbc96b77ae3cb3d891089939d,bf880c8387fcba9ad01cf0e6ac1e49393356ae8b8bc7c77951922d68e6b71cc0,97c94b71758cf43e70de2c7967f49d006f3ae790e5f88a015ec4a12cf99ed892,a29382c10a23c3e1fbea74681474f1312a6bbfe26b9ef09d90533baf084ff871,3722a0caf3c3196c844e54f2ca4da0ee237cab05ec48ca2b09c915a0834d900d
"3","10201","1","2","1"
"3","10202","2","2","2"
"3","10203","3","2","3"
"10","10301","4","2","4"
"10","10302","5","2","5"
"10","10303","6","2","6"
"10","10304","7","2","7"
"20","10401","8","2","8"
"20","10402","9","2","9"
"20","10403","10","2","10"
"20","10404","11","2","11"
"20","10405","12","2","12"
"20","10406","13","2","13"
"20","10407","14","2","14"
"20","10408","15","2","15"
"20","10409","16","2","16"
"3","10701","1","1","17"
"3","10601","2","1","18"
"3","10602","3","1","19"
"3","10603","4","1","20"
"3","10604","5","1","21"
"10","11301","6","1","22"
"10","11302","7","1","23"
"10","11303","8","1","24"
"20","11401","9","1","25"
"20","11402","10","1","26"
"20","11403","11","1","27"
"20","11601","12","1","28"
"20","11602","13","1","29"
"20","11603","14","1","30"
"20","11604","15","1","31"
"20","11605","16","1","32"
"20","11606","17","1","33"
"20","11101","18","1","34"
"20","11102","19","1","35"
"20","11103","20","1","36"
"20","11701","21","1","37"
"20","11702","22","1","38"
"20","11703","23","1","39"
"3","10501","1","3","40"
"3","10502","2","3","41"
"3","10503","3","3","42"
"10","11201","4","3","43"
"10","10801","5","3","44"
"10","10802","6","3","45"
"10","10803","7","3","46"
"10","10804","8","3","47"
"20","10901","9","3","48"
"20","10902","10","3","49"
"20","10903","11","3","50"
"20","10904","12","3","51"
"20","11001","13","3","52"
"20","11002","14","3","53"
"20","11003","15","3","54"
"20","11501","16","3","55"
"20","11502","17","3","56"
"20","11503","18","3","57"
"20","11504","19","3","58"
"20","11505","20","3","59"
"20","11506","21","3","60"
