1634b9c9b02182065003e18c924fa48912c528d269579ffd4772497fc8c862cf,f7ec974dae8cefa2c486f021e9015cbd5cb7ddab0bde95b6e46522d4e2935206,f974a9970bfbbf9c0830ebe71f17fb0a89168e21dc3ff8bd55f683a60c9451d6
"2","1","1"
"1","2","2"
"3","3","3"
"2","4","4"
"2","5","5"
"2","6","6"
"2","7","7"
"2","8","8"
"2","9","9"
"2","10","10"
"2","11","11"
"2","12","12"
"1","13","13"
"1","14","14"
"1","15","15"
"1","16","16"
"1","17","17"
"1","18","18"
"2","19","19"
"4","20","20"
"2","21","21"
"2","22","22"
"5","23","23"
"5","24","24"
"5","25","25"
"6","26","26"
"6","27","27"
"6","28","28"
"7","29","29"
"8","30","30"
"8","31","31"
"9","32","32"
"9","33","33"
"10","34","34"
"10","35","35"
"11","36","36"
"11","37","37"
"12","38","38"
"12","39","39"
