49ad5bdfe2aa69f37d86293b6e9b30024a80cab5d7dbc42a3cf328028aac54fa,0b8ce4d2e28bfdd0f9653976fe2070182aa0dcc6333e79ecefbe556bf3214fd7,816c902e404feee1127bb492e6aa66fc5e2e1f8437d5da7b3a15caedc4fe45b3,4f23902b7f6afa8337479b95d8a1e0d02b9314c3999968238a7987047e6ea732,a629ad58c75b836168b793e762f3e4e5ec15195cba272c08b36c0ba7da3dbe6f,e7aae36b256821025eec90e0ff68794358c5650c39e0b86bbf8a4e09128f4c59,3256ac2fbb45968768c3bfffc2fcf969c0f208dd9c32bec5baa84846e120997d,7851d727f97adcebc6344821915e16774b2a3b1216b379137486b2f864530dd5,e7de492a10e5fefa2905954a6948214793310fcd3c328419a1f2d3f08f9dac58,0971c83293359a2d49c6b8f6c4cdf6ce89f88a2946a2ae0a2bc9eb78c73935a4,6d15e2bb5d86523839429f43e93aac39045562028ee2420a93fdd420fbaf0d55,15d7d1f3724bd9a1e18fb23e5d0e4a697e2d49506f44f6d4ca17273a8129a4a2,ead00a13bb357a1a435af5e0c103fcd2c6549d0d840082eb4de64f803b93daac,017bfd536fa277a9b8accc2954449416ab1efa7ce15c07f0c0c6bb3d9dba800e,024b7dd8d22d8344bba1cb35d36bfea7026bdb00a7d7ba370fe086a77036df24,f73ece9f4aad27a3ea3ccde4980a21c54ed394e2bcf3034a85c8db7a54f4090e,04083086e4b4f0e7b9dff8ee4e9548dd7d664c63ebb2ab0e85e2b9dcc8dde709,b53e4340fb6ba9bf0fb0e8927a84bc4abf36b508b1e430f008ed66fe904ba6ef
"20000","0","5000","12","0","0","0","0","0","0","0","0","1","94002","0","分數累積獲得 20000 分","0","0"
"40000","0","10000","12","0","0","0","0","0","0","0","0","2","94002","0","分數累積獲得 40000 分","0","0"
"60000","0","15000","12","0","0","0","0","0","0","0","0","3","94002","0","分數累積獲得 60000 分","0","0"
"80000","0","20000","12","0","0","0","0","0","0","0","0","4","94002","0","分數累積獲得 80000 分","0","0"
"100000","0","50","8","2","0","0","0","0","0","0","23001","5","91002","0","分數累積獲得 100000 分","0","5"
"120000","0","25000","12","0","0","0","0","0","0","0","0","6","94002","0","分數累積獲得 120000 分","0","0"
"140000","0","30000","12","0","0","0","0","0","0","0","0","7","94002","0","分數累積獲得 140000 分","0","0"
"160000","0","35000","12","0","0","0","0","0","0","0","0","8","94002","0","分數累積獲得 160000 分","0","0"
"180000","0","40000","12","0","0","0","0","0","0","0","0","9","94002","0","分數累積獲得 180000 分","0","0"
"200000","0","50","8","2","0","0","0","0","0","0","23001","10","91002","0","分數累積獲得 200000 分","0","5"
"220000","0","55000","12","0","0","0","0","0","0","0","0","11","94002","0","分數累積獲得 220000 分","0","0"
"240000","0","35000","12","0","0","0","0","0","0","0","0","12","94002","0","分數累積獲得 240000 分","0","0"
"260000","0","40000","12","0","0","0","0","0","0","0","0","13","94002","0","分數累積獲得 260000 分","0","0"
"280000","0","45000","12","0","0","0","0","0","0","0","0","14","94002","0","分數累積獲得 280000 分","0","0"
"300000","23001","1","15","8","0","2","0","10","0","0","91002","15","11001021","0","分數累積獲得 300000 分","0","150"
