5c0906b3b35c6e261d7d718c6b6f5c79d5a502bb9d4e9dfafab6cc7346334ab9,c4b1cb2ad5792626395127543bd4c9fd38e60b67cc89bc42b11023516af071bb,f6126a6c32a6087e498a84313c7496d4a19ab2bbd344ae025e40880e3399819e,287d067cda3ce07ba88535cf806d80136e5b0358385c7b3f133e85a0739c200b,e9f4fd2ead5e03624a7a130c4a507502ba8746625082237b57fd8e30a78614fe,d6f8748cc19459c1ddbdd83691736125228d0abd2e9badb42046bf2392ac1a50,0996cbd71f57a6e95876eda31c781a96014e0890d4536513d06373091cca0d94
"31001","0.8","0.8","300900","-10","0","100721"
"31002","0.7","0.7","302300","-40","0","100722"
"31003","0.8","0.8","302400","-40","0","100261"
"31004","0.9","0.9","302500","-20","0","100283"
"31005","0.9","0.9","301700","-10","0","101611"
"31006","0.7","0.7","310100","-40","0","102174"
"31007","0.3","0.3","399800","-60","-80","102751"
"31008","0.9","0.9","314901","20","-20","103001"
"31009","0.7","0.7","318405","-110","30","103232"
"31010","1","1","320100","-10","0","103371"
