600d8866707675b3231bdc0ed7ad777fc57cba3ab6ce88ac8ceb265cb8037be2,4968be2285e3f368b62da6156b936bd679cc0d87fa6b9bc02badcc992ffb7d95,24eb46cbce4011b6cd6766afb35d341929516edf5a47f1be1a83de6edf1cce0c,7f577c35775d5e741628cf2ede611198d59f53d17750537aece1fee0b7f34737,d0ed6eb491a56ad9cb64ea69432dda7e375d49f6e04176f14cead54e6dfbcf0f,8230e3acea565ef706035b17e80b749bb007bba21f9a00bd5664ce1f022949d5,371eb10bf163746fdeb1e0618328ca96513af5dc8934c15ec4c1b78b824ea16d,11d84fbaf22aa9790d3861be77c7e2e878cf9eb7d067cfbd783131ab049aba10,62761071c66b07d9d7fd6a2e472b3f14427134b0ea62a263e13a739b95a857c4,18bea6260adfef9416ccef4542c3c13f757e9547b83b8031893b0bc17486a317,43d3a533b865b28b5985b7e3d4e7255d8fb46a5239f46202335cf630b1e59984,ee466df6c8efa8eb94fae328f8eed6e0f9fd0233634d6e78a957774ebe9c61f6
"0","0","1","全目標的自選印記","0","可從全目標角色中選擇1位成為夥伴。","0","99999999","1","11000000","0","0"
"0","0","1","公主祭典的自選印記","0","可從公主祭典的角色中選擇1位成為夥伴。","0","3600","1","11000999","0","999"
"0","0","1","攻擊者職階的自選印記","0","可從攻擊者職階的角色中選擇1位成為夥伴。","1","2800","1","11001000","0","0"
"0","0","1","破防者職階的自選印記","0","可從破防者職階的角色中選擇1位成為夥伴。","2","2800","1","11002000","0","0"
"0","0","1","增益者職階的自選印記","0","可從增益者職階的角色中選擇1位成為夥伴。","3","2800","1","11003000","0","0"
"0","0","1","減益者職階的自選印記","0","可從減益者職階的角色中選擇1位成為夥伴。","4","2800","1","11004000","0","0"
"0","0","1","增幅者職階的自選印記","0","可從增幅者職階的角色中選擇1位成為夥伴。","5","2800","1","11005000","0","0"
"0","0","1","治療者職階的自選印記","0","可從治療者職階的角色中選擇1位成為夥伴。","6","2800","1","11006000","0","0"
"0","0","1","掩護者職階的自選印記","0","可從掩護者職階的角色中選擇1位成為夥伴。","7","2800","1","11007000","0","0"
"0","0","1","妨礙者職階的自選印記","0","可從妨礙者職階的角色中選擇1位成為夥伴。","8","2800","1","11008000","0","0"
"0","1","3","【美食殿堂】的自選印記","1","可從【美食殿堂】的角色中選擇3位成為夥伴。","0","99999999","1","13000001","0","0"
"0","2","3","【破曉之星】的自選印記","1","可從【破曉之星】的角色中選擇3位成為夥伴。","0","99999999","1","13000002","0","0"
"0","3","3","【拉比林斯】的自選印記","1","可從【拉比林斯】的角色中選擇3位成為夥伴。","0","99999999","1","13000003","0","0"
"0","8","3","【王宮騎士團】的自選印記","1","可從【王宮騎士團】的角色中選擇3位成為夥伴。","0","99999999","1","13000008","0","0"
"0","9","3","【咲戀育幼院】的自選印記","1","可從【咲戀育幼院】的角色中選擇3位成為夥伴。","0","99999999","1","13000009","0","0"
"0","0","1","戰鬥獎勵隨機印記","0","","0","99999999","2","21000000","0","0"
"0","0","1","全目標的隨機印記","0","可從全目標角色中隨機獲得1位夥伴。","0","99999999","3","31000000","0","0"
"0","0","1","公主祭典的隨機印記","0","可從公主祭典的角色中隨機獲得1位夥伴。","0","1800","3","31000999","0","999"
"0","0","1","攻擊者職階的隨機印記","0","可從攻擊者職階的角色中隨機獲得1位夥伴。","1","1200","3","31001000","0","0"
"0","0","1","破防者職階的隨機印記","0","可從破防者職階的角色中隨機獲得1位夥伴。","2","1200","3","31002000","0","0"
"0","0","1","增益者職階的隨機印記","0","可從增益者職階的角色中隨機獲得1位夥伴。","3","1200","3","31003000","0","0"
"0","0","1","減益者職階的隨機印記","0","可從減益者職階的角色中隨機獲得1位夥伴。","4","1200","3","31004000","0","0"
"0","0","1","增幅者職階的隨機印記","0","可從增幅者職階的角色中隨機獲得1位夥伴。","5","1200","3","31005000","0","0"
"0","0","1","治療者職階的隨機印記","0","可從治療者職階的角色中隨機獲得1位夥伴。","6","1200","3","31006000","0","0"
"0","0","1","掩護者職階的隨機印記","0","可從掩護者職階的角色中隨機獲得1位夥伴。","7","1200","3","31007000","0","0"
"0","0","1","妨礙者職階的隨機印記","0","可從妨礙者職階的角色中隨機獲得1位夥伴。","8","1200","3","31008000","0","0"
"0","0","1","拉比林斯達印記","0","可讓拉比林斯達成為夥伴。","0","99999999","3","31040005","0","40005"
"0","0","1","純印記","0","可讓純成為夥伴。","0","99999999","3","31040006","0","40006"
"1","0","1","火屬性的隨機印記","0","可從火屬性角色中隨機獲得1位夥伴。","0","1200","3","31100000","0","0"
"2","0","1","水屬性的隨機印記","0","可從水屬性角色中隨機獲得1位夥伴。","0","1200","3","31200000","0","0"
"3","0","1","風屬性的隨機印記","0","可從風屬性角色中隨機獲得1位夥伴。","0","1200","3","31300000","0","0"
"4","0","1","光屬性的隨機印記","0","可從光屬性角色中隨機獲得1位夥伴。","0","1200","3","31400000","0","0"
"5","0","1","闇屬性的隨機印記","0","可從闇屬性角色中隨機獲得1位夥伴。","0","1200","3","31500000","0","0"
