0c9d67cbd3721b6feacd843da289c03d320ce2572905b0a923fe51899f9a8ae3,96917bc14dfe69c487ba7eb2beab3e3e158026bfe40507baec9b5b88265b86e0,ca5c9d3492573acb47c8c2dbf744f527bbf13abfb4a9bb6f464d3cc37e896c78,866ddf53e9a50cf0abf28a7b3e90050c60017b9f331768ff882c0a6a0aa5e45d,6a5b220f151b6f74b8d96fda3a9b1db513f07e3aec15b2be6ca1664121ae0315,fe6f63c57c84500b70bdb46592bc1153506a16bdf505eb09d66a4a28398a890d,99bbb04968983acf535b04d97d1327f2a8bad6136c0d547add9e4c124ff84eba,9d23f152a3b077025a98d45eadc3298152c6f518e35dde5c06a3497280bb9ee9,335c703b1f7487ebdd3fbda4e0fcc907b1d5ed06ca68430e1f7585ba5a49e938,4e9166743c802917ed06a8f2ca26dc67c41d269a414122cccc398f50a4d56752,4597f0569b8cbccfcfd6404e3dbfe273463d98079ff7b77489b8431389a333fa,75425dcec51b9f2e8e2eb1b86d018b1c3b15477cb2be8578863cde494c6aaaf1,5ab0403515875a96a4c7f3d5bd482fd83e6696f7aeb1790d8b92df8c56b1d4e5,a62ae1b9e5a8d072824b6ac9aaa2cba1fbc47b179be6ab642ca7ec0124114675,d6a638ca86c9bde5a072874e2479983371ee14bb8d9ca6e4add35e70a821461a,91ddc8858ccc405deace32b4acef3da02c4349ca7c5106c5804934adfe1aa3f3,fffebdbae723e3f1b514c8a19e644e5e82600b3a236f6db79805c5ce970b7727,445c473459eba09af031d2989fcca23e4c77051f88b4c739ee804d40b1d1036e,50bbdc5657d6c61ddf99f1217dd74293a56fbbbe1e31b8c9a37827f139cd130c,6db1c8325f127f876cf976c66524e22b759f6053ac2db10cedb2a738b80ccdf1,3099706506278057818bcf83189c7ba461932d4ae164d0c44e82900617bdc1a9,c89cca81716442fee48079f8d38193eaa9917060cf685e0586b4a97c6c28b11f
"0","0","0","0","0","1","0","0","0","0","0","0","102282","122282","0","1","0","0","102281","0","2000","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102311","122311","0","1","0","0","101281","0","1500","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102312","122312","0","1","0","0","102311","0","2000","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102341","122341","0","1","0","0","101581","0","1500","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102342","122342","0","1","0","0","102341","0","2000","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102371","122371","0","1","0","0","101371","0","1500","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102372","122372","0","1","0","0","102371","0","2000","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102401","122401","0","1","0","0","101401","0","2000","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102431","122431","0","1","0","0","101431","0","1500","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102432","122432","0","1","0","0","102431","0","2000","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102491","122491","0","1","0","0","101521","0","1500","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102493","122493","0","1","0","0","102311","0","1500","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102521","122521","0","1","0","0","102251","0","2000","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102613","122613","0","1","0","0","101611","0","2000","0"
"0","0","0","0","0","1","0","0","0","0","0","0","102614","122614","0","1","0","0","102612","0","2000","0"
"0","0","0","0","0","2","0","0","0","0","0","0","103011","113011","0","0","0","0","0","0","5000","0"
"0","0","0","0","0","2","0","0","0","0","0","0","103012","113012","0","0","0","0","0","0","7000","0"
"0","0","0","0","0","2","0","0","0","0","0","0","103013","113013","0","0","0","0","0","0","10000","0"
"0","0","0","0","0","3","0","0","0","0","0","0","103041","123041","0","1","0","0","103071","0","7000","0"
"0","0","0","0","0","3","0","0","0","0","0","0","103042","123042","0","1","0","0","103012","0","10000","0"
"0","0","0","0","0","2","0","0","0","0","0","0","103071","113071","0","0","0","0","0","0","5000","0"
"0","0","0","0","0","3","0","0","0","0","0","0","103072","123072","0","1","0","0","103552","0","10000","0"
"0","0","0","0","0","2","0","0","0","0","0","0","103101","113101","0","0","0","0","0","0","7000","0"
"0","0","0","0","0","2","0","0","0","0","0","0","103131","113131","0","0","0","0","0","0","7000","0"
"0","0","0","0","0","3","0","0","0","0","0","0","103132","123132","0","1","0","0","103131","0","10000","0"
"0","0","0","0","0","3","0","0","0","0","0","0","103161","123161","0","1","0","0","102162","0","5000","0"
