6b17da1aa651cf0716826ba5766c14db523eeca5b3bc9709c46a051de877816b,2377d6a091099d3f1a5d7c1231288b330df8a619e0e1eb9eba9d26bcb282cd4e,02b1182b812199aeeca7d7c327686427486a09ca62d45c811c1894e8790b612d,9fe573a36bbd3c947fde4fbb85457f672837d0eb5a6e0eceec015ef331df8ae4,a8e515e7eb5fe07f56341a4a8d75a75b317f3aee3358495f7741aefcd7b4c9b3
"53001","1","10001001","22","10001"
"53004","1","10001002","22","10001"
"53007","1","10001003","22","10001"
"53010","1","10001004","22","10001"
"53013","1","10001005","22","10001"
"53016","1","10001006","22","10001"
"53019","1","10001007","22","10001"
"53022","1","10001008","22","10001"
"53002","1","10001009","22","10001"
"53005","1","10001010","22","10001"
"53008","1","10001011","22","10001"
"53011","1","10001012","22","10001"
"53014","1","10001013","22","10001"
"53017","1","10001014","22","10001"
"53020","1","10001015","22","10001"
"53023","1","10001016","22","10001"
"53001","1","10002001","22","10002"
"53002","1","10002002","22","10002"
"53005","1","10002003","22","10002"
"53008","1","10002004","22","10002"
"53011","1","10002005","22","10002"
"53014","1","10002006","22","10002"
"53017","1","10002007","22","10002"
"53020","1","10002008","22","10002"
"53023","1","10002009","22","10002"
"53003","1","10002010","22","10002"
"53006","1","10002011","22","10002"
"53009","1","10002012","22","10002"
"53012","1","10002013","22","10002"
"53015","1","10002014","22","10002"
"53018","1","10002015","22","10002"
"53021","1","10002016","22","10002"
"53024","1","10002017","22","10002"
"53002","1","10003001","22","10003"
"53002","2","10003002","22","10003"
"53003","1","10003003","22","10003"
"53003","2","10003004","22","10003"
"53003","3","10003005","22","10003"
"53006","1","10003006","22","10003"
"53009","1","10003007","22","10003"
"53012","1","10003008","22","10003"
"53015","1","10003009","22","10003"
"53018","1","10003010","22","10003"
"53021","1","10003011","22","10003"
"53024","1","10003012","22","10003"
"53006","2","10003013","22","10003"
"53009","2","10003014","22","10003"
"53012","2","10003015","22","10003"
"53015","2","10003016","22","10003"
"53018","2","10003017","22","10003"
"53021","2","10003018","22","10003"
"53024","2","10003019","22","10003"
"53006","3","10003020","22","10003"
"53009","3","10003021","22","10003"
"53012","3","10003022","22","10003"
"53015","3","10003023","22","10003"
"53018","3","10003024","22","10003"
"53021","3","10003025","22","10003"
"53024","3","10003026","22","10003"
