0def7936dcb991c21e02cec082d90fa0bda1d9e66b09a68ed91107a8f436bcd1,800c883815b9dc5d8c77120b919688bd64470cce86fb8982318b349dbf74426c,7ef063700ed4c28e0084a99747876f8a0e7170b49c95fea12b6f66f3479a998e,9184db0d2b3f5a1017dd476250ec30ef64eb75b0901d255bf7db402cc44651b1,49c929c492e57a0f9b75e0fb71043c4db67672aab2fc4139ae21a01f0398bc20
"1037","1","1025","1048","1045"
"1062","2","1003","1004","1006"
"1029","3","1003","1007","1006"
"1025","4","1047","1045","1062"
"1003","5","1043","1013","1022"
"1048","6","1006","1004","1019"
"1037","7","1062","1033","1003"
"1050","8","1056","1053","1059"
"1030","9","1001","1011","1034"
"1046","10","1063","1023","1026"
"1014","11","1020","1038","1044"
"1008","12","1017","1049","1040"
"1017","13","1023","1044","1020"
"1001","14","1017","1038","1020"
"1036","15","1030","1048","1008"
"1004","16","1044","1038","1011"
"1005","17","1043","1011","1022"
"1042","18","1046","1016","1047"
"1041","19","1014","1028","1063"
"1061","20","1052","1055","1058"
"1031","21","1025","1001","1024"
"1064","22","1024","1063","1005"
"1066","23","1040","1000","1044"
"1076","24","1000","1038","1010"
"1077","25","1003","1019","1043"
"1071","26","1070","1069","1068"
"1089","27","1092","1091","1090"
"1097","28","1098","1100","1099"
"1101","29","1102","1104","1103"
"1105","30","1106","1108","1107"
"1083","31","1012","1006","1021"
"1086","32","1087","1085","1084"
"1093","33","1094","1095","1096"
