47ecee255e567cc6342ffeabcb7829d4f911e92429849e5bf1096dcd17f29a4e,9df30375e245a3763443d59aa9e9a460d62fda31636154cada70819df8f5fcc8,b817cd3c745ad72e72a81ea96dc13b9561cc28a78bf359d07da90be2f9a86330,8f83f94234b6f8f8d28893beb4b54efead86bbde0d051586e341b51af71dca24,9cfc85ba3b5a8c64d7f5a26ff10094e9b4a67914761bea68ef4d340e25ab24fa,d0c1f6eb24c9a7700e3041e7aa1608c25a37ca5c432f2e079601f05d7672f4b1,85bed0997e97ea3451a7a63e3638fd298dbcba5363042ce19c6bc96583304435,0771f117d075d012f9e46b68123e741384201ab5b1196ff2df05e4ad36554ea3,d8d325e25ede0dc893acf1e4df8f7e8d8d8c86d686236f2c44c8f8574d761839,6186c58f05bcdc386b2607455dacf0786ee052da23759b473a327317dc3f675e,64b6096ef13f510e78d913cc2a8301cdfe8e8233aead7e8a2a5ed006849f3612,2352df62dd7679fd8ae9065cd4a29aef19bb88a3be65d31d5c9ee46799b71a9f,bfeb3b6c604ced22b065ea05c8f047f6fc43671649311770d469f5521841ada8,175d04644379059040f75b20a476d6a825809fadb6a00f8de4c37fb3a21ad433,565859029ac8d82ea094b4928eb736be4a1ad65c257dedb36350e1e7f3808cb6,ff7a160a7c2b536e0aa9bf42e08246b7ca4e3a36c1ea2c293263378e6dfd98df,930e3a9aaae2da2468266ab9ebfbeeb512ddbf853e8cb0ece9798cfbf9061abe
"1","0","貪吃佩可的\n吃飽飽雙倍飯糰","2","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","1","0","2","貪吃佩可用心捏製的特大飯糰。\n米飯似乎體現了生命的能量。\n在一般人能吃飽的兩倍量的米飯裡，包進了最高級的內餡，\n是一道很有【美食殿堂】風格的料理。","52001","10","貪吃佩可的吃飽飽雙倍飯糰","500","1","獲得500里程。","1","51001"
"1","0","可可蘿的\n好好休息沙拉","2","下次投擲的骰子一定會丟出「1」。並且跳過下次的回合數計算。","3","0","30001","可可蘿為大家用心製作的沙拉。\n營養均衡且飽足感十足，\n除了味道外也很注重外觀。\n能夠提供冒險所需活力，一道充滿愛的料理。","52002","10","可可蘿的好好休息沙拉","500","1","獲得500里程。","2","51002"
"1","0","凱留的\n絕妙五星漢堡","1","下次投擲的骰子一定會丟出「5」。","2","0","20004","夾入凱留自己想吃的食材的漢堡。\n麵包與肉類的香氣令人食指大動。\n由非魔物的素材製作，凱留相信這是一道\n在冒險途中吃會有點太豪華的料理。","52003","10","凱留的絕妙五星漢堡","500","1","獲得1個未鑑定的平凡寶物。","1","51003"
"1","0","莉莉的踏實\n邁進柏餅","4","在投擲3次骰子之前，投擲的骰子一定會丟出「4」。","2","0","20001","在莉莉製作的柏餅中……做成功的、\n經過新挑選的柏餅。除了使用最高級的素材，\n還因為做失敗的柏餅被莉莉自己吃掉了，\n所以光看單價變成了非常貴的高級品。","52004","10","莉莉的踏實邁進柏餅","500","3","獲得800里程。","3","51004"
"3","0","可璃亞的\n多彩多姿便當","1","讓隨機活動出現。","4","0","1","可璃亞一大早就起床準備好的冒險用的便當。\n雖然裡面的配菜都非常好吃，但是因為\n她不告訴大家裡面裝了什麼，所以那變成\n打開蓋子時的驚喜了。","52005","11","可璃亞的多彩多姿便當","500","0","下次擲骰的時候，多前進1格。","3","51005"
"1","0","普蕾西亞的貪吃鬼\n噗噗肉包","4","下次投擲的骰子只會丟出「4、5、6」。","2","0","20002","塞滿了普蕾西亞精心挑選的內餡的肉包。\n根據她的希望，這肉包的尺寸變成\n一般肉包的數倍大。味道跟量都滿分，一定會讓人\n很幸福喔♪以上是負責料理的可璃亞說的話。","52006","10","普蕾西亞的貪吃鬼噗噗肉包","500","1","獲得800里程。","1","51006"
"1","0","嘉夜與祈梨的\n食慾加倍沙威瑪","3","下次投擲的骰子一定會丟出「3」，再下一次投擲的骰子一定會丟出「6」。","7","0","1","嘉夜跟祈梨讓人拿來當便當的沙威瑪。\n有著祈梨常去的店的強悍風味，可以讓\n身為幫派成員的幹勁變成三倍，組成搭檔會變成六倍，\n似乎會湧現出可以實現下剋上的力量……的樣子。","52007","10","嘉夜與祈梨的食慾加倍沙威瑪","500","2","獲得1張抽獎券。","1","51007"
"2","1","珠希的彩虹\n招財鯛魚燒","2","下次於里程格停下來之際，\n所獲得的里程將提升200%。","5","0","200","珠希他們帶進「吉歐‧提格尼亞」的鯛魚燒得概念，\n跟當地的文化融合之後誕生的經過大幅度改造的甜點。\n它那發出彩虹光輝的甜味，\n據說比蘭德索爾的鯛魚燒還甜好幾倍。","52008","10","珠希的彩虹招財鯛魚燒","500","0","獲得500里程。","2","51008"
"1","0","克蘿茜的\n全力馬鈴薯沙拉","1","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「8」，再下一次投擲的骰子一定會丟出「1」。","7","1","1","克蘿茜用全力製作的馬鈴薯沙拉。\n她本來是要做鹹味薄餅，但是因為不小心\n把材料捏扁了，經過修正軌道後完成的料理。\n先不論製作的經緯，它吃起來非常美味。","52009","10","克蘿茜的全力馬鈴薯沙拉","500","2","獲得1個未鑑定的平凡寶物。","2","51009"
"2","2","綾音與胡桃的\n戶外野餐組","2","地圖上的「里程格」、「寶物格」、「商店格」的\nRANK提升1。\n效果將持續到停在對象格上2次之後為止。","6","0","1","綾音跟胡桃準備的特別的野餐籃。\n裡面的塞滿了跟夥伴們一起冒險的希望的美味料理們，\n能讓人覺得路上發生的各種事情，\n都像是高了1個Rank的活動一樣。","52010","10","綾音與胡桃的戶外野餐組","500","0","獲得500里程。","3","51010"
