727b90becbd382e1cc97fc08cc00c67a8aa5cecbdbdc6e547b349b4ac454d268,23499001232a2678f9bdedf813b5cca3807ff4ea6ea8afe671e0c442b2024e87,04f082592d99e4a126278fa58837776fa18baab6a23ef971c1ce8b1ebd11843d,7fd99e77483f1b1f03db68053f254f74cb00788f030b149e98baece097ac0a0b,23ebab0471ec28c6b0ccb066edf16c17dc52baa3b1ada44a95a900ce670204a7,fcabfeae8d7fcad108def98159aa578213e3662abcbab6949730d03623f52bba,413136de8181f5cead84c5743244be487ee5ae9f7938d39ae884755569f1a440
"71004025","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","1","107601","10004","討伐BOSS解放！\n還有{0}隻","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]"
"71005025","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","2","108001","10005","討伐BOSS解放！\n還有{0}隻","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]"
"71007031","[3C404E]討伐NORMAL BOSS解放！","3","108201","10007","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71009031","[3C404E]討伐NORMAL BOSS解放！","4","108501","10009","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71010031","[3C404E]討伐NORMAL BOSS解放！","5","108901","10010","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71011031","[3C404E]討伐NORMAL BOSS解放！","6","109001","10011","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71013031","[3C404E]討伐NORMAL BOSS解放！","7","109301","10013","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71017031","[3C404E]討伐NORMAL BOSS解放！","8","109801","10017","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71019031","[3C404E]討伐NORMAL BOSS解放！","9","110101","10019","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72004021","[3C404E]討伐NORMAL BOSS解放！","10","107601","20004","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71021035","[3C404E]討伐NORMAL BOSS解放！","11","110501","10021","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"72005021","[3C404E]討伐NORMAL BOSS解放！","12","108001","20005","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
"71025031","[3C404E]討伐NORMAL BOSS解放！","13","111201","10025","討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]"
