7fd99e77483f1b1f03db68053f254f74cb00788f030b149e98baece097ac0a0b,23499001232a2678f9bdedf813b5cca3807ff4ea6ea8afe671e0c442b2024e87,fcabfeae8d7fcad108def98159aa578213e3662abcbab6949730d03623f52bba,727b90becbd382e1cc97fc08cc00c67a8aa5cecbdbdc6e547b349b4ac454d268,413136de8181f5cead84c5743244be487ee5ae9f7938d39ae884755569f1a440,04f082592d99e4a126278fa58837776fa18baab6a23ef971c1ce8b1ebd11843d,23ebab0471ec28c6b0ccb066edf16c17dc52baa3b1ada44a95a900ce670204a7
"107601","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","討伐BOSS解放！\n還有{0}隻","71004025","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","1","10004"
"108001","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","討伐BOSS解放！\n還有{0}隻","71005025","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","2","10005"
"108201","[3C404E]討伐NORMAL BOSS解放！","討伐NORMAL BOSS解放！","71007031","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","3","10007"
"108501","[3C404E]討伐NORMAL BOSS解放！","討伐NORMAL BOSS解放！","71009031","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","4","10009"
"108901","[3C404E]討伐NORMAL BOSS解放！","討伐NORMAL BOSS解放！","71010031","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","5","10010"
"109001","[3C404E]討伐NORMAL BOSS解放！","討伐NORMAL BOSS解放！","71011031","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","6","10011"
"109301","[3C404E]討伐NORMAL BOSS解放！","討伐NORMAL BOSS解放！","71013031","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","7","10013"
"109801","[3C404E]討伐NORMAL BOSS解放！","討伐NORMAL BOSS解放！","71017031","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","8","10017"
"110101","[3C404E]討伐NORMAL BOSS解放！","討伐NORMAL BOSS解放！","71019031","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","9","10019"
"107601","[3C404E]討伐NORMAL BOSS解放！","討伐NORMAL BOSS解放！","72004021","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","10","20004"
