834aab46f5dc45eaf3e67b978129834521205a7630074398bcbd8635bdf96cc1,e820b2ffb246dddc3bec5dfc808a7a6e2b034fd391d948796c5fa932b990830f,601c31706992839f78455d0b37dcd4574467a102bed1ad803d6b3ddead228f4b,db3c666602bd6b6cc5b8236bd81c2f15d3a14de6d9bb533d677e94e2159498cd,2820f74c2f6078f7cf4a9fd5a90f749465de7506b68efdfc5f6e86a93ac8b34b
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000001","500000101","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000001","500000102","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000001","500000103","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000001","500000104","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000001","500000105","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000001","500000106","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000002","500000201","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000002","500000202","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000002","500000203","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000002","500000204","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000002","500000205","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000002","500000206","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000003","500000301","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000003","500000302","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000003","500000303","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000003","500000304","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000003","500000305","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000003","500000306","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000004","500000401","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000004","500000402","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000004","500000403","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000004","500000404","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000004","500000405","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000004","500000406","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000005","500000501","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000005","500000502","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000005","500000503","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000005","500000504","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000005","500000505","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000005","500000506","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000006","500000601","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000006","500000602","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000006","500000603","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000006","500000604","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000006","500000605","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000006","500000606","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000007","500000701","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000007","500000702","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000007","500000703","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000007","500000704","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000007","500000705","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000007","500000706","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000008","500000801","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000008","500000802","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000008","500000803","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000008","500000804","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000008","500000805","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000008","500000806","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000009","500000901","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000009","500000902","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000009","500000903","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000009","500000904","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000009","500000905","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000009","500000906","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000010","500001001","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000010","500001002","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000010","500001003","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000010","500001004","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000010","500001005","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000010","500001006","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000011","500001101","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000011","500001102","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000011","500001103","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000011","500001104","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000011","500001105","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","75000011","500001106","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000012","500001201","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000012","500001202","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000012","500001203","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000012","500001204","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000012","500001205","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000012","500001206","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010001","601000101","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010001","601000102","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010001","601000103","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010001","601000104","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010001","601000105","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","76010001","601000106","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010002","601000201","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010002","601000202","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010002","601000203","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010002","601000204","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010002","601000205","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","76010002","601000206","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010003","601000301","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010003","601000302","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010003","601000303","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010003","601000304","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010003","601000305","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","76010003","601000306","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010004","601000401","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010004","601000402","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010004","601000403","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010004","601000404","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010004","601000405","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","76010004","601000406","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010005","601000501","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010005","601000502","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010005","601000503","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76010005","601000504","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","76010005","601000505","降低HP吸收","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","76010005","601000506","減少降低TP","boss_tp_down_cut"
"編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","76010006","601000601","全屬性獎勵特大幅度提升","33"
"戰鬥中，發動「戰鬥中提升持續物理攻擊力」、「戰鬥中提升持續魔法攻擊力」效果。","76010006","601000602","危險領域","25"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","76010006","601000603","傷害值衰減","18"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","76010006","601000604","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","76010006","601000605","提升物理防禦力（不可降低）","boss_def_lower_limit"
