6eb2c5f9f4973e4c249047303252c863b8c2086293ebbc37810f679607d2b652,ac1522070b0a309ab337346e73ec370030fc0ee21b334b456943497ae8321e3d,67e0e47fb0f524ee57cf76d15ab70386b8ef2dcaf5b0ae2b4c3ba6c4e49295a9,2bb78f91b3a29a8b03e2eb82ed89f33ee5c9f06ce2a81bbaad68fce31118911a,2f9ea28bddf1d9e2dc495a9937caf2b38ef0f96b5226cf4e3fb651b2e2651c2f
"0","1001","1","0","1"
"0","1002","2","0","1"
"0","1003","3","0","1"
"0","1004","4","0","1"
"0","2001","1","0","2"
"0","2002","2","0","2"
"0","2003","3","0","2"
"0","2004","4","0","2"
"0","2101","1","1","2"
"0","2102","2","1","2"
"0","2103","3","1","2"
"0","2104","4","1","2"
"10001","2111","11","2","2"
"10001","2112","12","2","2"
"10001","2113","13","2","2"
"0","3001","1","0","3"
"0","3002","2","0","3"
"0","3003","3","0","3"
"0","3004","4","0","3"
"0","4001","1","0","4"
"0","4002","2","0","4"
"0","4003","3","0","4"
"0","4004","4","0","4"
"0","4005","100","0","4"
"0","5010","10101","1","5"
"1","5020","10201","2","5"
"2","5021","10202","2","5"
"0","5030","10301","3","5"
"1","5031","10301","3","5"
"0","5040","10302","4","5"
"0","5050","10303","5","5"
"0","5060","10304","6","5"
"0","6001","90001","1","6"
"0","6002","90001","2","6"
"1","6003","90001","2","6"
"0","6006","90001","3","6"
"1","6007","91101","3","6"
"2","6008","91201","3","6"
"3","6009","91301","3","6"
"0","6010","90001","4","6"
"1","6011","91101","4","6"
"2","6012","91201","4","6"
"3","6013","91301","4","6"
"0","6014","90001","5","6"
"1","6015","91101","5","6"
"2","6016","91201","5","6"
"3","6017","91301","5","6"
"0","6018","90001","6","6"
"1","6019","91101","6","6"
"2","6020","91201","6","6"
"3","6021","91301","6","6"
"0","7000","90002","0","7"
"1","7001","90002","0","7"
"2","7002","90003","0","7"
"1","7003","90002","2","7"
"2","7004","90003","2","7"
"1","7005","91102","3","7"
"2","7006","91103","3","7"
"1","7007","91102","4","7"
"2","7008","91103","4","7"
"1","7009","91102","5","7"
"2","7010","91103","5","7"
"1","7011","91102","6","7"
"2","7012","91103","6","7"
"0","9001","20101","0","9"
"0","10001","20201","0","10"
"0","10002","20202","1","10"
"0","10180","10501","8","101"
"0","100001","1","1","100"
"0","100002","1","2","100"
"0","100003","2","3","100"
"0","100004","2","4","100"
"0","100005","2","5","100"
"0","100006","2","6","100"
"0","980001","10301","98001","101"
"2","980002","10402","98001","101"
"1","980011","10401","98011","101"
"2","980012","10402","98012","101"
