6eb2c5f9f4973e4c249047303252c863b8c2086293ebbc37810f679607d2b652,2f9ea28bddf1d9e2dc495a9937caf2b38ef0f96b5226cf4e3fb651b2e2651c2f,67e0e47fb0f524ee57cf76d15ab70386b8ef2dcaf5b0ae2b4c3ba6c4e49295a9,ac1522070b0a309ab337346e73ec370030fc0ee21b334b456943497ae8321e3d,2bb78f91b3a29a8b03e2eb82ed89f33ee5c9f06ce2a81bbaad68fce31118911a
"0","1","1","1001","0"
"0","1","2","1002","0"
"0","1","3","1003","0"
"0","1","4","1004","0"
"0","2","1","2001","0"
"0","2","2","2002","0"
"0","2","3","2003","0"
"0","2","4","2004","0"
"0","2","1","2101","1"
"0","2","2","2102","1"
"0","2","3","2103","1"
"0","2","4","2104","1"
"10001","2","11","2111","2"
"10001","2","12","2112","2"
"10001","2","13","2113","2"
"0","3","1","3001","0"
"0","3","2","3002","0"
"0","3","3","3003","0"
"0","3","4","3004","0"
"0","4","1","4001","0"
"0","4","2","4002","0"
"0","4","3","4003","0"
"0","4","4","4004","0"
"0","4","100","4005","0"
"0","5","10101","5010","1"
"1","5","10201","5020","2"
"2","5","10202","5021","2"
"0","5","10301","5030","3"
"1","5","10301","5031","3"
"0","5","10302","5040","4"
"0","5","10303","5050","5"
"0","5","10304","5060","6"
"0","6","90001","6001","1"
"0","6","90001","6002","2"
"1","6","90001","6003","2"
"0","6","90001","6006","3"
"1","6","91101","6007","3"
"2","6","91201","6008","3"
"3","6","91301","6009","3"
"0","6","90001","6010","4"
"1","6","91101","6011","4"
"2","6","91201","6012","4"
"3","6","91301","6013","4"
"0","6","90001","6014","5"
"1","6","91101","6015","5"
"2","6","91201","6016","5"
"3","6","91301","6017","5"
"0","6","90001","6018","6"
"1","6","91101","6019","6"
"2","6","91201","6020","6"
"3","6","91301","6021","6"
"0","7","90002","7000","0"
"1","7","90002","7001","0"
"2","7","90003","7002","0"
"1","7","90002","7003","2"
"2","7","90003","7004","2"
"1","7","91102","7005","3"
"2","7","91103","7006","3"
"1","7","91102","7007","4"
"2","7","91103","7008","4"
"1","7","91102","7009","5"
"2","7","91103","7010","5"
"1","7","91102","7011","6"
"2","7","91103","7012","6"
"0","9","20101","9001","0"
"0","10","20201","10001","0"
"0","10","20202","10002","1"
"0","101","10501","10180","8"
"0","100","1","100001","1"
"0","100","1","100002","2"
"0","100","2","100003","3"
"0","100","2","100004","4"
"0","100","2","100005","5"
"0","100","2","100006","6"
"0","101","10301","980001","98001"
"2","101","10402","980002","98001"
"1","101","10401","980011","98011"
"2","101","10402","980012","98012"
