89cc1a1467f03e39f91d6c529b230dab2ff5bca3b969e6ea5b4d7663983df2fe,565e0beae293b6af77a899c7182e854f42dcf308614f1e8cb1a30a18249ff39f,40aa2c290171f75705c75ba6f42e17c4592be0478c6d6394a67f15a2cf83b0a8,ff05e873f716eee95822342474e75a71749a50b4673f4cf147e86aaafb3191c8,c45748bcd36380d610348a08964e1068c23d58bed2436bd7cc390a906cf53f2f,cf92829c437369ac8f4812ffdf286ecc9eb37884d400334d838e4b56376197fc,1841e5e6f689364b29c9cccd6104711bbd540c7f0f6dd7bceb9c2e79e1b2b926,357943a9732a3e47bf7d0799fa967e90b8088d3a35e013c7413db6d4b1fbaea7
"760100011","90","1","376010001","1","76010001","276010001","2025/02/15 16:00:00"
"760100021","90","2","376010002","1","76010002","276010002","2025/02/15 16:00:00"
"760100031","90","3","376010003","1","76010003","276010003","2025/02/15 16:00:00"
"760100041","90","4","376010004","1","76010004","276010004","2025/02/15 16:00:00"
"760100051","90","5","376010005","1","76010005","276010005","2025/02/15 16:00:00"
"760200011","90","1","376020001","2","76020001","276020001","2025/02/15 16:00:00"
"760200021","90","2","376020002","2","76020002","276020002","2025/02/15 16:00:00"
"760200031","90","3","376020003","2","76020003","276020003","2025/02/15 16:00:00"
"760200041","90","4","376020004","2","76020004","276020004","2025/02/15 16:00:00"
"760200051","90","5","376020005","2","76020005","276020005","2025/02/15 16:00:00"
