b79a99a0aee689ba1ab0d769f685f7a29d7d9da690aabd68b2f6f9ef63932fbe,95cd5d01b20e7bebc01ceeb390648876f0881aa78c45558eb5bae3c11a08a6e3,1b8b940d31909c7780587d29c631466677108d70aead9695e63934d59260faa2,712c1105bef889985800461ffb0351a8784415017d96f7a5ae4822c0bfa0a93b,1bc0142efa475082bda1f891a21543a1f6cc320170e7bb0743dfda67ef698038,0c57eb376f6364dc7542c310869fac122f119915269cc7908b5059ed36d5e97b,bc3fbe658469c84fc53c90f0493f0c1fafd2599d38f0389a8b0d7b53e0a873a1
"1","0","0","1","0","獲得料理活動","3"
"2","0","0","2","0","獲得骰子活動1","1"
"2","0","0","3","0","獲得骰子活動2","2"
"3","0","1","4","3","跳過計算回合數","0"
"4","1","0","5","2","里程+100%","100"
"5","1","0","6","2","小遊戲里程+100%","100"
"6","1","0","7","3","商店打折活動","300"
"6","1","0","8","3","商店打折活動","300"
"3","0","2","98001","3","跳過計算回合數1","0"
"3","0","1","98011","3","跳過計算回合數1","0"
"3","0","2","98012","3","跳過計算回合數2","0"
