0c57eb376f6364dc7542c310869fac122f119915269cc7908b5059ed36d5e97b,b79a99a0aee689ba1ab0d769f685f7a29d7d9da690aabd68b2f6f9ef63932fbe,712c1105bef889985800461ffb0351a8784415017d96f7a5ae4822c0bfa0a93b,95cd5d01b20e7bebc01ceeb390648876f0881aa78c45558eb5bae3c11a08a6e3,1bc0142efa475082bda1f891a21543a1f6cc320170e7bb0743dfda67ef698038,1b8b940d31909c7780587d29c631466677108d70aead9695e63934d59260faa2,bc3fbe658469c84fc53c90f0493f0c1fafd2599d38f0389a8b0d7b53e0a873a1
"獲得料理活動","1","1","0","0","0","3"
"獲得骰子活動1","2","2","0","0","0","1"
"獲得骰子活動2","2","3","0","0","0","2"
"跳過計算回合數","3","4","0","3","1","0"
"里程+100%","4","5","1","2","0","100"
"小遊戲里程+100%","5","6","1","2","0","100"
"商店打折活動","6","7","1","3","0","300"
"商店打折活動","6","8","1","3","0","300"
"跳過計算回合數1","3","98001","0","3","2","0"
"跳過計算回合數1","3","98011","0","3","1","0"
"跳過計算回合數2","3","98012","0","3","2","0"
