18cce0860c025ee6cb9d82c139a98b0b5c0290b203306e4006646a4d2a5bcbde,772612226f1160e20917fdd4660bf32e753ab006a84b63aa74f575cde35d1cb2,3c9a2f689245ebd49de2bfcb309788537a624107ac0f133e380204617142da4c,d7c7fad7f5831ce662fe9c7ceaef9ade0e250e2a099e7991b1738492c452b909,70fa518994ce482e697699947d9bfd125dbc97303010d90bd355bc9079a615ff,9a1bc38fbb2882c7b829bdd6b684189070fd106c04b5a5c94d7b31699175d9bc,ed5a851cface13d6c5694949b61529de767cbd032c91e5a8fbe7bbb3cb463668,a6ff0183179235ee059191c5c0d01c331258cf86e40a4a212227285ed056d614,764ea2a5f7c41a0ef880ffc5614d3e083ab0937f328f3e9f852f4b3bbdee9081,76cd657a8fc97e653990886f28cfdad4f0b07668c282d28e56e801ee9b761423,ea5561d1c3b59da1430c17d3fe7fc631026fad50e590a0917e699923d2b03ea3
"1","-200","psy_miyako_idle","1.7","-220","119931","100","1001","1","1","0"
"1","1000","psy_idle_normal","1.7","-220","1","100","1002","5","1","1"
"1","-50","psy_fairy_idle","1.7","-220","2","105","1003","5","1","0"
"1","0","","1","1","11","0","1004","31","1",""
"1","","","0.2","","psy_item00_run","1","1005","3","1",""
"1","2.5","","","0","285","-220","1006","2","1",""
"1","","","","","","","1007","93","2.5",""
"1","","","0.2","","psy_item00_idle","1","1008","3","1",""
"1","","","","","","","1009","93","0.5",""
"1","","","0.2","","psy_miyako_talk1","1","1010","3","119931",""
"1","0","","","","vo_minigame_1008_drama_0101","0","1011","21","vo_minigame_1008",""
"1","1","0.5","0","0","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！","5","1012","11","119931","0"
"1","","","","","1","","1013","93","6",""
"1","psy_miyako_doya_loop","","0.2","1","psy_miyako_doya_in","0","1014","3","119931","0.2"
"1","","","","","","","1015","91","1012",""
"1","","","","","0","","1016","22","0",""
"1","","","0.2","","psy_fairy_talk","1","1017","3","2",""
"1","0","","","","vo_minigame_1008_drama_9901","0","1018","21","vo_minigame_1008",""
"1","1","0.5","0","0","啾啾！","3","1019","11","2","0"
"1","","","","","","","1020","91","0",""
"1","","","0.2","","psy_fairy_idle","1","1021","3","2",""
"1","","","0.2","","psy_miyako_talk2","1","1022","3","119931",""
