16af617a573e65416913fd147abdabcfdbd2ca84444eaa762aae041efb4c4482,96fb3d5e5b768587582a3656f2d938fa74cbdc16b97e63718fbe0ea803dee29a,349f6a7dfe9a9780e66d71b367d6fcd48f36354985ed193dd883e1254e0cc1ca,804c7814abc9822f910fb1c50f928a3d133fb1bdbd73f8a225078efdc6f8114f,50a44a000ee5fc161523cf721da4ab7a26fd4dfb1de8e3f741805f121035c043,51d56ee173d29279aed235ed73bc210e5eef04d61b6c14153f644074cc1ff814,df5b9ea1f2f97e89ce951ba100dc0e26a7219e1eb69d2e11eb0b70ca202c6bf8,f48a41fc568bf8eccb611ba8a75a186b5d9c3c2ae82bae1966faf2d4f21e8071,0521967edac95a775657fef1e639ba6895b15ee7f168aec986d552a949f48959,534f6c95b135992d971ee2a0ed15a0fa7918d7f156c1e8a1af8c2561b7862944,bb020e218d16bbbc7f0de60e97ad9186808f5ce18028a0abc54a64dea5654f9d,8bd04badae69169723f79df704d74690ecb1a768f1078e1af24600cdd4a3ccbb
"31","0.05","324","35","0","0","0","0","27","1","0","0.025"
"30","0.05","315","34","0","0","0","0","26","2","0","0.025"
"29","0.05","306","33","0","0","0","0","25","3","0","0.025"
"28","0.05","297","32","0","0","0","0","24","4","0","0.025"
"27","0.05","288","31","0","0","0","0","23","5","0","0.025"
"26","0.05","279","30","0","0","0","0","22","6","0","0.025"
"25","0.05","270","29","0","0","0","0","21","7","0","0.025"
"24","0.05","261","28","0","0","0","0","20","8","0","0.025"
"23","0.05","252","27","0","0","0","0","19","9","0","0.025"
"22","0.05","243","26","0","0","0","0","18","10","0","0.025"
"21","0.05","234","25","0","0","0","0","17","11","0","0.025"
"20","0.05","225","24","0","0","0","0","16","12","0","0.025"
"19","0.05","216","23","0","0","0","0","15","13","0","0.025"
"18","0.05","207","22","0","0","0","0","14","14","0","0.025"
"17","0.05","198","21","0","0","0","0","13","15","0","0.025"
"16","0.05","189","20","0","0","0","0","12","16","0","0.025"
"15","0.05","180","19","0","0","0","0","11","17","0","0.025"
"14","0.05","171","18","0","0","0","0","10","18","0","0.025"
"13","0.05","161","17","0","0","0","0","9","19","0","0.025"
"12","0.05","152","16","0","0","0","0","8","20","0","0.025"
"11","0.05","143","15","0","0","0","0","7","21","0","0.025"
"10","0.05","134","14","0","0","0","0","6","22","0","0.025"
"9","0.05","125","13","0","0","0","0","5","23","0","0.025"
"8","0.05","116","12","0","0","0","0","4","24","0","0.025"
"7","0.05","107","11","0","0","0","0","3","25","0","0.025"
"6","0.05","101","10","0","0","0","0","2","26","0","0.025"
"0","0","1","0","0","0","0","0","0","27","0","0"
