4e35e6f82634e33d908a02c09d5ca78a793c2b1b86161822ba71e86ce5da2ffb,b3130ff9e1900c117111fe2f38d7879c67ab73258d71a07f25efabbb70028a94,64c672e7014ba50088c7076dafa2b095181c63adca12502d2d16227bcfc72e8c,b9477141227efd6b2eb64f115088b2776415ab5bdee23ee0f8d6fc0211c527c0,0d5b02f4835e126de301a8651bf9e3387767754e1843fab39ea053753afd06cb,52df559f043d3a22c85e960aa361e948dce6fb41afa11bdb21c5775ad613fb4c,226f6649c22ca1d297e3c07445b47a2c57f342a505927273742f013caba9f3f5,dec110756059ae5e70f4719663c41e94d2ba2db334995a7620af5d8526d83fc0,ca072441f1e1f303201f4a53209f23cecc023f89d3ad62df16937f1b369926e5,ff7778ab63519f491769a97b0341b3d51dcdb1e16e704187aa9487a3cc55d428,d2f9264dd1b1961540a9c9c89069d3299446fba09fb83643fa9b46c49bc1a87f,76d7ce6fb46465c0ada45fa28ccb8b186ebdddf1f5b295e6955293f9d23830cb,6ad253ae0f8b98957abd0736e661d7f8ef659f1f6b2dfd871dfad06daea27db0,379ac0eb3d92794c73c63d4666e333ff20563c8984d5e33b1ebf752652fc140c,fa505ebf8106d927c77e7d50a23c143b19381681fb83958e4745047fc9982fbf,5e8790e5a75115b6b6bf07357cce09bc607dfb4192005dcfcf05a6a2e06a6759,0d23840e0542991fbb31cc095d65006e8351d76924e44e49d6209c5b9a3e5af5,7f546bdd83791687e488b5ded56769c955a29edd73ed2e6f9e757741cd532bea,7cdc9de2cb0ff8e89104d36930495f570489406f66a2df6102236edb7e71e206
"20","1","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 序幕","5201000","0","過去，一切開端","91002","0","0","0","0"
"20","2","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 第1話（迷宮女王）","5201001","0","殘響：迷宮女王","91002","0","1","0","0"
"20","3","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 第1話（誓約女君）","5201002","0","殘響：誓約女君","91002","0","1","0","0"
"20","4","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 第1話（跳躍王）","5201003","0","殘響：跳躍王","91002","0","1","0","0"
"20","5","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 第2話","5201004","0","α Re:load","91002","0","0","0","0"
"20","6","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 第3話","5201005","0","原型","91002","0","0","0","0"
"20","7","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 第4話（霸瞳皇帝）","5201006","0","殘響：霸瞳皇帝","91002","0","0","0","0"
"20","8","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 第4話（變貌大妃）","5201007","0","殘響：變貌大妃","91002","0","0","0","0"
"20","9","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 第4話（嚮導老君）","5201008","0","殘響：嚮導老君","91002","0","0","0","0"
"20","10","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 第5話","5201009","0","Crowns fusion","91002","0","0","0","0"
"20","11","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 終幕","5201010","0","誕生的願望，結下的約定","91002","0","0","0","0"
"20","12","0","0","10201","1","1","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 終幕","5201011","0","殘響消失之時","91002","0","1","0","0"
"50","0","0","0","10201","0","2","0","0","8","潛入，阿斯特朗　\n七個願望與創世之殘響 ","5201051","0","活動PV","91002","0","0","0","0"
"0","0","0","0","10201","0","3","0","0","0","潛入，阿斯特朗　\n七個願望與創世之殘響 ","5201052","0","預告","0","0","0","0","0"
"0","0","0","0","10201","0","4","0","0","0","潛入，阿斯特朗　\n七個願望與創世之殘響 ","5201053","0","開場動畫","0","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","晶的末端裝置 第1話","5201061","0","七冠專用群組聊天","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","晶的末端裝置 第2話","5201062","0","平時的群組聊天","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","變色龍玩偶 第1話","5201063","0","七冠會議‧變色龍篇","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","線上會議_紀錄 第1話","5201064","0","七冠會議‧線上篇","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","怪物設定資料 第1話","5201066","0","美麗設計","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","怪物設定資料 第2話","5201074","0","正常的感性","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","企劃資料 第1話","5201075","0","會議在跳舞，然而毫無進展","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","企劃資料 第2話","5201076","0","失控的創作者魂","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","綜合莓果蛋糕 第1話","5201077","0","現士實似似花與蛋糕","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","綜合莓果蛋糕 第2話","5201078","0","由此而生的好感度","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","訪談新聞_校閱用 第1話","5201079","0","華麗報導","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","訪談新聞_校閱用 第2話","5201081","0","華麗報導的背後","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","角色服裝設定資料 第1話","5201083","0","嚮導老君的憂慮","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","種族設定資料 第1話","5201085","0","何以何故獸人族","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","埋沒在資料裡的照片 第1話","5201087","0","停止的時間，殘留的思念","91002","0","0","0","0"
"20","0","4","0","10201","0","5","0","0","8","埋沒在資料裡的照片 第2話","5201088","0","前進的時間，刻下的回憶","91002","0","0","0","0"
