739263e9a192ffce00b7e98cf9758c69cf35d6fa3e3ffeaabeeb8c0a76bd2b8a,c829819abcca90055b9b210d4317b264e2f7924f6a7201bd2452ac10321e5074,3a9f266b326ec27c1aa590d23666ad3e00ba19284d1726f51f7b94c395ec9292,a80b0d998d3b7a7fa2a009ad077df47b24a6db3e416d1d36319038f23ddf5c69,18c9d2c600fa55d08604ea7c6ef0fede8835c03e44c329f328d47831419cbc98,aa02b398c56a17457de725d0f39ac67cc7d8a5e485f9b15dc3263032a58797d1,aca8cad11cb87d8e7fe2f0b75d23433529e0900074e84881cb2045343548f0fc,e676e066c9880241dbf29baab9a8f590a5cb338dfe94f77f78caa95c21bf7c14,667ca628375cfe36473e0c8b154ffd0800d55be482d27eb4751a7f700fa372d0,f39cba56506505e842382c9e453f2af0ef98ceaf98e7bfab718ba2c9efcc29f7,44f438d0b4ab4b2087f3e4bb7a975f6a46c4998b17df2db493945f33d83315f0,47f0e5e5be9c2502ef393c8ce08791452a736948d17a6bf3c562d06c9c920de9,f7b954b29945a2992a8aafd622baa97ce12778889a6911c2692bda9dcd3d3628,870c44b5aa0b1ef52614ce321a8b5aa25e30307e6522bb33e716e9f5b2023fe9,0917546c06d90a64d1776e71c6de57820588f3b486bff470c68acdb6f1330710,9155f878bb517d2c3cb1a96f0c52663dc394d2460375ccfbeec28c9b26f6f432,e02aa17ba3196a7c2da92b07b38abe4ee2585cbd05f23ff35f88cb5e40619a09,ab61bcec78874ff93ae019ed83b6f6d0767108077ec3a2aec535a3432ae278cc,ec1672deab338cd1019279691e194ee825106e7cc3bd0f1fdcf7b84469bab933,f6d87af2431797cb195c985e1945583ca8e2bc075df384fec070f9471fb137d5,3232e6ec06ac871d30548b0f4712baf9c71ded6ad207eeaf5f13e7225717487f,35d99f2de3569f224de1babfbdcb50b401bcb974aa2a66b0609ed52da10c4157,4dc86252ca7da72035ae786907a414e6c1206754e5d5668b3f87ac7040991e32,c206a22e465cbc637f2b47054461f5a856525d38dac761bd19e0fd9e20378390,8d7a1b0df0f725a19d08b6632352948d1392be65e5fe8a23cadada301eff985c,3efec70af968fa824fa3a877c1b02d48938916fe44f84678041841e5a6b1b3cc,d6d36f5f4b768b9f125dfcf20939f1adb0a83fd62169f516480dcc58e64b1f8d
"6001","0","94002","5","10001","5","23001","2","1","0","0","10174","5035003","8008","0","0","2","2500","20002","0","0","請看活動劇情前篇第3話。","0","0","1","0","12"
"6001","0","94002","5","10002","5","23001","2","1","0","0","10174","5035005","8008","0","0","2","5000","20002","0","0","請看活動劇情前篇的結局。","0","0","1","0","12"
"6005","0","94002","5","10003","5","23001","2","1","0","0","10174","10174201","9004","0","0","2","7500","20002","0","0","請通關3次活動前篇的HARD冒險1-1。","0","0","3","0","12"
"6007","0","91002","5","10004","1","20002","2","1","0","0","10174","1017402","9011","0","0","2","50","31126","0","0","請打倒3次活動前篇的HARD Boss。","0","0","3","0","8"
"6003","0","94002","5","20001","10","23001","2","2","0","0","10175","5036001","8008","0","0","2","10000","20002","0","0","請看活動劇情後篇第1話。","0","0","1","0","12"
"6002","0","94002","5","20002","10","23001","2","2","0","0","10175","0","9006","0","0","2","12500","20002","0","0","請重置1次討伐證交換。","0","0","1","0","12"
"6005","0","94002","5","20003","10","23001","2","2","0","0","10175","10175201","9004","0","0","2","15000","20002","0","0","請通關3次活動後篇的HARD冒險1-1。","0","0","3","0","12"
"6007","0","91002","10","20004","2","20002","2","2","0","0","10175","1017502","9011","0","0","2","75","31126","0","0","請打倒3次活動後篇的HARD Boss。","0","0","3","0","8"
"6003","0","94002","5","30001","10","23001","2","3","0","0","10175","5036003","8008","0","0","2","17500","20003","0","0","請看活動劇情後篇第3話。","0","0","1","0","12"
"501","0","94002","5","30002","10","23001","2","3","0","0","0","112601","6011","0","0","2","20000","20003","0","0","請將未央（NGs）的★提升到2。","0","0","2","0","12"
"6002","0","94002","5","30003","10","23001","2","3","0","0","10175","0","9006","0","0","2","22500","20003","0","0","請重置3次討伐證交換。","0","0","3","0","12"
"6007","0","91002","5","30004","2","20003","2","3","112601","0","10175","1017502","10000","0","0","2","100","31126","1","0","請將未央（NGs）編入隊伍，打倒活動後篇的HARD Boss。","0","0","1","0","8"
"6003","0","94002","5","40001","15","23001","2","4","0","0","10175","5036005","8008","0","0","2","25000","20004","0","0","請看活動劇情後篇的結局。","0","0","1","0","12"
"6002","0","94002","5","40002","15","23001","2","4","0","0","10175","0","9006","0","0","2","27500","20004","0","0","請重置5次討伐證交換。","0","0","5","0","12"
"6010","0","94002","5","40003","20","23001","2","4","0","0","10174","1017403","9011","0","0","2","30000","20004","0","0","請打倒活動前篇的VERY HARD Boss。","0","0","1","0","12"
"6010","0","91002","20","40004","4","20004","2","4","0","0","10175","1017503","9011","0","0","2","125","31126","0","0","請打倒活動後篇的VERY HARD Boss。","0","0","1","0","8"
