aa1f9767384eefb0e876ecbf06b84b01e04cf4041aa02d3dc46d1d76f1ddecc9,95792b3d4da033ee9b95cfcb67045744b5ff15c3918d4fc227602e59a21fa9e6,06f8166efe7b012a76b76c07e1af64a6bbf69f26fad3f6a829e572d4e612eeb2,fcdc41cc7258ae1f0ad5da313873177787ebff4e26559a623289f9825168286f,3b6c1146fc5c7ffe0e6a3c7a5a5b3c593255059833fb84a9674e900dcdeb4f87
"1","1","0","1001","0"
"2","1","0","1002","0"
"3","1","0","1003","0"
"4","1","0","1004","0"
"1","2","0","2001","0"
"2","2","0","2002","0"
"3","2","0","2003","0"
"4","2","0","2004","0"
"1","2","0","2101","1"
"2","2","0","2102","1"
"3","2","0","2103","1"
"4","2","0","2104","1"
"11","2","10001","2111","2"
"12","2","10001","2112","2"
"13","2","10001","2113","2"
"1","3","0","3001","0"
"2","3","0","3002","0"
"3","3","0","3003","0"
"4","3","0","3004","0"
"1","4","0","4001","0"
"2","4","0","4002","0"
"3","4","0","4003","0"
"4","4","0","4004","0"
"100","4","0","4005","0"
"10101","5","0","5010","1"
"10201","5","1","5020","2"
"10202","5","2","5021","2"
"10301","5","0","5030","3"
"10301","5","1","5031","3"
"10302","5","0","5040","4"
"10303","5","0","5050","5"
"10304","5","0","5060","6"
"90001","6","0","6001","1"
"90001","6","0","6002","2"
"90001","6","1","6003","2"
"90001","6","0","6006","3"
"91101","6","1","6007","3"
"91201","6","2","6008","3"
"91301","6","3","6009","3"
"90001","6","0","6010","4"
"91101","6","1","6011","4"
"91201","6","2","6012","4"
"91301","6","3","6013","4"
"90001","6","0","6014","5"
"91101","6","1","6015","5"
"91201","6","2","6016","5"
"91301","6","3","6017","5"
"90001","6","0","6018","6"
"91101","6","1","6019","6"
"91201","6","2","6020","6"
"91301","6","3","6021","6"
"92001","6","0","6022","7"
"92101","6","1","6023","7"
"92201","6","2","6024","7"
"92301","6","3","6025","7"
"92401","6","4","6026","7"
"92001","6","0","6027","8"
"92101","6","1","6028","8"
"92201","6","2","6029","8"
"92301","6","3","6030","8"
"92401","6","4","6031","8"
"92001","6","0","6032","9"
"92101","6","1","6033","9"
"92201","6","2","6034","9"
"92301","6","3","6035","9"
"92401","6","4","6036","9"
"90001","6","0","6037","10"
"90101","6","1","6038","10"
"90201","6","2","6039","10"
"90301","6","3","6040","10"
"90401","6","4","6041","10"
"90001","6","0","6042","11"
"90101","6","1","6043","11"
"90201","6","2","6044","11"
"90301","6","3","6045","11"
"90401","6","4","6046","11"
"90002","7","0","7000","0"
"90002","7","1","7001","0"
"90003","7","2","7002","0"
"90002","7","1","7003","2"
"90003","7","2","7004","2"
"91102","7","1","7005","3"
"91103","7","2","7006","3"
"91102","7","1","7007","4"
"91103","7","2","7008","4"
"91102","7","1","7009","5"
"91103","7","2","7010","5"
"91102","7","1","7011","6"
"91103","7","2","7012","6"
"92102","7","1","7013","7"
"92103","7","2","7014","7"
"92102","7","1","7015","8"
"92103","7","2","7016","8"
"92102","7","1","7017","9"
"92103","7","2","7018","9"
"90102","7","1","7019","10"
"90103","7","2","7020","10"
"90102","7","1","7021","11"
"90103","7","2","7022","11"
"20101","9","0","9001","0"
"20201","10","0","10001","0"
"20202","10","0","10002","1"
"10501","101","0","10180","8"
"1","100","0","100001","1"
"1","100","0","100002","2"
"2","100","0","100003","3"
"2","100","0","100004","4"
"2","100","0","100005","5"
"2","100","0","100006","6"
"3","100","0","100007","7"
"3","100","0","100008","8"
"3","100","0","100009","9"
"1","100","0","100010","10"
"1","100","0","100011","11"
"10301","101","0","980001","98001"
"10402","101","2","980002","98001"
"10401","101","1","980011","98011"
"10402","101","2","980012","98012"
