fcfd18e85ba69a027e2f8cabc747b313b2ffe9c22a750df55fe32e66c9e38d64,f7d759d3a8615b3a7424c8dc7ff75d80df72dc7112ba0f736ff5823395f4beb6,8efafb6263a52a4961347a3f02ae51f1d2e5af0782fac1af89d47fab97156b39,a4f29a172b8eadff71b69d48bc1b69ad5a5316e13ca124db14af98c6686b0f3e,fe6ab3f26de3093adf89624e197778a3b9ebbcc3d1b8bd03d75bd448d56262c9,0c0a4236a8eb4400c3d3d817e7b51303d9f56facb93cf6e506a90e6bb91a2239,f1083413a92ef7ee6fc7b0044515790f71946605816137d9f321a49566f75240,beeb0512197d860dc8155feb346a8fcd6997fa8189f9d8b634f1ec7f838b67a0,dfba6aa3c46a411551695b96250360b53157ed53e2ccf9ec0ee0aabece0da880,c3b7b3044d744b1f978381abfbe312c2a163ff2646ee0b9c15b22177e340e337,f24de60ecbaa059ad0d051204326ab60ccd7ae15d559005423ce1069174a87b6,bfd80d55f770f171b87123f3fb85fe0a463709c8c9dadfe4e29c04e9df49deed,f861779a6084bfac23b0c712cb8d5086c29b4215730c3d40dd515d73ebe24629,340f6b1e1d0944ce808511122a2d9693563c81cfc2440725fd4aabe3700a0938,39db24fad965323e8e6e3670eb9f965f9122e733016ae5d8269b4879d578f8e2,4b37830fc7e97f27fb08050f439eaa7f992fe72672f16b882c276c578a1b773a,2ae2f7759ddef102e065f0990f2b792309d70619fb8f38534b0b680f66bbde6f,2c9442aed321a54ccbb6c499c754140ab6d585162275eec6ebfbbfa572b81b4f,aa13bc42ec2f02d2cf8f98227fbb3c00a7bc6d01def0ffe78c84afa077155358,1ef7229956f2e6cf09df752df6ef88e0dfdc3abbd753017d65d6c672f12595e5,045d7c4de3943896d26e37982845eda49d36e6faa5bf7c0bed0e636af1f308b9,51b699de4ccfe40991e0c82d4cb5b439132c46ef837a53a622f5e8243a32e389,89d2ce50c5594c386fe783a636bb437a92dc8472689f4cdd273c0c3815094b7d,fe488522d854d8671b7e7ae49324f136472320a86d52eb962693f5b2ec8a6253,0a6c4166d5cdb34be60993d73d96aaf768d82926bd5699600ce92dbb5f6b120b,9c23862c77848286d03781f8684375b13aba35993f7df9f6e2263bfab1fd52e6,a70e20ba2ba07bf2abecf3d099b6054b618ed4b0e47187d88a44c4aa20d35477,ce9fd719dd40567ef152f2ac9dcdeabdaec94fb99a6634fb457aa19cf0d2212e,8e90f89855debf3d5a071b878e9b69ce56b9eb3813b5db1d0fd85e9c2b41b664
"0","31001","0.4","0","bgm_M06","40001","0","0","0","94002","0","100091","0","31001001","100091","99002","bgm_M06","0","0","0","0","1.2","1","1","3100101","0","0","90","0"
"0","31001","0.4","0","bgm_M06","40001","0","0","0","94002","0","100092","0","31001002","100092","99002","bgm_M06","0","0","0","0","1.2","1","2","3100101","0","0","90","0"
"0","31001","0.6","0","bgm_M06","40004","0","99002","0","94002","0","100101","0","31001003","100101","90002","bgm_M06","0","0","0","0","1.2","1","3","3100102","0","100","90","0"
"0","31001","0.65","0","bgm_M06","40001","0","0","0","94002","0","100102","0","31001004","100102","99002","bgm_M06","0","0","0","0","1.2","1","4","3100103","0","0","90","0"
"0","31001","0.7","0","bgm_M06","40001","0","0","0","94002","0","100102","0","31001005","100102","99002","bgm_M06","0","0","0","0","1.2","1","5","3100103","0","0","90","0"
"0","31001","0.75","0","bgm_M06","40004","0","99002","0","94002","90005","100102","0","31001006","100102","90002","bgm_M06","0","0","0","0","1.2","1","6","3100104","0","100","90","0"
"0","31001","1","0","bgm_M63","40004","0","99002","0","94002","0","100722","0","31001007","100722","90002","bgm_M63","0","501010011","0","0","1.2","3","7","3100105","0","100","90","0"
"0","31002","0.4","0","bgm_M06","40001","0","0","0","94002","0","100251","0","31002001","100251","99002","bgm_M06","0","0","0","0","1.2","1","1","3100201","0","0","90","0"
"0","31002","0.4","0","bgm_M06","40001","0","0","0","94002","0","100252","0","31002002","100252","99002","bgm_M06","0","0","0","0","1.2","1","2","3100201","0","0","90","0"
"0","31002","0.6","0","bgm_M06","40004","0","99002","0","94002","0","100253","0","31002003","100253","90002","bgm_M06","0","0","0","0","1.2","1","3","3100202","0","200","90","0"
"0","31002","0.65","0","bgm_M06","40001","0","0","0","94002","0","100254","0","31002004","100254","99002","bgm_M06","0","0","0","0","1.2","1","4","3100203","0","0","90","0"
"0","31002","0.7","0","bgm_M06","40001","0","0","0","94002","0","100255","0","31002005","100255","99002","bgm_M06","0","0","0","0","1.2","1","5","3100203","0","0","90","0"
"0","31002","0.75","0","bgm_M06","40004","0","99002","0","94002","0","100256","0","31002006","100256","90002","bgm_M06","0","0","0","0","1.2","1","6","3100204","0","200","90","0"
"0","31002","0.8","0","bgm_M06","40001","0","0","0","94002","0","100257","0","31002007","100257","99002","bgm_M06","0","0","0","0","1.2","1","7","3100205","0","0","90","0"
