5d6038aa924d3dfbcc437ce041d8f903dc02643f963b6895a920047525f31e5b,c5e402894fd51e19264a60956096c656a03c88e45e2d7995e55c2224f237eea0,7ca2a35bdf65420fb8e37ea2a40e3d7c088e43c89dd827dedd20981ac52a9993,9e1659088c45cdb3c801ea7c9823369ba49b9f1fd6bf31c146c33786d8d54a9e,b8918007fe7f4eb5440f904a7a3270a0d838c7a516ee8a50f4979f6bc490b677
"火屬性獎勵特大幅度提升","92407010","1","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12"
"提升物理防禦力（不可降低）","92407010","2","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","92407010","3","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"賦予TP上升的上限","92407010","4","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"降低HP吸收","92407010","5","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9"
"火屬性獎勵特大幅度提升","92407020","6","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12"
"提升物理防禦力（不可降低）","92407020","7","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","92407020","8","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"賦予TP上升的上限","92407020","9","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17"
"降低HP吸收","92407020","10","戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","9"
"火屬性獎勵特大幅度提升","92407030","11","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12"
