ea812c196be6da871edfc5ec7943bf603bf0654fc653f4b7af4073cce025df32,68b2180988eadc092f0adbe3af9a1e5be22a65f855ade92f476104720ecaab35,14e4bb026bfccace4a87a92298501403c302cbb8a6d3deee36a002ad06d8b63d,7f3039aed42d28a440076af1a581ec8ec5248234ae688f2680c275ed33644512
"1","4","180701","1001"
"2","4","180701","1002"
"3","4","180701","1003"
"4","4","180701","1004"
"5","4","180701","1005"
"6","2","180701","1014"
"7","2","180701","1015"
"8","2","180701","1016"
"9","2","180701","1017"
"10","2","180701","1010"
"11","2","180701","1011"
"12","2","180701","1012"
"13","2","180701","1013"
"14","6","180801","1001"
"15","6","180801","1002"
"16","6","180801","1003"
"17","6","180801","1004"
"18","6","180801","1005"
"19","3","180801","1014"
"20","3","180801","1015"
"21","3","180801","1016"
"22","4","180801","1017"
"23","3","180801","1010"
"24","3","180801","1011"
"25","3","180801","1012"
"26","3","180801","1013"
"27","3","180801","1009"
"28","4","180901","1001"
"29","4","180901","1002"
"30","4","180901","1003"
"31","4","180901","1004"
"32","4","180901","1005"
"33","2","180901","1014"
"34","2","180901","1015"
"35","2","180901","1016"
"36","4","180901","1017"
"37","2","180901","1010"
"38","2","180901","1011"
"39","2","180901","1012"
"40","2","180901","1013"
"41","4","181001","1001"
"42","4","181001","1002"
"43","4","181001","1003"
"44","4","181001","1004"
"45","4","181001","1005"
"46","2","181001","1009"
"47","2","181001","1010"
"48","2","181001","1011"
"49","2","181001","1012"
"50","2","181001","1013"
"51","2","181001","1014"
"52","2","181001","1015"
"53","2","181001","1016"
"54","2","181001","1017"
"55","4","181101","1001"
"56","4","181101","1002"
"57","4","181101","1003"
"58","4","181101","1004"
"59","4","181101","1005"
"60","2","181101","1009"
"61","2","181101","1010"
"62","2","181101","1012"
"63","2","181101","1013"
"64","2","181101","1014"
"65","2","181101","1015"
"66","2","181101","1016"
"67","2","181101","1017"
