14e4bb026bfccace4a87a92298501403c302cbb8a6d3deee36a002ad06d8b63d,ea812c196be6da871edfc5ec7943bf603bf0654fc653f4b7af4073cce025df32,7f3039aed42d28a440076af1a581ec8ec5248234ae688f2680c275ed33644512,68b2180988eadc092f0adbe3af9a1e5be22a65f855ade92f476104720ecaab35
"180701","1","1001","4"
"180701","2","1002","4"
"180701","3","1003","4"
"180701","4","1004","4"
"180701","5","1005","4"
"180701","6","1014","2"
"180701","7","1015","2"
"180701","8","1016","2"
"180701","9","1017","2"
"180701","10","1010","2"
"180701","11","1011","2"
"180701","12","1012","2"
"180701","13","1013","2"
"180801","14","1001","6"
"180801","15","1002","6"
"180801","16","1003","6"
"180801","17","1004","6"
"180801","18","1005","6"
"180801","19","1014","3"
"180801","20","1015","3"
"180801","21","1016","3"
"180801","22","1017","4"
"180801","23","1010","3"
"180801","24","1011","3"
"180801","25","1012","3"
"180801","26","1013","3"
"180801","27","1009","3"
"180901","28","1001","4"
"180901","29","1002","4"
"180901","30","1003","4"
"180901","31","1004","4"
"180901","32","1005","4"
"180901","33","1014","2"
"180901","34","1015","2"
"180901","35","1016","2"
"180901","36","1017","4"
"180901","37","1010","2"
"180901","38","1011","2"
"180901","39","1012","2"
"180901","40","1013","2"
"181001","41","1001","4"
"181001","42","1002","4"
"181001","43","1003","4"
"181001","44","1004","4"
"181001","45","1005","4"
"181001","46","1009","2"
"181001","47","1010","2"
"181001","48","1011","2"
"181001","49","1012","2"
"181001","50","1013","2"
"181001","51","1014","2"
"181001","52","1015","2"
"181001","53","1016","2"
"181001","54","1017","2"
"181101","55","1001","4"
"181101","56","1002","4"
"181101","57","1003","4"
"181101","58","1004","4"
"181101","59","1005","4"
"181101","60","1009","2"
"181101","61","1010","2"
"181101","62","1012","2"
"181101","63","1013","2"
"181101","64","1014","2"
"181101","65","1015","2"
"181101","66","1016","2"
"181101","67","1017","2"
