7929438d649af8fbc1d20ae1cfb4b1897f3c17eb730ca10fe480ab3f6fffcbc7,65b57796ea66045f653253566d609b293c596d8304bc268b7896c49d5f2cc762,9c12150b2bdf6ad1d3544ed9853b216a9c4be0c941865075e62e7dde1123bdc6,f654d7d814122b2e7b4c996a9e0ea95dff998bcfd7dfa8c5b7537c2ded6d8eb0,89bd78bbb7c805e2a548b508f0576fcdfe020c16f0134926e20ec0fbffda3c00,e7bd4de8b09c062fba86625c48b204fba241b7be07113a4649ae53796ee20b91,4133826793bdae15039380fd3092ae303c9fcec618de4b117256c22c67ada0ce,9420e873eec8241a2fe35ef9814fb8c3a9f629c9715174c06555bc5b49f8c7e5,623da1744b3b918944e189652d650c963190c2ac2a65d52239f74df859741f17,d12500702ec8c973e21394264ccca48126dcc0a815751b19dbc7be46283a2864,c665cb30d77bdc8289077cfa5ad55a104d5d6c5c1e1dbc1278656e260a4ef481,00e76cb854e909979b4a02521a7411d38981e325c0a1731ea9395fd7f4f37620,148ca0581a783cd81db6352e0e55f235553b9cb60ce63940a1494ebcdb215eb4,7d7ac1dd83372572ea0dbb6894a4be4182b01adbbda24464def0250b2e020446,56d1ab5ed2070c4c9847695eee506c3f7b5d3f52e40ed954be0038f5b2382169,98265d57b36897e79a7bd276de4437341e5da033fe7a5dc94f5a27b6a0d0abf4,fcf2c072533b638cad3e8956ffefe1e41bedcc21d0a232b2a6639e68ceaa921b,f5339098bad16419a04584b3525de9e4814d35b4bcc6c9df4ed39dcf2c3d28d1,71f4e0078ed7cd1fe006923f15a88ec48501fb3eac9863e571abe5180120ee27,296451353537e638edbaef70b11ee7747aa256c800af4b1e297b90a5fdde976b,cdbcaa2029523415d119108c2787adc8fc0c3ed579d3a3143e5e50b7bbf7f666,6ee10576e03dcfe0cee636262bea6a8bd1dc6fab346cba4fca91385647f8c2c0,84af44bc1bcdf21f433e6ee863ddd998ad7d2facdec1e44c6f5b747ce95aed07,c0dc7dd47947fff61309649918ad54042f632fd19335d929dbaedc8442e457a6,1270ac0cae26d286875b4cb9c66f4401f589149cb5d634cb65eeb3b0bf4b099b,d48714c2324e74049f51fc7d484a336e53fe2aa062ffb94c2ae59feb853ed764,f001d0ddca1aec3f4866a4064114191852ed821078e596a503272d45e68e20ec
"請看活動劇情前篇第3話。","94002","8008","1","6001","10001","12","0","5","0","2","1","5","0","20002","0","0","0","10062","0","0","2","23001","0","0","2500","5035003"
"請看活動劇情前篇的結局。","94002","8008","1","6001","10002","12","0","5","0","2","1","5","0","20002","0","0","0","10062","0","0","2","23001","0","0","5000","5035005"
"請通關3次活動前篇的HARD冒險1-1。","94002","9004","3","6005","10003","12","0","5","0","2","1","5","0","20002","0","0","0","10062","0","0","2","23001","0","0","7500","10062201"
"請打倒3次活動前篇的HARD Boss。","91002","9011","3","6007","10004","8","0","5","0","2","1","1","0","31126","0","0","0","10062","0","0","2","20002","0","0","50","1006202"
"請看活動劇情後篇第1話。","94002","8008","1","6003","20001","12","0","5","0","2","2","10","0","20002","0","0","0","10063","0","0","2","23001","0","0","10000","5036001"
"請重置1次討伐證交換。","94002","9006","1","6002","20002","12","0","5","0","2","2","10","0","20002","0","0","0","10063","0","0","2","23001","0","0","12500","0"
"請通關3次活動後篇的HARD冒險1-1。","94002","9004","3","6005","20003","12","0","5","0","2","2","10","0","20002","0","0","0","10063","0","0","2","23001","0","0","15000","10063201"
"請打倒3次活動後篇的HARD Boss。","91002","9011","3","6007","20004","8","0","10","0","2","2","2","0","31126","0","0","0","10063","0","0","2","20002","0","0","75","1006302"
"請看活動劇情後篇第3話。","94002","8008","1","6003","30001","12","0","5","0","2","3","10","0","20003","0","0","0","10063","0","0","2","23001","0","0","17500","5036003"
"請將未央（NGs）的★提升到2。","94002","6011","2","501","30002","12","0","5","0","2","3","10","0","20003","0","0","0","0","0","0","2","23001","0","0","20000","112601"
"請重置3次討伐證交換。","94002","9006","3","6002","30003","12","0","5","0","2","3","10","0","20003","0","0","0","10063","0","0","2","23001","0","0","22500","0"
"請將未央（NGs）編入隊伍，打倒活動後篇的HARD Boss。","91002","10000","1","6007","30004","8","0","5","0","2","3","2","0","31126","0","0","112601","10063","0","1","2","20003","0","0","100","1006302"
"請看活動劇情後篇的結局。","94002","8008","1","6003","40001","12","0","5","0","2","4","15","0","20004","0","0","0","10063","0","0","2","23001","0","0","25000","5036005"
"請重置5次討伐證交換。","94002","9006","5","6002","40002","12","0","5","0","2","4","15","0","20004","0","0","0","10063","0","0","2","23001","0","0","27500","0"
"請打倒活動前篇的VERY HARD Boss。","94002","9011","1","6010","40003","12","0","5","0","2","4","20","0","20004","0","0","0","10062","0","0","2","23001","0","0","30000","1006203"
"請打倒活動後篇的VERY HARD Boss。","91002","9011","1","6010","40004","8","0","20","0","2","4","4","0","31126","0","0","0","10063","0","0","2","20004","0","0","125","1006303"
