c8df43b2fe702e437a66107b95d557b39cb6c291b7b768378006d8992ea35126,254c37620a151a754c16ef7732c19ce3ab7a42e8203fbee01a5497511e186a77,a5b47ec0459f38e6cc28c28e9826871c9978da82a8629220b5c023e7ddb57580,37b17cb2c9fad01b8a8e5014f945e8d8b34533cd0a413b0a79c603706d30ee23,40b7926fad2b618af11a17f8aded527da8587231a61d3ac6c5d0d0c68c19d4c8,35cb37616d9c4f657c61741a827dcf0743d59ceff1ca9678758fd00a9245565e,e1c8b0577bad481242b343129f5c3bc064b260e6bbc3c19321a4b8167404f509,1f7a688d8bdd43c8655dd3f103131bdb467d1a620aed7fb35e8be0be08404854,5e6b400f9a9b533dacee041e7a513a22ff0db3ae9ae1abccc87bdf37e51562eb,75645551e877447b3e175b24d96842cb28e590add92ca35f7070009cc1f877b9,9b7b8910daba7ac367f0bb7949ea8ae9c1eba1d0b20417c945cc5c74911cad29,1c993cee4a8a2ee5b407845e3c4775e8e9915b1bb61c9341955cb691689c8f45,3a16e844daf8fb9cdcf63ed2dfaa8bb68e1d1b63fbc505c9510efbf4d2aa6d77,3b43513c42ce274c6a071cdd692e99800d76625a6b3854f5ffb785cb04da5ced,513deea8e6b684607b134f709e5af5c15db8b61260abfa788c6a7854450c91cc,178a07fd779aff32f122ab838cb93f80f80827b6db8e79ed5760273736a23ba7,40e1c4648d72ea69158617ec89dbb955ba2269060b70b573875192160d1f426b,45efb1552949b3a2f35fe918ac1640e03e97c770a6997e45e732174d5a802510,75a029f6f0b2a0b08481c833ef1153d62ad923556a765d2733c42f6f6cb8201c
"2","240701","2","1000","0","200","1000","25014","2","25102","92407","abyss_reward_icon_masterpieces_piece","0","1000000000","25021","2","10","25015","0"
"2","240702","2","1000","0","1000","1000","25012","2","25021","92407","abyss_reward_icon_astralshard","0","2000000000","25011","2","300","25013","0"
"2","240703","2","1000","0","500","1000","25014","2","25102","92407","abyss_reward_icon_masterpieces_piece","0","3000000000","25021","2","10","25015","0"
"2","240704","2","1000","0","1000","1000","25012","2","25021","92407","abyss_reward_icon_astralshard","0","4000000000","25011","2","500","25013","0"
"2","240705","2","1000","0","1000","1000","25014","2","25102","92407","abyss_reward_icon_masterpieces_piece","0","5000000000","25021","2","10","25015","0"
"2","240706","2","1000","0","1000","1000","25012","2","25021","92407","abyss_reward_icon_astralshard","0","6000000000","25011","2","1000","25013","0"
"2","240707","2","3000","0","1000","3000","25014","2","25102","92407","abyss_reward_icon_masterpieces_piece","0","7000000000","25021","2","10","25015","0"
"2","240708","2","3000","0","3000","3000","25012","2","25021","92407","abyss_reward_icon_astralshard","0","8000000000","25011","2","1000","25013","0"
"2","240709","2","3000","0","1000","3000","25014","2","25102","92407","abyss_reward_icon_masterpieces_piece","0","9000000000","25021","2","10","25015","0"
"2","240710","2","3000","0","1000","3000","25011","2","25102","92407","abyss_reward_icon_masterpieces_piece","0","10000000000","25021","2","10","25012","0"
"2","240711","2","3000","0","1000","3000","25013","2","25102","92407","abyss_reward_icon_masterpieces_piece","0","12000000000","25021","2","10","25015","0"
