7d40f2616ac8907ac9486186237ac20fd09dab13421fc1f87b327644ffc14ab9,82797e4a3f049361eed1325de2112411c71c6d7f19372e35fcda379eb38564ef,fa48b592e880a1cf5bc37a8dad4353b74add45b8424fcd2ea10742ba0d28fc3c,8239a0cf4a3d930dee9995d99dc31856150892722e90cc49fb1d6d23ec8db653,08eb5e83aff48756d289930ce375709d7891a9e7df916b1446afc45ecfa18200,a1edc636bc1da2778d3b1949e0b3b2c56e72a58db5cdf0119bb5383c5009834b,22011b99dd24d1bb70cdaa1d6101b5fe9f9ecbe611777b6559f3ac0c191d48eb,8f6c0f1c8c13b898ac66559ee620092fd423282bc359d413606d8f66c3706622,e1c399ebc9d139eb6bc078e9c41c22ed31df1ad0e2b5e2717afc6b1aa49ca709,349bf866ef565d5a41498d88b4b34b2a1e8ee21f640f576c39cfcd5a53e1154f,c75a9102a9feac2c2df44be5628b296868dfaf6174311f867d46b2604f2b3ea3,4185303ce5b8314cbe5329c6a2808a7ed5b700452d413b89bb697d23c7cc63d7,2a9c75326b7070f4dc69923cd51904f04a0d8cd89709c856bce37fcbfaa15c8e,8e959717680bf4a14aa242978a3dc8ad6a71f1b132fceb8191b3fd9f8b6f919a
"0","20001","20001101","0","1","0","1","0","201","bgm_M32","0","0","塔爾格姆地區","bgm_M32"
"0","20001","20001201","0","0","0","1","0","201","bgm_M32","0","0","塔爾格姆地區","bgm_M32"
"0","20002","20002101","0","0","0","1","0","201","bgm_M98","0","0","馬席納地區","bgm_M98_2"
"0","20002","20002201","0","0","0","1","0","201","bgm_M98","0","0","馬席納地區","bgm_M98_2"
"0","20003","20003101","0","0","0","1","0","201","bgm_M106","0","0","蘭德索爾郊外","bgm_M106"
"0","20003","20003201","0","0","0","1","0","201","bgm_M106","0","0","蘭德索爾郊外","bgm_M106"
"0","20004","20004101","0","0","0","1","0","201","bgm_M112","0","0","塔帕斯海灘 周邊","bgm_M112"
"0","20004","20004201","0","0","0","1","0","201","bgm_M112","0","0","塔帕斯海灘 周邊","bgm_M112"
"0","20005","20005101","0","0","0","1","0","201","bgm_M121","0","0","伊爾席翁的孤島","bgm_M121"
"0","20005","20005201","0","0","0","1","0","201","bgm_M121","0","0","伊爾席翁的孤島","bgm_M121"
"0","20006","20006101","85","0","0","1","0","201","bgm_M128","0","0","王城蘭德索爾","bgm_M128"
"0","20006","20006201","0","0","0","1","0","201","bgm_M128","0","0","王城蘭德索爾","bgm_M128"
"0","20007","20007101","0","1","0","1","0","201","bgm_M135","0","0","蘭德索爾郊外","bgm_M135"
"1","20007","20007102","0","2","80","1","208","201","bgm_M29","0","202","靈界","bgm_M29"
"1","20007","20007103","0","3","0","1","209","201","bgm_M135","1","202","蘭德索爾中央地區","bgm_M135"
"0","20007","20007201","0","1","0","1","0","201","bgm_M135","31","0","蘭德索爾郊外","bgm_M135"
"0","20008","20008101","35","0","0","1","0","201","bgm_M162","0","0","蘭德索爾近郊","bgm_M162"
"0","20008","20008201","0","0","0","1","0","201","bgm_M162","0","0","蘭德索爾近郊","bgm_M162"
"0","20009","20009101","110","1","0","1","0","201","bgm_M171","11","0","咲戀育幼院","bgm_M171"
"0","20009","20009201","0","1","0","1","0","201","bgm_M171","0","0","王城蘭德索爾","bgm_M171"
"0","20010","20010101","1","1","180","1","0","201","bgm_M182","0","0","往神殿的參道","bgm_M182"
"0","20010","20010201","0","1","0","1","0","201","bgm_M182","0","0","往神殿的參道","bgm_M182"
"0","20011","20011101","0","1","0","1","0","201","bgm_M189","0","0","王城蘭德索爾","bgm_M189"
"0","20011","20011102","110","2","0","1","0","201","bgm_M189","0","0","廚房競技場","bgm_M189"
