9c28c9f0cbcffb0ee6bce8f02ab2db6f0e1123c04677e03c8f0de3681e73c11a,1ec234275d2d7bca2b6d0087bc806589bcb8b6391614adc11cb91acab400f39b,ff45c9ac873986840ddf1f886d769f8ac4d6e0158370d66bf7ef7ff5e239038d,e2a6831559e8ed3737689afeb853cbee68b104cfee609d6345f231f913383f38,c9df6d2a3673fa5e22f4f75a9ffac0ebb2732cd384b5f7210b978b74be1924e9,cafbc17fbcacd5d0909ad5a977396f12da3b48b0cd5bfc8d1e57e28f874ab09e,585be4ef8d033c3551b8b11e87cf9585a73bd08159f8b9761f7990c4b18fba3b,644c0abcd9c99e310b599c804e2088f8b3addc67c834482cd2cefebafee4de3c,df0bfdd07e7252eccdf96ba9907a0f385acc73cb2289e70918044cc372592d92,f8dbcccb2019b3c1640f9751f95a09c1a0bcac4e7ef42d200305dd581c98834a,d3ae438c92d5239fe26f6026792b32cb50fc83028ba02696237eefe87f782d1c,d4d0339aed45bb9288ac33a04cdf79bb5fddd9b4e96c6f8c589daeb80fbedff1,084ee974a0ec94822652467da52ef5defc77e9f77d5095b19487af3559532f11,003a4f2a5e83a6d132c1e112087bf33df1272e8d1c6b96e83e73a03b3d9f63c8,22dcab001058ce4a67773aafaffbe5990b0d730ee1cecd71f060dc8a1ab1237e,d19bdb5785fd02e0e5f9fa09c81ec5ce1ed0a27396f1ca6c0d0f25abf7b063fd
"40","0","25202","25201","40","8","0","0","2","0","91002","2","0","78100101","0","50"
"40","0","25204","25203","25","8","0","0","2","0","91002","2","0","78100102","0","50"
"40","0","25206","25205","5","8","0","0","2","0","91002","2","0","78100103","0","50"
"40","0","25203","25201","40","8","25202","0","2","2","91002","2","40","78100104","0","50"
"40","0","25204","25205","25","8","25206","0","2","2","91002","2","5","78100105","0","50"
"2","0","25202","25203","3","2","0","0","2","0","25201","2","0","78100111","0","2"
"2","0","25204","25205","2","2","0","0","2","0","25203","2","0","78100112","0","2"
"2","0","25206","25205","1","2","0","0","2","0","25203","2","0","78100113","0","2"
"2","0","25202","25205","3","2","25204","0","2","2","25201","2","2","78100114","0","2"
"1","0","0","25206","0","2","0","0","0","0","25201","2","0","78100115","0","2"
"4","0","25202","25203","4","2","0","0","2","0","25201","2","0","78100121","0","4"
"4","0","25204","25205","3","2","0","0","2","0","25203","2","0","78100122","0","4"
"4","0","25206","25205","1","2","0","0","2","0","25203","2","0","78100123","0","4"
"4","0","25202","25205","4","2","25204","0","2","2","25201","2","3","78100124","0","4"
"1","0","0","25206","0","2","0","0","0","0","25201","2","0","78100125","0","4"
"6","0","25202","25203","6","2","0","0","2","0","25201","2","0","78100131","0","6"
"6","0","25204","25205","3","2","0","0","2","0","25203","2","0","78100132","0","6"
"6","0","25206","25205","1","2","0","0","2","0","25203","2","0","78100133","0","6"
"6","0","25202","25205","6","2","25204","0","2","2","25201","2","3","78100134","0","6"
"1","0","0","25206","0","2","0","0","0","0","25201","2","0","78100135","0","6"
"40","0","25202","25201","40","8","0","0","2","0","91002","2","0","78100201","0","50"
"40","0","25204","25203","25","8","0","0","2","0","91002","2","0","78100202","0","50"
"40","0","25206","25205","5","8","0","0","2","0","91002","2","0","78100203","0","50"
"40","0","25203","25201","40","8","25202","0","2","2","91002","2","40","78100204","0","50"
"40","0","25204","25205","25","8","25206","0","2","2","91002","2","5","78100205","0","50"
"2","0","25202","25203","3","2","0","0","2","0","25201","2","0","78100211","0","2"
"2","0","25204","25205","2","2","0","0","2","0","25203","2","0","78100212","0","2"
"2","0","25206","25205","1","2","0","0","2","0","25203","2","0","78100213","0","2"
"2","0","25202","25205","3","2","25204","0","2","2","25201","2","2","78100214","0","2"
"1","0","0","25206","0","2","0","0","0","0","25201","2","0","78100215","0","2"
"4","0","25202","25203","4","2","0","0","2","0","25201","2","0","78100221","0","4"
