308e0d0b6b7ec0be9fc23a95e48c8d18556bce5f2547c69843af2c3a43ca72e9,df662fba6f40f3ab9b856ddd3e7b9e42ce982a46b39157fca131df40824c90a2,99e1f25188c5107ca793c55d165e752455b607cd5ec26aaa71ff9f6f9a47bcda,dcc9b3a452627c566eec8a36e7d41b631f08bda0aedbc2620e6074733da8fe0b,07432492b65ee1112005420b158e4138f78803fb510cc8a49dd78d1b7b97fe0e,f041cd1c7bca0cb8411ad0f2eae89087c7cd2b110009005d7aa0383ed43acb30,bd5bcb975f80dc184e0397ce6fced57ae9deb057613bfb96a69d11f90eb521f6,17a1f01f00057ca85830b8541868f0b63e501674b6b5b62a6685b5db4fc6cdf9,048ab7583ada719f6ccab2d5294aaa4678e35616a343ebc7220b36486bd2e677,ab629e6af01db2e212673689931d510dbf14b14ad832de96a9971df7673c24b0,c028a1821d20962e3628a85c9057e6b88bb9f86657853c3b6e22ca27073b5b55
"0","20000","10","0","0","2","2016/09/01 15:00:00","新手衝刺登入活動","2023/08/01 04:59:59","0","530100"
"0","20001","10","0","0","2","2023/08/01 05:00:00","新手衝刺登入活動","2099/01/01 23:59:00","0","530100"
"0","30000","15","0","0","3","2016/04/01 15:00:00","登入獎勵","2099/01/01 23:59:00","0","0"
"0","40001","10","0","1","4","2019/01/30 05:00:00","半周年紀念登入活動","2019/02/14 04:59:59","0","500160"
"0","40009","10","0","2","4","2021/08/09 05:00:00","偶像大師復刻合作紀念","2021/08/26 04:59:59","0","40009"
"0","40011","6","0","3","4","2023/06/15 05:00:00","主線劇情第3部開幕紀念登入活動","2023/06/21 04:59:59","0","531200"
"0","40013","1","0","3","4","2024/08/10 05:00:00","七夕情人節快樂！","2024/08/26 04:59:59","0","40013"
"0","40015","5","0","3","4","2024/12/10 05:00:00","老玩家回歸登入獎勵","2099/01/01 23:59:00","0","40015"
"0","49001","10","0","0","4","2019/04/04 05:00:00","巴哈姆特金賞紀念登入獎勵","2019/04/19 04:59:59","0","500160"
"0","49002","10","0","0","4","2019/07/01 05:00:00","暑期繽紛登入獎","2019/07/15 04:59:00","0","500160"
"0","49003","10","0","0","4","2019/07/17 05:00:00","1周年倒數登入獎勵","2019/08/01 04:59:00","0","500160"
"0","49004","8","0","0","4","2019/12/16 05:00:00","真步真步王國開服一周年紀念","2019/12/31 04:59:00","0","500160"
"0","49005","10","0","0","4","2020/01/10 05:00:00","迎接1.5周年紀念","2020/01/21 15:59:00","0","500160"
"0","49006","5","0","0","4","2020/04/01 05:00:00","春節小禮物","2020/04/06 04:59:59","0","500160"
"0","49007","10","0","0","4","2020/04/06 05:00:00","動畫播放紀念禮物","2020/04/16 04:59:59","0","40006"
"0","49008","10","0","4","4","2020/08/03 05:00:00","2周年紀念登入獎勵（前半）","2020/08/18 04:59:59","0","80002"
"0","49009","10","0","4","4","2020/08/18 05:00:00","2周年紀念登入獎勵（後半）","2020/08/31 04:59:59","0","80002"
"0","49010","10","0","0","4","2020/11/02 05:00:00","感謝的禮物-每日登入獎勵寶石","2020/11/15 04:59:00","0","500160"
"0","49011","10","0","0","4","2020/12/24 05:00:00","歡慶聖誕","2021/01/06 04:59:00","0","500160"
"0","49012","10","0","0","4","2021/01/13 05:00:00","2.5周年預熱","2021/01/25 04:59:00","0","500160"
"0","49013","10","0","2","4","2021/04/16 05:00:00","歡慶IP合作","2021/04/28 04:59:00","0","40007"
"0","49014","10","0","2","4","2021/09/17 05:00:00","歡慶中秋","2021/10/01 04:59:00","0","500160"
"0","49015","10","0","2","4","2021/10/18 05:00:00","秋季贈禮","2021/11/01 04:59:00","0","500160"
"0","49016","10","0","2","4","2021/12/24 05:00:00","歡慶聖誕&迎接新年到來","2022/01/06 04:59:00","0","500160"
"0","49017","10","0","2","4","2022/10/17 05:00:00","秋季贈禮","2022/11/01 04:59:00","0","500160"
"0","49018","10","0","2","4","2022/12/24 05:00:00","歡慶聖誕&迎接新年到來","2023/01/06 04:59:59","0","500160"
"0","49019","10","0","2","4","2023/01/21 05:00:00","迎接春節來到","2023/02/06 04:59:59","0","500160"
"0","49020","10","0","2","4","2023/05/06 05:00:00","每日登入獎勵","2023/06/05 04:59:59","0","501470"
"0","49021","1","0","2","4","2023/12/31 05:00:00","迎接2024特別禮物","2024/01/02 04:59:59","0","500160"
"0","60000","7","0","0","6","2019/05/07 05:00:00","公主祭典紀念登入抽籤","2019/05/17 04:59:59","1","500160"
"0","60001","7","0","0","6","2020/05/05 05:00:00","謹賀新年 新年登入獎勵","2020/05/15 04:59:59","1","500553"
"0","60002","7","0","0","6","2021/05/04 05:00:00","謹賀新年 新年登入獎勵","2021/05/14 04:59:59","1","500553"
"0","60003","7","0","0","6","2022/05/03 05:00:00","謹賀新年 新年登入獎勵","2022/05/13 04:59:59","1","500553"
"0","60004","7","0","0","6","2023/05/02 05:00:00","謹賀新年 新年登入獎勵","2023/05/14 04:59:59","1","500553"
"0","60005","7","0","0","6","2024/05/01 05:00:00","謹賀新年 新年登入獎勵","2024/05/11 04:59:59","1","500553"
"0","60006","5","0","0","6","2025/05/01 05:00:00","謹賀新年 新年登入獎勵","2025/05/11 04:59:59","1","500553"
"0","70004","2","1","0","7","2021/04/23 05:00:00","聖誕節登入獎勵","2021/04/25 04:59:59","0","500160"
"0","70005","3","2","0","7","2021/05/04 05:00:00","元旦紀念特別登入獎勵","2021/05/07 04:59:59","0","500160"
"0","70006","2","1","0","7","2022/04/24 05:00:00","聖誕節登入獎勵","2022/04/26 04:59:59","0","500160"
