17012daa76bf75ac0afa10e9a98dbf07556c6d92c15ba0bed61655dd600ab24f,5d73efa9b74c0052495672dffe6f1df285ef8f1e6277b3b2e7fbad005aa76ea2,1370dc6c19116905ed75a72e16c428c853a4b879b66515fddc5a8fb257a00941,f874559ba70e3408fecaf73958e1effda7b5304f7b4387495ecdfd9711078170,7eea9a7c6202f00df647742f9501f309f9ee5da275b13ab90ef20bae6fdb99f7,192ca3f5d1969b4cf76f1507f61f44e1608ddf0737c3c7388c0db642137bf153,3e618317d29730e348fe970fe442d8f7c8154960a1a736d1cc18d95a3ccac9e6,fd27acc447961dca22757911fd3cb80a018960ae3e5e8841f364e9252756ec41,c79a11098003bdb60ff8714cce42671e0d048a98bf69d3c45b4a9a8a386fa94e,2fbbb528a60f33f78443f0e75cb89daf0ef91555a3b57b1794f7bd4a8d811203,a5063b736d43fb0ba760026c452aa99738819d876a744cece6f6715770270dcd,7c2c6c1a12489e0a21eaae91f81b9bd83df8750c1e7ff48fc165744b445c6c69,bf126f7e747a7747db67aa0daf7f7c968c15afc8909eb675bce98e363e1704a9,ea039e6a836b97ed734a922e2eee4ace29abe2dfdf6cd1dadb2abfe7b35c3fc6,1b7a3dc686db3af61e5d1a503a74b6920c042589f6caac18c08c8dbe90d68a95,5d675eaf04cf871bc9327514010ff30b4eb955a3d134e54535c8a7d5b3a772c5,cfca54b52d8a0cde0730bb846a74a6b6e912a5224edb9a6b283ac11bcf695685,e36ea8a418cbef623176da217cf79d0d9cc3b4572bddecc62cc610dd9c81deaa,d82659a8f677d35b80d7e59a1b5c208bc40681397c5e8b0713c23283c32d83e7,dd176c00bb849714778cb3e33eeaeff645b8a82779b2d70fd5965dbacf499efc
"0","0","0","0","0","0","1001","0","0","100100201","1","0","1","0","0","0","1001002","0","100111","0"
"0","0","1","0","0","0","1001","0","0","100100801","1","-840","0","0","0","0","1001008","0","0","0"
"0","0","0","0","0","1001011","1001","0","0","100101101","1","0","1","0","0","0","1001011","0","100131","0"
"0","0","0","0","0","1001011","1001","0","0","100101102","1","0","1","0","0","0","1001011","0","100131","0"
"0","0","0","0","0","0","1002","0","0","100200101","1","0","1","0","0","0","1002001","0","100211","0"
"0","0","1","0","0","0","1002","0","0","100200801","1","-920","0","0","0","0","1002008","0","0","0"
"0","0","1","0","0","0","1002","0","0","100201101","1","-920","0","0","0","0","1002011","0","0","0"
"0","0","0","0","0","0","1002","0","0","100201102","1","0","1","0","0","0","1002011","0","100231","0"
"0","0","0","0","0","0","1003","0","0","100300301","1","0","1","0","0","0","1003003","0","100311","0"
"0","0","1","0","0","0","1003","0","0","100300801","1","-820","0","0","0","0","1003008","0","0","0"
"0","0","0","0","0","1003011","1003","0","0","100301101","1","0","1","0","0","0","1003011","0","100332","0"
"0","0","0","0","0","1003011","1003","0","0","100301102","1","0","1","0","0","0","1003011","0","100332","0"
"0","0","0","0","0","0","1004","0","0","100400701","1","0","1","0","0","0","1004007","0","100411","0"
"0","0","1","0","0","0","1004","0","1","100400801","1","-900","0","0","0","0","1004008","0","0","0"
"0","0","0","0","0","0","1004","0","0","100401101","1","0","1","0","0","0","1004011","0","100431","0"
"0","0","0","0","0","1005006","1005","0","0","100500601","1","0","1","0","0","0","1005006","0","100511","0"
"0","0","0","0","0","1005006","1005","0","0","100500602","1","0","1","0","0","0","1005006","0","100511","0"
