6a4686e5c776a8ace26b8d9760fb167e5aa9e7df8aa856c00e1e3146de3192a1,f011711a88621c4d86a0be59a2530c33a12def29a4638299da1a5eead0f8108d,cf00932be107d61c6c3b9376b574b4dc0fe01b5cc358e309d7c94b2041f17bab,e2a817d3a9246ee54bd3f848ec8168e25be137605b2e14b553a1300b55fbecaa,44e87855d10c5ca2d010842e4fb3280246ac5093854e9cbc9345e6e1ccc0b30f
"10000101","12","150000","100001011","94002"
"10000101","2","6","100001012","22003"
"10000102","12","500000","100001021","94002"
"10000102","2","6","100001022","22003"
"10000103","12","500000","100001031","94002"
"10000103","4","3","100001032","140001"
"10000103","2","3","100001033","25001"
"10000104","12","500000","100001041","94002"
"10000104","2","6","100001042","22003"
"10000105","12","500000","100001051","94002"
"10000105","4","4","100001052","140001"
"10000105","2","4","100001053","25001"
"10000106","12","500000","100001061","94002"
"10000106","2","6","100001062","22003"
"10000107","12","500000","100001071","94002"
"10000107","4","4","100001072","140001"
"10000107","2","4","100001073","25001"
"10000108","12","500000","100001081","94002"
"10000108","2","6","100001082","22003"
"10000109","12","500000","100001091","94002"
"10000109","4","4","100001092","140001"
"10000109","2","4","100001093","25001"
"10050501","12","120000","100505011","94002"
"10050501","2","3","100505012","22003"
"10050502","12","120000","100505021","94002"
"10050502","2","4","100505022","22003"
"10050503","12","120000","100505031","94002"
"10050503","2","4","100505032","22003"
"10050511","12","120000","100505111","94002"
"10050511","2","3","100505112","22003"
"10050512","12","160000","100505121","94002"
"10050512","2","4","100505122","22003"
"10060601","12","120000","100606011","94002"
"10060601","2","3","100606012","22003"
"10060602","12","120000","100606021","94002"
"10060602","2","4","100606022","22003"
"10060603","12","120000","100606031","94002"
"10060603","2","4","100606032","22003"
"10060611","12","120000","100606111","94002"
"10060611","2","3","100606112","22003"
"10060612","12","160000","100606121","94002"
"10060612","2","4","100606122","22003"
"10070701","12","120000","100707011","94002"
"10070701","2","3","100707012","22003"
"10070702","12","120000","100707021","94002"
"10070702","2","4","100707022","22003"
"10070703","12","120000","100707031","94002"
"10070703","2","4","100707032","22003"
"10070711","12","120000","100707111","94002"
"10070711","2","3","100707112","22003"
"10070712","12","160000","100707121","94002"
"10070712","2","4","100707122","22003"
"10080801","12","120000","100808011","94002"
"10080801","2","3","100808012","22003"
"10080802","12","120000","100808021","94002"
"10080802","2","4","100808022","22003"
"10080803","12","120000","100808031","94002"
"10080803","2","4","100808032","22003"
"10080811","12","120000","100808111","94002"
"10080811","2","3","100808112","22003"
"10080812","12","160000","100808121","94002"
"10080812","2","4","100808122","22003"
