18d39722ed5b288912b8d793bed6f33fb1c53b181ce4717d755054969aa5e673,7d3a7453769c8ad25fcd5b570d5c2d1494b5705ccf4d9b2a38f8e4dd7960831e,814dfdef90a285988fb9ced0446b28c840fc047432a7a4a6911b4278c00865b2,014ec5b955ecde7218b1553a0e2b651b3fcf706fa9152162d8832df824136172,003dd2f2bc4341f9d928f6a7c7f2719dd970ebb1010900ff6db8898f389b53f0,834a666bc6a422afb1c0a9b5631aed7fca55f263a034b9abca3f5626a62a2b83,d971f9d7d2e324baa4ebf008d3458ece98022f98615e95f636671a85ceb28feb,3aa22535e8532b2cd25cc44f05e7e0329be987e74e0822cf8b6fd9b190110fb2,d43b9e6d0d351158a634ea3c8868fc931342f47aad8567a20b08617c2d81b0d1,7f1c5c7cebe7228d833d0830389723a8ab39acb3e776732266dfd8f07459ef10,c06084079231292052456ecd91be80fef12176c3aa6dc2b7466de5216d1435c1,14c9eb571b12127467e8624aa6f87ac08dc4a9c5dd0f15320a83421b462b3d63,e7694cbdab76ec36b5d2e7707d8fa8b98dae236dea8439c0921e9fbb95e31860,87de074287bca4aa7f3f45ae25a24439e5f60be6206fa1267e5ba04ec7e1a298,2998a8f1ba7d709caeec9960f86a3b79009c3cf85cbf4a310a3a00e7cccb6251,c02252203faa392ba61962ffe4cd39079e3ff7a0974c35cc08e5c8f1fffde2bd,551973ae5a73cd6c6336d4101b5b6c9d016d9a8eae5e724c0633a1982d2be75d,64d0e8708e214b68f45b2fb0a2f61ccb1110d811aaa285a6d09d60b9740795e0,7955bab090f520f857ec61fb6981e465358dabb31f90bcf71d823ebe8915efb2,ac7140f1bf29c1eb39542b41c57913a944fba2ae852fe28184b748d55d8a15cb,dfe8b2e7491d5b89b3a629230cf714a04427ed190a5f6c5c56b2d4dcf3582b4b,07694ce197afa51486339b15bb4302e37de648ac2c75291446200006446f22b8,19f5d632a65dcb4b487f40cc037c36597a6306a8212be382b63838a130e98a66,5cdd864dafd54e7ee886ebae3ef1f3c30e9692d737c398b9e920b487209ef8ee,e4639da514bb9174af89e85ab66cef38b0c76c56d76c41d86f0952e40a63116d,d8062d23e9515f398a983ea235bffa0cc17a8c32e6d705768b9b32c6d76b0ec9,ccfc718678328939b80c77988336d12cf6a84d751583789f1474628559b424a8,ca8da64d24f05820bc28b3e82699aed6e9a1d9b5d422054fbb70c0be175ae19d,7516e57d9841664b0628461a5d38dee434739042d29db95e352417e3e50edcad,e63015b7f7eb8b16112395d185f32106f0de7df24541cbea4de2c4de20d54491,c1fad82bb4ee159b39e544f0ce88dfc122fc2e50ffdaa526f7f11930149ffc23,e934c1ee9fa4cfab106da2f887f947d9e825fa6ab8a685c5b6288cb287d84a3a,4b61fbe802079fdd4758795e9b410ecf8370369ab95f2dc103fea3f4e31f316c,668b8664a6df9b754f3659d35851c8bba4e9e9e49983f58003adfd743a55af90,6ba2ec3fac6c4c469a3f8400df574480883acd89cf4f4619ce877681f460b720,b78a76634d6c87999b97ad9ffffc745ead499e5c4735fbbb31a4c1fd299fa901,2ca9e99b8fe6f66db4937a613bc8b436b4d8e15a7fa2c508f5c70b5c7e15bc60,418b4db12b59e719631952055cfc980fd70d7559c0c5b437089fd46bb72efc33,eb63b8e78a7c576f9dd35ecc109440fb20d0840660ab74e04154f0fa5c4a28af,ef1846abd6900a57a175568dc1f74952720e7ddc3ab8d759731b8f019620f971,0776ff711607f988282fd6946129079afa8750a5cca0ef4dc1055edf9ce0658d
"18","1","1","620090001","258","0","3001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130001","600110031","36","3001","1","0","0","0","600000003","1","620060001","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090001","258","0","4001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130001","600110041","36","4001","1","0","0","0","600000004","1","620060001","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090002","268","0","5001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130002","600110051","36","5001","1","0","0","0","600000005","1","620060002","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090003","273","0","6001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130003","600110061","36","6001","1","0","0","0","600000006","1","620060003","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090004","281","0","7001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130004","600110071","36","7001","1","0","0","0","600000007","1","620060004","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090005","288","0","8001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130005","600110081","36","8001","1","0","0","0","600000008","1","620060005","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090006","298","0","9001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130006","600110091","36","9001","1","0","0","0","600000009","1","620060006","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090007","309","0","10001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130007","600110101","36","10001","1","0","0","0","600000010","1","620060007","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090008","313","0","11001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130008","600110111","36","11001","1","0","0","0","600000011","1","620060008","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090009","321","0","12001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130009","600110121","36","12001","1","0","0","0","600000012","1","620060009","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090010","326","0","13001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130010","600110131","36","13001","1","0","0","0","600000013","1","620060010","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090011","336","0","14001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130011","600110141","36","14001","1","0","0","0","600000014","1","620060011","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090012","341","0","15001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130012","600110151","36","15001","1","0","0","0","600000015","1","620060012","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090013","351","0","16001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130013","600110161","36","16001","1","0","0","0","600000016","1","620060013","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090014","356","0","17001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130014","600110171","36","17001","1","0","0","0","600000017","1","620060014","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090015","366","0","18001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130015","600110181","36","18001","1","0","0","0","600000018","1","620060015","61001007","0","0","0","0","61001004","0","0","0","0"
"18","1","1","620090016","371","0","19001","0","0","1","30","0","0","0","0","0","61001005","0","0","0","620130016","600110191","36","19001","1","0","0","0","600000019","1","620060016","61001007","0","0","0","0","61001004","0","0","0","0"
