7d3a7453769c8ad25fcd5b570d5c2d1494b5705ccf4d9b2a38f8e4dd7960831e,19f5d632a65dcb4b487f40cc037c36597a6306a8212be382b63838a130e98a66,6ba2ec3fac6c4c469a3f8400df574480883acd89cf4f4619ce877681f460b720,5cdd864dafd54e7ee886ebae3ef1f3c30e9692d737c398b9e920b487209ef8ee,668b8664a6df9b754f3659d35851c8bba4e9e9e49983f58003adfd743a55af90,d971f9d7d2e324baa4ebf008d3458ece98022f98615e95f636671a85ceb28feb,003dd2f2bc4341f9d928f6a7c7f2719dd970ebb1010900ff6db8898f389b53f0,87de074287bca4aa7f3f45ae25a24439e5f60be6206fa1267e5ba04ec7e1a298,e934c1ee9fa4cfab106da2f887f947d9e825fa6ab8a685c5b6288cb287d84a3a,e63015b7f7eb8b16112395d185f32106f0de7df24541cbea4de2c4de20d54491,dfe8b2e7491d5b89b3a629230cf714a04427ed190a5f6c5c56b2d4dcf3582b4b,834a666bc6a422afb1c0a9b5631aed7fca55f263a034b9abca3f5626a62a2b83,814dfdef90a285988fb9ced0446b28c840fc047432a7a4a6911b4278c00865b2,c06084079231292052456ecd91be80fef12176c3aa6dc2b7466de5216d1435c1,ca8da64d24f05820bc28b3e82699aed6e9a1d9b5d422054fbb70c0be175ae19d,ac7140f1bf29c1eb39542b41c57913a944fba2ae852fe28184b748d55d8a15cb,4b61fbe802079fdd4758795e9b410ecf8370369ab95f2dc103fea3f4e31f316c,7516e57d9841664b0628461a5d38dee434739042d29db95e352417e3e50edcad,c02252203faa392ba61962ffe4cd39079e3ff7a0974c35cc08e5c8f1fffde2bd,ef1846abd6900a57a175568dc1f74952720e7ddc3ab8d759731b8f019620f971,b78a76634d6c87999b97ad9ffffc745ead499e5c4735fbbb31a4c1fd299fa901,2998a8f1ba7d709caeec9960f86a3b79009c3cf85cbf4a310a3a00e7cccb6251,551973ae5a73cd6c6336d4101b5b6c9d016d9a8eae5e724c0633a1982d2be75d,7955bab090f520f857ec61fb6981e465358dabb31f90bcf71d823ebe8915efb2,418b4db12b59e719631952055cfc980fd70d7559c0c5b437089fd46bb72efc33,e4639da514bb9174af89e85ab66cef38b0c76c56d76c41d86f0952e40a63116d,7f1c5c7cebe7228d833d0830389723a8ab39acb3e776732266dfd8f07459ef10,07694ce197afa51486339b15bb4302e37de648ac2c75291446200006446f22b8,0776ff711607f988282fd6946129079afa8750a5cca0ef4dc1055edf9ce0658d,c1fad82bb4ee159b39e544f0ce88dfc122fc2e50ffdaa526f7f11930149ffc23,2ca9e99b8fe6f66db4937a613bc8b436b4d8e15a7fa2c508f5c70b5c7e15bc60,3aa22535e8532b2cd25cc44f05e7e0329be987e74e0822cf8b6fd9b190110fb2,eb63b8e78a7c576f9dd35ecc109440fb20d0840660ab74e04154f0fa5c4a28af,d43b9e6d0d351158a634ea3c8868fc931342f47aad8567a20b08617c2d81b0d1,014ec5b955ecde7218b1553a0e2b651b3fcf706fa9152162d8832df824136172,14c9eb571b12127467e8624aa6f87ac08dc4a9c5dd0f15320a83421b462b3d63,d8062d23e9515f398a983ea235bffa0cc17a8c32e6d705768b9b32c6d76b0ec9,64d0e8708e214b68f45b2fb0a2f61ccb1110d811aaa285a6d09d60b9740795e0,ccfc718678328939b80c77988336d12cf6a84d751583789f1474628559b424a8,18d39722ed5b288912b8d793bed6f33fb1c53b181ce4717d755054969aa5e673,e7694cbdab76ec36b5d2e7707d8fa8b98dae236dea8439c0921e9fbb95e31860
"1","36","0","3001","0","3001","258","0","61001007","1","620130001","0","1","30","0","0","0","600000003","0","0","0","0","61001005","0","0","1","1","600110031","0","620060001","61001004","0","0","0","620090001","0","0","0","0","18","0"
"1","36","0","4001","0","4001","258","0","61001007","1","620130001","0","1","30","0","0","0","600000004","0","0","0","0","61001005","0","0","1","1","600110041","0","620060001","61001004","0","0","0","620090001","0","0","0","0","18","0"
"1","36","0","5001","0","5001","268","0","61001007","1","620130002","0","1","30","0","0","0","600000005","0","0","0","0","61001005","0","0","1","1","600110051","0","620060002","61001004","0","0","0","620090002","0","0","0","0","18","0"
"1","36","0","6001","0","6001","273","0","61001007","1","620130003","0","1","30","0","0","0","600000006","0","0","0","0","61001005","0","0","1","1","600110061","0","620060003","61001004","0","0","0","620090003","0","0","0","0","18","0"
"1","36","0","7001","0","7001","281","0","61001007","1","620130004","0","1","30","0","0","0","600000007","0","0","0","0","61001005","0","0","1","1","600110071","0","620060004","61001004","0","0","0","620090004","0","0","0","0","18","0"
"1","36","0","8001","0","8001","288","0","61001007","1","620130005","0","1","30","0","0","0","600000008","0","0","0","0","61001005","0","0","1","1","600110081","0","620060005","61001004","0","0","0","620090005","0","0","0","0","18","0"
"1","36","0","9001","0","9001","298","0","61001007","1","620130006","0","1","30","0","0","0","600000009","0","0","0","0","61001005","0","0","1","1","600110091","0","620060006","61001004","0","0","0","620090006","0","0","0","0","18","0"
"1","36","0","10001","0","10001","309","0","61001007","1","620130007","0","1","30","0","0","0","600000010","0","0","0","0","61001005","0","0","1","1","600110101","0","620060007","61001004","0","0","0","620090007","0","0","0","0","18","0"
"1","36","0","11001","0","11001","313","0","61001007","1","620130008","0","1","30","0","0","0","600000011","0","0","0","0","61001005","0","0","1","1","600110111","0","620060008","61001004","0","0","0","620090008","0","0","0","0","18","0"
"1","36","0","12001","0","12001","321","0","61001007","1","620130009","0","1","30","0","0","0","600000012","0","0","0","0","61001005","0","0","1","1","600110121","0","620060009","61001004","0","0","0","620090009","0","0","0","0","18","0"
"1","36","0","13001","0","13001","326","0","61001007","1","620130010","0","1","30","0","0","0","600000013","0","0","0","0","61001005","0","0","1","1","600110131","0","620060010","61001004","0","0","0","620090010","0","0","0","0","18","0"
"1","36","0","14001","0","14001","336","0","61001007","1","620130011","0","1","30","0","0","0","600000014","0","0","0","0","61001005","0","0","1","1","600110141","0","620060011","61001004","0","0","0","620090011","0","0","0","0","18","0"
"1","36","0","15001","0","15001","341","0","61001007","1","620130012","0","1","30","0","0","0","600000015","0","0","0","0","61001005","0","0","1","1","600110151","0","620060012","61001004","0","0","0","620090012","0","0","0","0","18","0"
"1","36","0","16001","0","16001","351","0","61001007","1","620130013","0","1","30","0","0","0","600000016","0","0","0","0","61001005","0","0","1","1","600110161","0","620060013","61001004","0","0","0","620090013","0","0","0","0","18","0"
"1","36","0","17001","0","17001","356","0","61001007","1","620130014","0","1","30","0","0","0","600000017","0","0","0","0","61001005","0","0","1","1","600110171","0","620060014","61001004","0","0","0","620090014","0","0","0","0","18","0"
"1","36","0","18001","0","18001","366","0","61001007","1","620130015","0","1","30","0","0","0","600000018","0","0","0","0","61001005","0","0","1","1","600110181","0","620060015","61001004","0","0","0","620090015","0","0","0","0","18","0"
"1","36","0","19001","0","19001","371","0","61001007","1","620130016","0","1","30","0","0","0","600000019","0","0","0","0","61001005","0","0","1","1","600110191","0","620060016","61001004","0","0","0","620090016","0","0","0","0","18","0"
