ba29251fc820d4e1cdbf8235a870022f89c176374962b717a5bf813158dccfc3,e16471e5cc2355d5600adf35acf4229e746e1c8e52a97083807c43547dbe5db5,5b0afca052cec421b0a065f00400a1caed80bb89b6a7ffc8a0a1696706e1cc72,c397337c59eed87082ab0bb451e12fe6ad3ddfad4ccd10b4f54ec52375798235,262230e9b47853bf51d0d64a8bf02cb03308c3b5723fa24f6a1aa9498b0807dc,47cd3b8fb64c06ebac50b912f3c180596fe9fd05bfb4a5853338a6d3aad6b8a4,d6ad0f7a7bf6e913e21ef123dbd8707648fe1e6e59c7e4c148a02681942c491d,2d76d34c5863a4b4fbdb7a5d658f5326e543462b2381925cb293261e3c2a662a,a97db1f4cb8bcf22b5e9d1d87b925904a9e99f1e77afbd18be1bc1923fbcf1ed,b0a976fb5516aa6629f1cf4fe5f99947f901851f60192cded960b1514b23c32f,5a147987b747a8df8d266ed9f127bdd4e019ca22b78d5ebeaca167fcbe64ff86,f350ba555d9357a7f71f55a610ca66d4274dd554e2e6a3787a796eb8a01e6e42
"91002","8","20041106","年輕與低燒","10074","優衣的病歷　其一","0","2022/01/03 12:00:00","0","1007401","100201","20"
"91002","8","20041112","感受內心的激烈鼓動","10074","優衣的病歷　其二","1007401","2022/01/03 12:00:00","0","1007402","100201","20"
"91002","8","20041115","心煩意亂的病名是","10074","優衣的病歷　其三","1007402","2022/01/05 05:00:00","0","1007403","100201","30"
"91002","8","20041106","預料之外的訪客","10074","優妮的病歷　其一","0","2022/01/03 12:00:00","0","1007404","111001","20"
"91002","8","20041112","服藥的時間","10074","優妮的病歷　其二","1007404","2022/01/03 12:00:00","0","1007405","111001","20"
"91002","8","20041115","致親愛的你","10074","優妮的病歷　其三","1007405","2022/01/06 05:00:00","0","1007406","111001","30"
"91002","8","20041108","奇妙的外來患者","10074","鈴莓的病歷　其一","0","2022/01/03 12:00:00","0","1007407","102501","20"
"91002","8","20041114","可怕的病症","10074","鈴莓的病歷　其二","1007407","2022/01/03 12:00:00","0","1007408","102501","20"
"91002","8","20041115","現代醫學的極限","10074","鈴莓的病歷　其三","1007408","2022/01/07 05:00:00","0","1007409","102501","30"
"91002","8","20041108","統御黑夜之人的苦難","10074","伊莉亞的病歷　其一","0","2022/01/03 12:00:00","0","1007410","104401","20"
"91002","8","20041114","美麗計畫","10074","伊莉亞的病歷　其二","1007410","2022/01/03 12:00:00","0","1007411","104401","20"
"91002","8","20041115","華麗課程","10074","伊莉亞的病歷　其三","1007411","2022/01/08 05:00:00","0","1007412","104401","30"
"91002","8","20041110","不可視之敵","10074","杏奈的病歷　其一","0","2022/01/03 12:00:00","0","1007413","100901","20"
"91002","8","0","被封印的魔法","10074","杏奈的病歷　其二","1007413","2022/01/03 12:00:00","2004101","1007414","100901","20"
"91002","8","0","獨眼惡魔的特別治療","10074","杏奈的病歷　其三","1007414","2022/01/09 05:00:00","2004101","1007415","100901","30"
"91002","8","20041110","骷髏驚喜","10074","忍的病歷　其一","0","2022/01/03 12:00:00","0","1007416","103101","20"
"91002","8","0","向迷惘少女伸出援手","10074","忍的病歷　其二","1007416","2022/01/05 05:00:00","2004101","1007417","103101","30"
