6541df1d2569062ddd672b46fc00c1e0d0fee434d396a0df4c2a26f4d7ea7bd6,3e5a25d37d8504287db2c685fee33f2ff950f273a265b6b2f8ef810dcc1cbced,59f94f6768c5ee4ca250f96dc00fc2635cce99780b5058fb6f55f82d378ded20,d1def0679323457e845b1c95712a7bb9193b39c5c0ce944124c861c873a33071,1420e78a99cd5aaaa4acdf017d4b755f09d7722810e8c1eb47f510acf865e119
"1","300","1","1","135"
"1","-100","1","2","425"
"2","125","1","3","-100"
"2","-415","1","4","375"
"3","-50","1","5","25"
"3","-300","1","6","-25"
"4","-335","1","7","-195"
"4","-415","1","8","105"
"5","-160","1","9","135"
"6","-40","1","10","345"
"7","90","1","11","-230"
"8","-420","1","12","230"
"9","250","1","13","30"
"10","-245","1","14","280"
"11","-110","1","15","-150"
