3e5a25d37d8504287db2c685fee33f2ff950f273a265b6b2f8ef810dcc1cbced,59f94f6768c5ee4ca250f96dc00fc2635cce99780b5058fb6f55f82d378ded20,1420e78a99cd5aaaa4acdf017d4b755f09d7722810e8c1eb47f510acf865e119,6541df1d2569062ddd672b46fc00c1e0d0fee434d396a0df4c2a26f4d7ea7bd6,d1def0679323457e845b1c95712a7bb9193b39c5c0ce944124c861c873a33071
"300","1","135","1","1"
"-100","1","425","1","2"
"125","1","-100","2","3"
"-415","1","375","2","4"
"-50","1","25","3","5"
"-300","1","-25","3","6"
"-335","1","-195","4","7"
"-415","1","105","4","8"
"-160","1","135","5","9"
"-40","1","345","6","10"
"90","1","-230","7","11"
"-420","1","230","8","12"
"250","1","30","9","13"
"-245","1","280","10","14"
"-110","1","-150","11","15"
